Age_SH20	Ln(Fe/Mn)
cal a BP	NA
286.78	2.140426348
289.36	2.21061833
291.94	2.333745889
294.51	2.0433691
297.09	1.950120682
299.67	1.749472409
302.25	1.973502155
304.83	2.171794091
307.41	2.228556284
309.99	2.112450287
312.57	2.029931481
315.15	2.317239101
317.73	2.464018162
320.31	2.240709689
322.89	2.472161129
325.47	2.454344857
328.05	2.335884507
330.63	2.037539476
333.21	2.127078386
335.79	2.210152126
338.37	2.280565286
340.95	2.087936514
343.53	2.062162084
346.11	2.417811672
348.69	1.850810375
351.27	2.226272263
353.85	2.113539409
356.43	2.303329695
359.01	2.522493604
361.59	2.475798942
364.17	2.45534416
366.75	2.414245293
369.33	2.514271677
371.91	2.414974788
374.49	2.351120577
377.07	2.350781697
379.65	2.496646379
382.23	2.414186002
384.81	2.569017338
387.39	2.507883284
389.97	2.483202474
392.55	2.309457972
395.12	2.559002858
397.7	2.602152773
400.28	2.690489503
402.86	2.607081139
405.44	2.789719762
408.02	2.840770835
410.6	2.833454395
413.18	2.81192233
415.76	2.615963814
418.34	2.53839406
420.92	2.907376119
423.5	3.052025214
426.08	2.841874978
428.66	3.103510247
431.24	2.802388361
433.82	2.833213344
436.4	2.842389725
438.98	2.967738764
441.56	3.090733891
444.14	2.782228457
446.72	2.614469591
449.3	3.01658766
451.88	2.911405038
454.46	3.026503932
457.04	3.288729652
459.62	3.56304828
462.2	3.528529509
464.78	3.340054702
467.36	2.99973953
469.94	2.953880194
472.52	3.103464973
475.1	3.147524715
477.68	3.37492038
480.26	3.364604245
482.84	3.469029085
485.42	3.491761468
488	3.701493362
490.58	3.762087348
493.16	3.499101597
495.73	3.771104394
498.31	3.682336356
500.89	3.48035041
503.47	3.21240331
506.05	3.267313193
508.63	3.305678279
512.01	3.147326359
515.39	3.270314387
518.76	3.225889796
522.14	3.258590568
525.52	3.165556187
528.89	3.190096287
532.27	3.636299791
535.65	3.495350288
539.02	3.29986391
542.4	3.387843305
545.78	3.644453196
549.15	3.479879594
552.53	3.13842653
