C:\Data\BAS_sjro\May_2016\LP4B_XRF     11/05/2016  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	I	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\BAS_sjro\May_2016\LP4B_XRF\XRF data\L000000.spe	855.20	7.66	0	0.018361	-0.019330	0.007457	0.108113	18849.00000	1.54	34	54	312	16	11	0	127	1174	1261	1464	78	168	1235	59955	0	146	74	260	24	43	0	530	1239	0	603	0	0	0	115	269	716	130	133	26	75	109	46	81	78	469	0	235076069752999	14222	4252	
C:\Data\BAS_sjro\May_2016\LP4B_XRF\XRF data\L000001.spe	855.40	7.67	1	0.018361	-0.019330	0.007430	0.108113	18954.00000	1.60	17	46	326	0	0	8	113	1210	1239	1496	77	169	1224	60947	0	147	17	269	0	0	0	682	1343	116	630	0	0	0	91	254	658	130	157	111	49	177	35	45	102	381	9	1335162953564774	13776	4477	
C:\Data\BAS_sjro\May_2016\LP4B_XRF\XRF data\L000002.spe	855.60	7.67	1	0.018362	-0.019330	0.007440	0.108113	18703.00000	1.64	0	48	362	0	0	5	137	1254	1208	1583	57	169	1139	59407	0	164	70	224	0	30	0	524	1229	0	625	0	0	0	98	275	719	90	158	61	160	143	146	133	52	424	13	335819285550073	14038	4265	
C:\Data\BAS_sjro\May_2016\LP4B_XRF\XRF data\L000003.spe	855.80	7.68	1	0.018361	-0.019330	0.007338	0.108113	18534.00000	1.64	18	34	348	0	0	0	126	1149	1277	1603	92	147	1109	57935	0	121	51	257	0	45	0	565	1262	0	506	0	0	0	70	237	716	90	127	0	79	120	106	33	0	438	0	102062699102309	13841	4099	
C:\Data\BAS_sjro\May_2016\LP4B_XRF\XRF data\L000004.spe	856.00	7.69	1	0.018361	-0.019330	0.006990	0.108113	18047.00000	1.58	0	66	397	11	0	0	114	1087	1275	1581	15	146	1022	54121	127	95	88	247	0	23	11	500	1271	0	583	0	0	0	83	236	781	82	169	0	95	37	0	20	126	326	8	0	13615	4320	
C:\Data\BAS_sjro\May_2016\LP4B_XRF\XRF data\L000005.spe	856.20	7.69	1	0.018358	-0.019330	0.006941	0.108113	18201.00000	1.47	0	40	323	0	0	0	133	1103	1287	1528	50	131	1051	54001	66	105	112	245	0	48	0	496	1343	0	688	0	0	0	92	200	805	127	145	0	43	68	50	64	0	388	0	76651247782895	13830	4418	
C:\Data\BAS_sjro\May_2016\LP4B_XRF\XRF data\L000006.spe	856.40	7.70	1	0.018356	-0.019330	0.006896	0.108113	18370.00000	1.43	18	49	328	0	0	0	132	1200	1271	1464	58	139	1094	55967	50	77	75	241	0	0	44	520	1348	0	678	0	0	0	87	237	713	115	156	34	54	62	61	98	94	362	0	1146567350036425	13245	4361	
C:\Data\BAS_sjro\May_2016\LP4B_XRF\XRF data\L000007.spe	856.60	7.70	1	0.018358	-0.019330	0.006919	0.108113	18442.00000	1.53	17	47	347	16	5	5	129	1131	1278	1506	77	170	1010	56087	224	89	54	150	0	7	0	545	1410	0	662	0	0	0	131	282	688	84	156	117	112	36	59	35	81	295	0	667465052765055	13744	4344	
C:\Data\BAS_sjro\May_2016\LP4B_XRF\XRF data\L000008.spe	856.80	7.70	1	0.018358	-0.019330	0.007013	0.108113	18318.00000	1.52	9	54	347	14	7	0	140	1082	1335	1555	92	147	1015	54624	0	125	27	233	0	67	0	480	1343	0	627	0	0	0	97	309	714	62	95	14	91	33	51	0	175	372	0	0	13842	4380	
C:\Data\BAS_sjro\May_2016\LP4B_XRF\XRF data\L000009.spe	857.00	7.71	1	0.018359	-0.019330	0.007050	0.108113	18389.00000	1.39	32	47	415	13	0	0	134	1092	1344	1633	80	127	987	53801	0	157	125	244	0	0	0	530	1363	22	533	0	0	0	69	244	772	119	141	68	51	0	0	0	60	359	0	1920638805068738	14047	4455	
