LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka,LP08_21-27ka,LP08_21-27ka,LP16_21-27ka,LP16_21-27ka
SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_Ca_Ti,SH20M1H_mean_age,Ln_Ca_Ti
cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA
21386.9,3.632164133,21311.22,3.913755791,21386.9,-1.476603141,21311.22,NaN,21386.9,0.60436163,21311.22,-0.086202767,21386.9,1.062278357,21311.22,1.253198414,21386.9,-0.3499329,21311.22,-0.201101451
21394.4,3.544498325,21315.57,3.909615739,21394.4,-1.256836294,21315.57,NaN,21394.4,0.701244391,21315.57,-0.0359598,21394.4,1.091243606,21315.57,1.259906404,21394.4,-0.361720559,21315.57,-0.199976492
21402,3.598096456,21319.92,3.929077761,21402,-1.402823663,21319.92,NaN,21402,0.466778293,21319.92,-0.241466218,21402,1.1184435,21319.92,1.245558794,21402,-0.432766507,21319.92,-0.159747235
21409.5,3.56049142,21324.27,3.93824368,21409.5,-2.138813815,21324.27,NaN,21409.5,0.628441561,21324.27,-0.033691587,21409.5,1.105005622,21324.27,1.243085823,21409.5,-0.420616913,21324.27,-0.18391328
21417,3.568925094,21328.61,3.999976699,21417,-2.957511061,21328.61,-1.398047915,21417,0.473784352,21328.61,-0.186880717,21417,1.089171492,21328.61,1.207759073,21417,-0.398992594,21328.61,-0.172698793
21424.5,3.522477306,21332.96,4.007424015,21424.5,-1.218898455,21332.96,NaN,21424.5,0.590252757,21332.96,-0.219517308,21424.5,1.125543065,21332.96,1.26605953,21424.5,-0.405465108,21332.96,-0.00758729
21432,3.528354808,21337.31,3.97530535,21432,-3.280911216,21337.31,-0.037048036,21432,0.795495646,21337.31,-0.091801475,21432,1.156189863,21337.31,1.298828955,21432,-0.350606748,21337.31,-0.030614636
21439.6,3.616430132,21341.66,3.993877835,21439.6,-2.043814364,21341.66,NaN,21439.6,0.668227858,21341.66,-0.194163602,21439.6,1.130584074,21341.66,1.240217288,21439.6,-0.406761285,21341.66,-0.162661369
21447.1,3.60913024,21346.01,3.987812103,21447.1,-0.944120719,21346.01,NaN,21447.1,0.649237688,21346.01,-0.053447539,21447.1,1.145873646,21346.01,1.281345104,21447.1,-0.291667729,21346.01,-0.130147295
21454.6,3.595841082,21350.36,3.932869024,21454.6,-1.28569679,21350.36,-0.046324255,21454.6,0.571577286,21350.36,-0.0301544,21454.6,1.099272612,21350.36,1.263231643,21454.6,-0.347766883,21350.36,-0.214275169
