Age_SH20	Ln(Fe/Mn)
cal a BP	NA
1830.72	3.347837971
1833.39	3.160606917
1837.38	3.071863783
1840.04	3.212922656
1842.71	3.40807529
1845.37	3.383865925
1849.36	3.300073232
1852.03	3.216263721
1854.69	3.334995642
1858.68	3.726619782
1861.35	3.52068836
1864.01	3.28804433
1866.67	3.435718576
1870.67	3.32498025
1873.33	3.410378408
1875.99	3.370006075
1879.99	3.351698305
1882.65	3.276105592
1885.31	3.283414346
1887.98	3.348934938
1891.97	3.288442009
1894.63	3.313240326
1897.3	3.258096538
1901.29	3.403507636
1903.95	3.390658168
1906.95	3.226563243
1910.26	3.320104103
1915.24	3.20941949
1918.56	3.19626927
1921.88	3.190012555
1926.86	3.35755022
1930.18	3.397984896
1933.5	3.216316642
1936.82	3.218181139
1941.79	3.230304521
1945.11	3.190345469
1948.43	3.218028905
1953.41	3.337997677
1956.73	3.351105
1960.05	3.052769907
1963.37	3.372586848
1968.35	3.342836012
1971.67	3.260364756
1974.98	3.274021195
1978.3	3.274155194
1983.28	3.266221945
1986.6	3.637359274
1989.92	3.41854602
1994.9	3.334743227
1998.22	3.383236595
2001.54	3.309298831
2004.85	3.537289595
2009.83	3.268635869
2013.15	3.335432686
2016.47	3.188069762
2021.45	3.317256549
2024.77	3.459182715
2028.09	3.352354769
2031.41	3.287877615
2036.39	3.239569321
2039.7	3.159487896
2043.02	3.039202188
2048	3.019952705
2051.32	3.189833139
2054.64	3.145030976
2057.96	3.067485559
2062.94	2.982849648
2066.26	3.151556429
2069.57	2.875863731
2074.22	2.959594885
2077.21	3.002542365
2080.19	2.933019102
2083.18	2.926319146
2087.66	2.981497158
2090.65	2.804636191
2093.64	2.891186024
2096.62	3.03638709
2101.1	2.901810775
2104.09	2.912267898
2107.08	3.003466264
2111.56	2.948448608
2114.54	3.050199872
2117.53	3.37290988
2120.52	3.061307854
2125	3.33807422
2127.98	3.08049754
2130.97	2.937838295
2135.45	2.910669835
2138.44	2.989796323
2141.42	3.113942568
2144.41	3.099724507
2148.89	3.204055805
2151.88	3.400732157
2154.86	3.270620995
2159.35	3.086048685
2162.33	3.150596984
2165.32	2.980470416
2168.31	3.062332347
2172.79	2.970269591
2175.77	3.068458478
2178.76	3.043226821
2183.24	3.046236969
2186.23	3.034952987
2189.21	3.068944354
2192.2	3.088480475
2196.68	3.083923952
2199.67	3.078568279
2202.65	3.185797403
2205.64	3.113099076
2210.12	3.1956376
2213.11	3.153715844
2216.09	3.205116112
2220.57	3.208196048
2223.18	2.897868045
2225.79	3.161838984
2228.39	3.146212165
2232.3	3.15678834
2234.91	3.248811927
2237.51	3.148536964
2241.42	3.22126996
2244.03	3.234030126
2246.63	3.213849285
2249.24	3.243885144
2253.15	3.219283905
2255.76	3.28042353
2258.36	3.411615466
2262.27	3.243627207
2264.88	3.162980693
2267.48	3.379019642
2270.09	3.336127087
2274	3.204018525
2276.6	3.146826971
2279.21	3.267127955
2283.12	3.398459261
2285.73	3.308656588
2288.33	3.166051895
2290.94	3.393798281
2294.85	3.22983913
2297.45	3.374092035
2300.06	3.098965528
2302.66	3.182622134
2306.57	3.075917421
2309.18	3.104410542
2311.79	3.236269683
2315.69	3.467714578
2318.3	3.198820992
2320.91	3.117116321
2323.51	3.147624766
2327.42	3.203959939
2330.03	3.230873737
2332.63	3.240794133
2336.54	3.093704451
2339.15	3.231368889
2341.75	3.216563122
2344.36	3.135639133
2348.27	3.16189839
2350.88	3.228766148
2353.3	3.581950758
2356.93	3.160073441
2359.35	3.290576139
2361.77	3.245097283
2364.2	3.419523722
2367.83	3.411346073
2370.25	3.499309469
2372.67	3.243354256
2376.3	3.193696607
2378.73	3.268788254
2381.15	3.110930921
2383.57	3.192005049
2387.2	3.235676574
2389.62	3.156300288
2392.05	3.077407413
2394.47	3.154590075
2398.1	3.157804368
2400.52	3.081740061
2402.94	2.73817127
2406.58	2.904466104
2409	2.913084825
2411.42	3.022132298
2413.84	2.886462754
2417.47	2.907950686
2419.9	2.795256981
2422.32	2.808676637
2425.95	2.973077583
2428.37	2.816916016
2430.79	2.860942228
2433.21	2.8549739
2436.85	2.738099727
2439.27	2.72383207
2441.69	2.655619158
2445.32	2.611389074
2447.74	2.505903795
2450.17	2.678692636
2452.59	2.691317746
2456.22	2.757934457
2458.64	2.72744139
2461.06	2.771749444
2464.7	2.787289911
2467.12	2.895578166
2469.54	3.179909118
2471.96	3.214132197
2474.51	3.397364911
2477.06	3.287557212
2478.33	3.414198914
2480.88	3.371614288
2483.43	3.497372988
2485.98	3.302233671
2488.53	3.470842896
2491.08	3.436061067
2492.35	3.362086252
2494.9	3.51181876
2497.45	3.546096424
2500	3.413954299
2502.55	3.421994115
2503.82	3.47119237
2506.37	3.289196566
2508.92	3.366390955
2511.47	3.310398463
2514.02	3.326861463
2516.56	3.268601417
2517.84	3.442117331
2520.39	3.500844395
2522.94	3.239095553
2525.48	3.334965672
2528.03	3.225346988
2529.31	3.340372122
2531.86	3.335860821
2534.41	3.368841937
2536.95	3.343971157
2539.5	3.287757579
2542.05	3.276588151
2543.33	3.384926485
2545.87	3.262226266
2548.42	3.332059907
2550.97	3.309398694
2553.52	3.327953561
2554.79	3.233581972
2557.34	3.420970567
2559.89	3.258486934
2562.44	3.274974576
2564.99	3.308002274
2567.54	3.405004388
2568.81	3.509308602
2571.36	3.414514116
2573.91	3.334625623
2576.46	3.431038141
2579.01	3.082624108
2580.28	3.230259547
2582.83	3.206803244
2585.38	3.303676427
2587.93	3.335137236
2590.48	3.224736752
2593.03	3.250566472
2594.3	3.457678235
2596.85	3.455056551
2599.4	3.265077608
2601.94	3.361074583
2604.49	3.269795915
2605.76	3.324188001
2608.31	3.278789574
2610.85	3.296883302
2613.4	3.259494162
2615.94	3.376411404
2618.49	3.238613308
2619.76	3.242307356
2622.31	3.126236701
2624.85	3.13074494
2627.4	3.17141081
2629.94	3.142608971
2631.21	3.152287322
2633.76	3.216718618
2636.31	3.041158263
2638.85	3.268273707
2641.4	3.242616919
2643.94	3.079355426
2645.21	3.020078045
2647.76	3.103306404
2650.31	3.084864255
2652.85	3.169685581
2655.4	3.073265352
2656.67	3.053389316
2659.21	2.982430989
2661.76	2.985611789
2664.31	3.071848951
2666.85	3.051128488
2669.4	2.973818377
2670.67	2.945380789
2673.21	2.893541333
2675.76	2.99212111
2678.31	3.344632264
2680.85	3.237280611
2682.12	3.135947012
2684.67	3.141162927
2687.21	3.220948603
2689.76	3.003726068
2692.31	3.022444137
2694.85	3.04770614
2696.12	3.046078858
2698.67	3.251047338
2701.21	3.198619269
2703.76	3.176016624
2706.31	3.067477537
2707.58	3.124496605
2710.12	3.118583974
2712.67	3.168193549
2715.21	3.170203906
2717.76	3.209277671
2720.31	3.052242131
2721.58	2.888954323
2724.12	3.102224224
2726.67	2.997868149
2729.22	2.854004114
2731.78	2.64619892
2733.06	2.835606008
2735.61	3.005998802
2738.17	2.827123603
2740.72	2.955882661
2743.28	3.018755785
2745.83	3.057829631
2747.11	3.063367731
2749.66	3.103312546
2752.22	3.261528545
2754.77	2.976615055
2757.33	2.926639637
2758.6	2.964818927
2761.16	2.849639655
