LP08_Strat_depth,Mean_age,LP08_Ln(Fe/Mn),100-yr_PCHIP_age,LP08_Ln(Fe/Mn),LP08_Ln(Fe/Mn)_Z_score
cm,cal a BP,NA,cal a BP,NA,NA
5.8,118.54,3.544744647,120,3.5476,0.71036
6.1,127.62,3.572206339,130,3.5865,0.75116
6.3,133.67,3.603858623,140,3.5155,0.6637
6.6,142.75,3.483127646,150,3.4632,0.62373
6.9,151.83,3.45946629,160,3.4431,0.6291
7.2,160.9,3.442783415,170,3.5493,0.70366
7.5,169.98,3.54934763,180,3.5863,0.83869
7.7,176.04,3.536749678,190,3.6884,0.83861
8,185.11,3.669994191,200,3.6259,0.68011
8.3,194.19,3.694444299,210,3.5141,0.84643
8.6,203.27,3.57508844,220,3.6736,0.82228
8.8,209.33,3.511383779,230,3.6505,0.72663
9.1,218.4,3.687607459,240,3.5996,0.26095
9.3,224.46,3.606595762,250,3.138,0.73263
9.6,233.54,3.672822017,260,3.5764,0.62952
9.9,242.61,3.545238274,270,3.4672,0.59043
10.2,251.92,3.095289466,280,3.4255,0.61219
10.4,258.2,3.58316275,290,3.4513,0.68124
10.7,267.63,3.488167606,300,3.5574,0.66655
11,277.05,3.424012059,310,3.4543,0.64524
11.3,286.47,NaN,320,3.5193,0.75941
11.6,295.89,3.480213922,330,3.628,0.77647
11.8,302.18,3.58302572,340,3.5694,0.59496
12.1,311.6,3.443644072,350,3.4395,0.6549
12.4,321.02,3.530058215,360,3.4867,0.64112
12.7,330.44,3.628466327,370,3.5263,0.72385
13,339.86,3.571008209,380,3.5427,0.69494
13.2,346.15,3.40598296,390,3.4744,0.63221
13.5,355.57,3.497956417,400,3.3996,0.57272
13.8,364.99,3.473213999,410,3.6738,0.87733
14.1,374.41,3.570222875,420,3.6237,0.71848
14.4,383.84,3.513924316,430,3.4182,0.64885
14.6,390.12,3.473518043,440,3.2757,0.46564
14.9,399.54,3.392268751,450,3.2233,0.39468
15.1,405.82,3.872636761,460,3.9053,0.88081
15.4,415.24,3.394508394,470,3.3687,0.70103
15.6,421.53,3.663758865,480,3.4493,0.57106
15.9,430.95,3.395724342,490,3.4343,0.63285
16.1,437.23,3.301113923,500,3.2467,0.56657
16.5,449.79,3.222274299,510,3.2726,0.37458
16.8,459.22,3.916015027,520,3.4695,0.46333
17.1,468.64,3.364858786,530,3.3076,0.62192
17.3,474.92,3.409379777,540,3.476,0.47449
17.6,484.34,3.468048043,550,3.3399,0.64982
17.9,493.76,3.392171261,560,3.2662,0.50953
18.2,503.19,3.205131002,570,3.2402,0.47167
18.5,512.61,3.315976974,580,3.3809,0.3913
18.7,518.89,3.476679326,590,3.6137,0.42954
19,528.31,3.290237747,600,3.6199,0.59088
19.3,537.74,3.494571452,610,3.4799,0.77675
19.6,547.16,3.351035309,620,3.3156,0.79361
19.9,556.58,3.319475023,630,3.2078,0.72079
20.1,563.4,3.222867846,640,3.3124,0.58298
20.4,574.43,3.267105608,650,3.3158,0.46114
20.6,581.79,3.422482246,660,3.3691,0.37654
20.9,592.82,3.637844124,670,3.3558,0.41697
21.1,600.17,3.619172042,680,3.3275,0.53379
21.4,611.2,3.460104844,690,3.2305,0.44143
21.6,618.56,3.333885968,700,3.0751,0.56228
22,633.27,3.197608618,710,3.1825,0.53088
22.3,644.3,3.370862002,720,3.3195,0.49422
22.6,655.33,3.265973414,730,3.2177,0.48871
22.8,662.69,3.413989986,740,3.26,0.32128
23.1,673.72,3.331845508,750,3.4163,0.23612
23.4,684.75,3.323673075,760,3.2826,0.26765
23.7,695.78,3.105262167,770,3.2213,0.5317
24,706.82,3.051552344,780,3.2307,0.42171
24.2,714.17,3.379155282,790,3.2735,0.37015
24.5,725.2,3.250515426,800,3.2909,0.4348
24.8,736.23,3.195655283,810,3.2379,0.59668
25.1,747.27,3.433856066,820,3.2387,0.48368
25.4,758.3,3.294101713,830,3.2506,0.42646
25.6,765.65,3.252740339,840,3.1461,0.37183
25.9,776.68,3.188016953,850,3.1216,0.39443
26.1,784.04,3.288090894,860,3.2803,0.44627
26.4,795.07,3.262129103,870,3.4073,0.4282
26.7,806.1,3.330439285,880,3.4089,0.4873
26.9,813.46,3.160489767,890,3.3251,0.35292
27.2,824.49,3.283067063,900,3.3572,0.3961
27.5,835.52,3.194753883,910,3.3252,0.43769
27.8,846.55,3.096895802,920,3.333,0.36148
28.1,857.59,3.246461735,930,3.5984,0.27723
28.3,864.94,3.345655308,940,3.4908,0.30405
28.6,875.97,3.448513706,950,3.3068,0.43299
28.9,887,3.317705556,960,3.2947,0.53597
29.2,898.04,3.358210021,970,3.3368,0.61229
29.5,909.07,3.332041418,980,3.2096,0.52435
29.7,916.42,3.243169763,990,3.2077,0.49405
30,927.45,3.605796051,1000,3.0398,0.5234
30.3,938.56,3.511832424,1010,3.1436,0.50676
30.6,949.67,3.30878156,1020,2.9763,0.4214
30.8,957.08,3.280541371,1030,2.9865,0.61568
31.1,968.19,3.363556949,1040,3.2525,0.74684
31.3,975.6,3.185019644,1050,3.2914,0.53897
31.6,986.71,3.255986833,1060,3.1556,0.44967
31.9,997.82,3.027243733,1070,3.1608,0.44929
