LP08_10ka,LP08_10ka,LP16_10ka,LP16_10ka,LP08_10ka,LP08_10ka,LP16_10ka,LP16_10ka,LP08_10ka,LP08_10ka,LP16_10ka,LP16_10ka,LP08_10ka,LP08_10ka,LP16_10ka,LP16_10ka,LP08_10ka,LP08_10ka,LP16_10ka,LP16_10ka
SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_Ca_Ti,SH20M1H_mean_age,Ln_Ca_Ti
cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA
302.18,3.58302572,302.25,1.973502155,302.2,2.199866587,302.25,1.866322823,302.2,1.392229097,302.25,1.905862193,302.2,1.596673721,302.25,5.277384797,302.2,1.380324194,302.25,2.952714888
311.6,3.443644072,304.83,2.171794091,311.6,1.858653704,304.83,1.692818846,311.6,1.535039622,304.83,1.892492523,311.6,1.616085127,304.83,4.21305436,311.6,1.276732159,304.83,2.668541158
321.02,3.530058215,307.41,2.228556284,321,1.570452466,307.41,1.939373927,321,1.348836799,307.41,1.936981998,321,1.620835921,307.41,4.623328288,321,1.32956838,307.41,2.984444314
330.44,3.628466327,309.99,2.112450287,330.4,1.838279485,309.99,1.899152984,330.4,1.408370313,309.99,1.88354173,330.4,1.570477101,309.99,5.02561785,330.4,1.412727618,309.99,2.936218146
339.86,3.571008209,312.57,2.029931481,339.9,1.556919878,312.57,1.853793417,339.9,1.05908145,312.57,1.880244143,339.9,1.585536927,312.57,3.906199702,339.9,1.067113622,312.57,2.461121745
346.15,3.40598296,315.15,2.317239101,346.2,1.446918983,315.15,1.868011055,346.2,1.080330244,315.15,1.872535584,346.2,1.621381803,315.15,3.417272743,346.2,0.834797698,315.15,2.646492308
355.57,3.497956417,317.73,2.464018162,355.6,1.6300572,317.73,1.815251993,355.6,1.471133241,317.73,1.85744221,355.6,1.578903367,317.73,3.23537747,355.6,1.228665417,317.73,2.605952331
364.99,3.473213999,320.31,2.240709689,365,1.184057495,320.31,1.972642174,365,1.055440117,320.31,1.893135526,365,1.620861346,320.31,4.676185719,365,0.693147181,320.31,3.225171753
374.41,3.570222875,322.89,2.472161129,374.4,2.159484249,322.89,1.450141575,374.4,1.446918983,322.89,1.913024783,374.4,1.611239061,322.89,1.876537336,374.4,1.878191975,322.89,1.968463034
383.84,3.513924316,325.47,2.454344857,383.8,1.663505134,325.47,1.227861537,383.8,1.247457916,325.47,1.881685364,383.8,1.594111942,325.47,1.848328342,383.8,1.079920156,325.47,2.082485684
