1_LP08_Fe_Mn_&_LP16_Fe_Mn Series 1 = LP08_Ln(Fe/Mn); Series 2 = LP16_Ln(Fe/Mn); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,2_LP08_Br_Ti_&_LP16_Br_Ti:  Series 1 = LP08_Ln(Br/Ti); Series 2 = LP16_Ln(Br/Ti); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,3_LP08_Mn_Ti_&_LP16_Mn_Ti:  Series 1 = LP08_Ln(Mn/Ti); Series 2 = LP16_Ln(Mn/Ti); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,4_LP08_Inc_Coh_&_LP16_Inc_Coh:  Series 1 = LP08_Ln(Inc/Coh); Series 2 = LP16_Ln(Inc/Coh); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,5_LP08_Ca_Ti_&_LP16_Ca_Ti:  Series 1 = LP08_Ln(Ca/Ti); Series 2 = LP16_Ln(Ca/Ti); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,
s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect
cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years
302.18,3.58302572,302.25,1.973502155,302.18,1.1047,0.087457,0.12797,302.25,-2.6534,-1.0214,-1.3498,300,3.6457,1.1964,300,-2.9607,0.81769,0.15004,0.21954,-2.2403,-1.2507,-1.6529,2560,1240,568.41,530.52,302.2,2.199866587,302.25,1.866322823,302.2,1.4063,0.1574,0.16897,302.25,1.194,1.0962,1.9294,300,2.2872,1.5001,300,2.1554,1.3974,0.24451,0.26249,1.2246,1.6418,2.8897,2560,2480,589.46,,302.2,1.392229097,302.25,1.905862193,302.2,-0.57811,0.18083,0.25454,302.25,3.217,4.3264,3.0162,300,1.3098,-0.6941,300,4.3787,-0.49311,0.098517,0.13867,6.2808,5.9932,4.1782,2560,620,837.66,1591.5,302.2,1.596673721,302.25,5.277384797,302.2,0.6054,-0.1065,-0.72543,302.25,1.3682,0.28143,1.9117,300,1.5903,0.56208,300,1.8732,0.082516,-0.1129,-0.76906,0.27577,0.35689,2.4242,2560,2480,279.22,,302.2,1.380324194,302.25,2.952714888,302.2,0.77753,0.27423,0.56673,302.25,0.31815,1.557,1.31,300,1.4254,0.87077,300,0.95781,0.42135,0.31933,0.65994,1.1384,2.3156,1.9482,2560,620,936.21,1591.5
311.6,3.443644072,304.83,2.171794091,311.6,0.90078,-0.051318,-0.075089,304.83,-2.3914,-0.82554,-1.091,310,3.4483,0.90759,310,-2.4703,0.62028,-0.046695,-0.068324,-1.8692,-0.89019,-1.1765,853.33,413.33,318.31,,311.6,1.858653704,304.83,1.692818846,311.6,1.04,-0.18276,-0.19619,304.83,0.88859,0.92161,1.6221,310,1.9127,1.0981,310,1.2515,1.0229,-0.12887,-0.13834,0.71102,1.1256,1.9812,512,413.33,397.89,,311.6,1.535039622,304.83,1.892492523,311.6,-0.37709,0.3231,0.45479,304.83,2.475,3.2628,2.2747,310,1.5314,-0.38218,310,3.0415,-0.27151,0.31951,0.44974,4.3627,4.0768,2.8422,853.33,354.29,430.15,397.89,311.6,1.616085127,304.83,4.21305436,311.6,0.73763,-0.086908,-0.592,304.83,1.2774,0.26786,1.8195,310,1.6143,0.72573,310,1.2164,0.10654,-0.088693,-0.60416,0.17907,0.25848,1.7558,640,,215.07,,311.6,1.276732159,304.83,2.668541158,311.6,0.56345,0.17073,0.35284,304.83,0.079052,1.2698,1.0684,310,1.2803,0.57091,310,0.30397,0.27625,0.17434,0.36029,0.36128,1.5311,1.2882,640,91.852,454.73,176.84
321.02,3.530058215,307.41,2.228556284,321.02,1.0272,0.035702,0.05224,307.41,-2.3163,-0.77124,-1.0193,320,3.5193,1.0115,320,-2.2885,0.69129,0.024887,0.036415,-1.7316,-0.76239,-1.0076,365.71,248,241.14,,321,1.570452466,307.41,1.939373927,321,0.73063,-0.46991,-0.50445,307.41,1.3225,1.1671,2.0542,320,1.5764,0.737,320,1.3701,0.68653,-0.464,-0.49811,0.77841,1.1888,2.0924,134.74,206.67,294.73,,321,1.348836799,307.41,1.936981998,321,-0.63919,0.13635,0.19193,307.41,2.761,3.6738,2.5612,320,1.3547,-0.63092,320,2.7579,-0.44822,0.14224,0.20022,3.9559,3.6729,2.5606,365.71,275.56,248.68,144.69,321,1.620835921,307.41,4.623328288,321,0.76999,-0.08198,-0.55843,307.41,1.5796,0.31215,2.1203,320,1.6208,0.7695,320,1.2559,0.11296,-0.082056,-0.55895,0.18489,0.26354,1.7901,284.44,,146.01,,321,1.32956838,307.41,2.984444314,321,0.67264,0.22366,0.46222,307.41,0.34484,1.5827,1.3316,320,1.3224,0.65785,320,0.52663,0.31832,0.21649,0.44741,0.62592,1.7839,1.5009,365.71,,318.31,
330.44,3.628466327,309.99,2.112450287,330.44,1.1712,0.13472,0.19712,309.99,-2.4698,-0.8898,-1.1759,330,3.628,1.1706,330,-2.5198,0.80001,0.13428,0.19648,-1.9067,-0.94712,-1.2517,232.73,145.88,147.37,,330.4,1.838279485,309.99,1.899152984,330.4,1.0181,-0.20102,-0.2158,309.99,1.2518,1.1258,1.9815,330,1.8369,1.0166,330,0.91481,0.94701,-0.20244,-0.21733,0.51975,0.92611,1.63,98.462,177.14,221.05,,330.4,1.408370313,309.99,1.88354173,330.4,-0.55539,0.19534,0.27497,309.99,3.0415,4.0769,2.8422,330,1.4081,-0.55583,330,2.0512,-0.39488,0.19503,0.27453,2.9422,2.662,1.8559,232.73,206.67,187.24,106.1,330.4,1.570477101,309.99,5.02561785,330.4,0.42696,-0.13216,-0.90026,309.99,1.2166,0.25851,1.756,330,1.5707,0.42877,330,0.96971,0.062944,-0.1319,-0.89846,0.14276,0.22059,1.4984,,,126.31,,330.4,1.412727618,309.99,2.936218146,330.4,0.8445,0.30691,0.63427,309.99,0.30427,1.5315,1.2885,330,1.4124,0.84382,330,-0.14299,0.40831,0.30659,0.6336,-0.16995,0.97645,0.82155,256,,174.9,
339.86,3.571008209,312.57,2.029931481,339.86,1.0871,0.077865,0.11393,312.57,-2.5788,-0.97478,-1.2883,340,3.5694,1.0848,340,-2.4152,0.74136,0.076255,0.11158,-1.8275,-0.87671,-1.1586,196.92,130.53,128.35,,339.9,1.556919878,312.57,1.853793417,339.9,0.7161,-0.48133,-0.51671,312.57,1.1719,1.0794,1.8998,340,1.5547,0.71377,340,1.2473,0.66489,-0.48348,-0.51903,0.70863,1.1112,1.9558,91.429,137.78,180.86,,339.9,1.05908145,312.57,1.880244143,339.9,-1.047,-0.15449,-0.21746,312.57,2.2611,2.9582,2.0623,340,1.0591,-1.047,340,2.8186,-0.74385,-0.15448,-0.21745,4.043,3.7653,2.625,196.92,165.33,148.74,,339.9,1.585536927,312.57,3.906199702,339.9,0.52954,-0.11693,-0.79647,312.57,1.1942,0.25501,1.7322,340,1.5858,0.53142,340,1.1224,0.078015,-0.11665,-0.79457,0.16523,0.24231,1.6459,,,113.68,,339.9,1.067113622,312.57,2.461121745,339.9,0.13025,-0.038606,-0.079785,312.57,-0.095463,1.0534,0.8863,340,1.0634,0.12255,340,0.51405,0.059301,-0.042328,-0.087475,0.61097,1.7475,1.4703,196.92,,138.4,
346.15,3.40598296,315.15,2.317239101,346.15,0.84567,-0.086554,-0.12665,315.15,-2.1991,-0.68993,-0.9118,350,3.4395,0.89474,350,-2.5617,0.61149,-0.052801,-0.077259,-1.9383,-0.9975,-1.3183,160,118.1,108.27,,346.2,1.446918983,315.15,1.868011055,346.2,0.59802,-0.59027,-0.63367,315.15,1.1969,1.0925,1.9229,350,1.5125,0.66843,350,0.99705,0.62265,-0.52431,-0.56285,0.56648,0.96554,1.6994,85.333,107.83,148.74,,346.2,1.080330244,315.15,1.872535584,346.2,-1.0171,-0.13378,-0.18831,315.15,1.9202,2.47,1.722,350,1.2283,-0.80891,350,2.2059,-0.57467,0.013763,0.019373,3.1641,2.8889,2.014,160,130.53,107.54,,346.2,1.621381803,315.15,3.417272743,346.2,0.77371,-0.080903,-0.5511,315.15,1.1418,0.2471,1.6785,350,1.6062,0.67008,350,1.1163,0.09837,-0.096053,-0.6543,0.16434,0.24066,1.6347,,,101.37,,346.2,0.834797698,315.15,2.646492308,346.2,-0.34986,-0.27083,-0.5597,315.15,0.060501,1.2358,1.0398,350,0.97586,-0.058347,350,0.029317,-0.028233,-0.12974,-0.26811,0.034845,1.1613,0.97711,160,,114.5,
355.57,3.497956417,317.73,2.464018162,355.57,0.98025,0.0060257,0.0088169,317.73,-2.0052,-0.54561,-0.72107,360,3.4867,0.96376,360,-1.9447,0.65866,-0.0049674,-0.0072684,-1.4715,-0.53982,-0.71341,134.74,99.2,87.931,,355.6,1.6300572,317.73,1.815251993,355.6,0.79462,-0.40608,-0.43593,317.73,1.1041,1.0387,1.8282,360,1.4284,0.57811,360,0.86067,0.53852,-0.60728,-0.65193,0.48899,0.88397,1.5559,55.652,68.889,117.89,,355.6,1.471133241,317.73,1.85744221,355.6,-0.46704,0.25648,0.36102,317.73,1.7934,2.2888,1.5957,360,1.2832,-0.73164,360,2.5377,-0.51977,0.068259,0.096082,3.6401,3.3677,2.3478,111.3,91.852,95.302,,355.6,1.578903367,317.73,3.23537747,355.6,0.48435,-0.1232,-0.83925,317.73,1.0393,0.23181,1.5746,360,1.5979,0.61359,360,1.1116,0.090078,-0.10415,-0.70946,0.16365,0.23921,1.6249,,,88.419,,355.6,1.228665417,317.73,2.605952331,355.6,0.46411,0.12313,0.25447,317.73,0.026392,1.1923,1.0031,360,0.98651,-0.036335,360,0.63996,-0.017582,-0.11898,-0.24589,0.76062,1.8755,1.578,134.74,,87.448,
364.99,3.473213999,320.31,2.240709689,364.99,0.94405,-0.01811,-0.026499,320.31,-2.3003,-0.77138,-1.0194,370,3.5263,1.0218,370,-1.9556,0.69832,0.035354,0.05173,-1.4797,-0.55757,-0.73687,116.36,85.517,64.175,,365,1.184057495,320.31,1.972642174,365,0.31583,-0.85103,-0.91359,320.31,1.3811,1.195,2.1033,370,1.7184,0.88946,370,0.58921,0.82855,-0.3161,-0.33934,0.33476,0.72563,1.2772,44.912,53.913,92.532,,365,1.055440117,320.31,1.893135526,365,-1.0522,-0.15976,-0.22488,320.31,2.7979,3.7303,2.6006,370,1.2699,-0.75031,370,2.2026,-0.53304,0.0544,0.076573,3.1594,2.8898,2.0146,98.462,82.667,77.637,,365,1.620861346,320.31,4.676185719,365,0.77016,-0.08107,-0.55223,320.31,1.2817,0.26731,1.8157,370,1.6172,0.74537,370,0.94522,0.10942,-0.084638,-0.57654,0.13915,0.21394,1.4532,,,81.202,,365,0.693147181,320.31,3.225171753,365,-0.6426,-0.41229,-0.85205,320.31,0.54738,1.8085,1.5216,370,1.3423,0.699,370,0.32421,0.33823,0.23694,0.48965,0.38534,1.489,1.2528,121.9,,80.381,
374.41,3.570222875,322.89,2.472161129,374.41,1.086,0.079505,0.11633,322.89,-1.9944,-0.54239,-0.71681,380,3.5427,1.0457,380,-1.9675,0.71468,0.052266,0.076476,-1.4887,-0.57628,-0.76161,98.462,70.857,57.25,,374.4,2.159484249,322.89,1.450141575,374.4,1.363,0.12546,0.13468,322.89,0.46146,0.67144,1.1818,380,1.8411,1.0212,380,1.1901,0.95128,-0.19222,-0.20635,0.67618,1.0629,1.8708,39.385,,86.497,,374.4,1.446918983,322.89,1.913024783,374.4,-0.50113,0.23118,0.32541,322.89,0.84608,0.93143,0.64935,380,1.3189,-0.68134,380,2.3627,-0.48404,0.1028,0.14471,3.3891,3.1223,2.1768,91.429,72.941,72.016,,374.4,1.611239061,322.89,1.876537336,374.4,0.70462,-0.090516,-0.61657,322.89,1.4168,0.287,1.9495,380,1.6032,0.64962,380,0.42374,0.095366,-0.098494,-0.67093,0.062383,0.13638,0.92637,,,75.073,,374.4,1.878191975,322.89,1.968463034,374.4,1.8064,0.77285,1.5972,322.89,-0.50997,0.54879,0.46174,380,1.3658,0.74754,380,0.38213,0.36172,0.26053,0.53841,0.45418,1.5457,1.3005,106.67,,69.198,
