SH20M1H_mean_age,Ln_Fe_Mn,SH20M1H_mean_age,Ln_Mn_Ti,SH20M1H_mean_age,Ln_Br_Ti,SH20M1H_mean_age,Ln_inc_coh,SH20M1H_mean_age,Ln_Ca_Ti
cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA
286.78,2.140426348,286.78,4.02527913,286.78,1.510939167,286.78,1.862647076,286.78,2.251291799
289.36,2.21061833,289.36,4.231858395,289.36,1.601893087,289.36,1.887132151,289.36,2.578148577
291.94,2.333745889,291.94,3.982839193,291.94,1.729521646,291.94,1.878582057,291.94,2.467770368
294.51,2.0433691,294.51,4.875303304,294.51,1.699726435,294.51,1.888680638,294.51,2.675394238
297.09,1.950120682,297.09,5.369463319,297.09,1.866793593,297.09,1.871928664,297.09,2.783720563
299.67,1.749472409,299.67,6.300141253,299.67,2.067654988,299.67,1.861913176,299.67,3.076474038
302.25,1.973502155,302.25,5.277384797,302.25,1.866322823,302.25,1.905862193,302.25,2.952714888
304.83,2.171794091,304.83,4.21305436,304.83,1.692818846,304.83,1.892492523,304.83,2.668541158
307.41,2.228556284,307.41,4.623328288,307.41,1.939373927,307.41,1.936981998,307.41,2.984444314
309.99,2.112450287,309.99,5.02561785,309.99,1.899152984,309.99,1.88354173,309.99,2.936218146
312.57,2.029931481,312.57,3.906199702,312.57,1.853793417,312.57,1.880244143,312.57,2.461121745
315.15,2.317239101,315.15,3.417272743,315.15,1.868011055,315.15,1.872535584,315.15,2.646492308
317.73,2.464018162,317.73,3.23537747,317.73,1.815251993,317.73,1.85744221,317.73,2.605952331
320.31,2.240709689,320.31,4.676185719,320.31,1.972642174,320.31,1.893135526,320.31,3.225171753
322.89,2.472161129,322.89,1.876537336,322.89,1.450141575,322.89,1.913024783,322.89,1.968463034
325.47,2.454344857,325.47,1.848328342,325.47,1.227861537,325.47,1.881685364,325.47,2.082485684
328.05,2.335884507,328.05,3.435176052,328.05,1.800723411,328.05,1.875898842,328.05,2.675133386
330.63,2.037539476,330.63,3.653649306,330.63,1.664737926,330.63,1.842669645,330.63,2.356991815
333.21,2.127078386,333.21,3.913661376,333.21,1.464097519,333.21,1.870489366,333.21,2.647837017
335.79,2.210152126,335.79,4.180959391,335.79,1.933674938,335.79,1.891229283,335.79,2.891980769
338.37,2.280565286,338.37,4.795831087,338.37,1.976103246,338.37,1.894212888,338.37,3.255014871
340.95,2.087936514,340.95,NaN,340.95,NaN,340.95,1.85880814,340.95,NaN
343.53,2.062162084,343.53,4.092295482,343.53,1.639664738,343.53,1.900547782,343.53,2.800079
346.11,2.417811672,346.11,3.032162263,346.11,1.673744358,346.11,1.877415596,346.11,2.4601461
348.69,1.850810375,348.69,4.528745529,348.69,1.831212208,348.69,1.850977148,348.69,2.876907028
