ID,Section,Section_depth_min,Section_depth_max,Strat_depth_midpoint,95%_min_age_SH20M1H,95%_max_age_SH20M1H,median_age_SH20M1H,mean_age_SH20M1H,accumulation_rate,Wet density,Dry mass,Dry density,WMAR,DMAR,Aulacoseira ambigua,Aulacoseira granulata s.l.,Discostella stelligera s.l.,Cyclotella cf. meneghiniana,Cyclostephanos cf. patagonicus,Fragilaria restgroep,Staurosirella aff. pinnata,Staurosirella aff. lapponica,Staurosira aff. venter,Pseudostaurosira spp.,Fragilariod girdle view,Cymbella spp.,Pinnunavis spp.,Diploneis spp.,Pinnularia borealis,Mastogloia spp.,Unidentifiable,Sum planktonics,Sum benthics,Sum planktonics,SUM max>10%,Total diatom concentration,Ratio Chrysophyte cysts / Diatom frustules,Total Chrysophyte cysts concentration,Total dry diatom flux,Total dry Chrysophyte cyst flux,Total dry planktonic flux,Total dry benthic flux,PC1(25.66%),PC2(16.81%),PC3(12.57%),PC4(8.12%),PC5(7.42%)
Unit,,cm,cm,cm,cal a BP,cal a BP,cal a BP,cal a BP,cm yr-1,g cm-3,%,g cm-3,g cm-3,g cm-2 yr-1,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,valves/g,NA,valves/g,valves/(cm-2.yr),valves/(cm-2.yr),valves/(cm-2.yr),valves/(cm-2.yr),NA,NA,NA,NA,NA
LP08_D10,LP08-1A,41,42,55.2,1349.07,1761.74,1517.7,1527.96,0.0653,1.063945652,22.55192374,0.239940212,0.069434204,0.015658749,0,8.43,3.72,0,0,4.16,43.59,0,0,1.97,33.3,0.88,0.22,0,0,0,0,12.16,84.12,7.89,96.28,76411310,0.07,2678162,1196506,41937,145468,1006480,0.44,-0.4,-0.76,0.04,-0.11
LP08_D11,LP08-1A,49,50,64.3,1433.02,1925.91,1659.93,1667.4,0.0661,1.010893478,23.69475165,0.239528699,0.066854147,0.015840924,0,11.07,3.84,2.26,0,3.73,42.94,0,1.36,1.36,26.89,0.45,0,0,0,0,0.68,17.18,77.4,9.83,94.58,34246183,0.17,2863523,542491,45361,93174,419894,0.34,-0.35,-0.68,0.08,-0.05
LP08_D12,LP08-1A,57,58,73.4,1530.01,2065.53,1804.77,1805,0.0689,1.038494444,21.66808521,0.225021861,0.071593178,0.015512871,0,4.24,1.11,0.67,0,5.57,62.1,0,0,0.89,22.07,0.45,0,0.22,0,0,0,6.02,91.3,7.36,97.32,71767600,0.07,2560271,1113322,39717,67023,1016511,0.47,-0.4,-0.75,-0.04,-0.08
LP08_D13,LP08-1A,65,66,82.5,1664.84,2178.33,1942.97,1937,0.0655,1.082509783,18.71782998,0.202622341,0.070898341,0.013270631,0,6.15,34.64,0,0,4.47,33.74,0,0,0.45,4.69,2.68,0.22,0,0,0.45,0.89,40.78,47.6,39.11,88.38,18081609,0.38,3394090,239954,45042,97858,114213,0.15,-0.17,-0.18,-0.16,0.02
LP08_D14,LP08-1A,73,74,91.7,1828.43,2281.27,2087.87,2077.47,0.0595,1.024869565,18.28883088,0.187436662,0.060940362,0.01114528,0.41,11.63,80.2,0,0,0,1.84,0,0,0.2,1.63,1.02,0,0,0.2,0,0,92.24,4.9,80.2,97.14,183825935,0.18,16506819,2048791,183973,1889906,100349,-0.3,0.13,0.02,-0.16,0.09
LP08_D15,LP08-1A,81,82,100.8,2139.41,2345.68,2219.53,2230.51,0.0816,1.077942391,18.66645071,0.201213585,0.087928252,0.016413084,0,13.03,77.74,0,0,0,1.61,0,0.23,0.23,0,0.69,0,0.46,0,0,0.23,90.77,3.46,77.74,94.23,65202579,0.51,16545060,1070175,271555,971428,37030,-0.3,0.18,0.02,-0.13,0.08
LP08_D16,LP08-1A,89,90,109.9,2184.3,2571.25,2332.86,2342.07,0.0798,1.090728261,18.04942128,0.196870139,0.086987633,0.015700764,0,10.76,71.52,0,0,1.01,6.5,0.45,0,0.67,0.67,0.9,0,0,0,0,0.22,82.29,10.43,72.53,92.71,58872939,0.43,12804204,924350,201036,760620,96373,-0.22,0.11,0,-0.16,0.06
LP08_D17,LP08-1B,0,1,118.9,2249.62,2711.48,2446.7,2454.92,0.0819,1.013517742,17.29742367,0.175312458,0.082999633,0.014356798,0,7.24,78.73,0,0,0.9,6.11,0,0,0.68,2.49,0,0,0,0,0,0.23,85.97,10.41,79.64,96.38,105017842,0.15,7840699,1507720,112567,1296230,156912,-0.23,0.12,-0.06,-0.22,0.05
LP08_D18,LP08-1B,8,9,126.1,2309.26,2816.64,2536.87,2542.84,0.0801,1.064211111,17.13429455,0.182345066,0.085286432,0.014613229,0,18.16,67.42,0,0,0,4.65,0,0,0.45,0,1.14,0,0,0,0,0.45,85.58,6.7,67.42,92.28,41645981,0.63,13046868,608582,190657,520852,40756,-0.32,0.12,0.01,-0.03,0.06
LP08_D19,LP08-1B,16,17,133.4,2389.06,2916.76,2628.62,2633.93,0.0779,1.799611111,17.88300945,0.321824625,0.140204494,0.025072783,0,15.68,52.63,0.66,0,2.63,14.36,0,0,0,1.97,2.41,0,0,0,0.22,0.66,68.97,22.26,55.92,91.23,35730098,0.29,5171461,895853,129663,617864,199406,-0.12,-0.01,-0.03,-0.05,0.06
