ID,Section,Section_depth_min,Section_depth_max,Strat_depth_midpoint,95%_min_age_SH20M1H,95%_max_age_SH20M1H,median_age_SH20M1H,mean_age_SH20M1H,accumulation_rate,Wet density,Dry mass,Dry density,WMAR,DMAR,Aulacoseira ambigua,Aulacoseira granulata s.l.,Discostella stelligera s.l.,Cyclotella sp. C,Cyclotella cf. meneghiniana,Cyclostephanos cf. patagonicus,Centric spec. A,Fragilaria restgroep,Fragilaria capucina s.l.,Fragilaria morph. B,Staurosirella aff. pinnata,Staurosirella aff. rhomboides,Staurosirella aff. lapponica,Staurosira aff. venter,Pseudostaurosira spp.,Fragilaria morph. D,Opephora morph. A,Fragilariod girdle view,Amphora cf. pediculus,Gomphonema spp.,Cymbella spp.,Diadesmis spp.,Pinnunavis spp.,Navicula sp. A,Neidium spp.,Gyrosigma spp.,Diploneis spp.,Pinnularia borealis,Craticula spp. (som bovenstaande),Mastogloia spp.,Epithemia spp.,Sellaphora aff. seminulum,Unidentifiable,SUM,Sum planktonics,Sum benthics,Sum planktonics,Sum diatoms,Total diatom concentration,Ratio Chrysophyte cysts / Diatom frustules,Total Chrysophyte cysts concentration,Total dry diatom flux,Total dry Chrysophyte cyst flux,Total dry planktonic flux,Total dry benthic flux
LP08_D10,LP08-1A,41,42,55.2,1349.07,1761.74,1517.7,1527.96,0.0653,1.063945652,22.55192374,0.239940212,0.069434204,0.015658749,0,8.43,3.72,0,0,0,0,4.16,0.22,0,43.59,0,0,0,1.97,0,0,33.3,0,0,0.88,0,0.22,0,0,0,0,0,0.22,0,0,0,0,96.71,12.16,84.56,8.11,96.71,76411310,0.07,2678162,1196506,41937,145468,1011722
LP08_D11,LP08-1A,49,50,64.3,1433.02,1925.91,1659.93,1667.4,0.0661,1.010893478,23.69475165,0.239528699,0.066854147,0.015840924,0,11.07,3.84,0,2.26,0,0,3.73,0.23,0,42.94,0,0,1.36,1.36,0,0,26.89,0,2.71,0.45,0,0,0,0,0,0,0,0.45,0,0,0,0.68,97.97,17.18,80.79,10.06,97.97,34246183,0.17,2863523,542491,45361,93174,438284
LP08_D12,LP08-1A,57,58,73.4,1530.01,2065.53,1804.77,1805,0.0689,1.038494444,21.66808521,0.225021861,0.071593178,0.015512871,0,4.24,1.11,0,0.67,0,0,5.57,0,0,62.1,0,0,0,0.89,0,0,22.07,0,1.34,0.45,0,0,0,0,0,0.22,0,0,0,0,0,0,98.66,6.02,92.64,7.36,98.66,71767600,0.07,2560271,1113322,39717,67023,1031405
LP08_D13,LP08-1A,65,66,82.5,1664.84,2178.33,1942.97,1937,0.0655,1.082509783,18.71782998,0.202622341,0.070898341,0.013270631,0,6.15,34.64,0.22,0,0,0,4.47,0.89,0.45,33.74,0,0,0,0.45,0,0,4.69,0,1.56,2.68,0,0.22,0,0,0,0,0,2.46,0.45,0,0.22,0.89,94.19,41.01,53.18,40.22,94.19,18081609,0.38,3394090,239954,45042,98395,127618
LP08_D14,LP08-1A,73,74,91.7,1828.43,2281.27,2087.87,2077.47,0.0595,1.024869565,18.28883088,0.187436662,0.060940362,0.01114528,0.41,11.63,80.2,0,0,0,0,0,0.2,0,1.84,0.2,0,0,0.2,0,0,1.63,0,0.2,1.02,0,0,0,0,0,0,0.2,0.2,0,0,0,0,97.96,92.24,5.71,80.41,97.96,183825935,0.18,16506819,2048791,183973,1889906,117074
LP08_D15,LP08-1A,81,82,100.8,2139.41,2345.68,2219.53,2230.51,0.0816,1.077942391,18.66645071,0.201213585,0.087928252,0.016413084,0,13.03,77.74,0,0,0,0,0,1.38,0,1.61,0,0,0.23,0.23,0,0,0,0,1.61,0.69,0,0,0,0,0,0.46,0,0.92,0,0,0,0.23,98.15,90.77,7.38,79.12,98.15,65202579,0.51,16545060,1070175,271555,971428,78998
LP08_D16,LP08-1A,89,90,109.9,2184.3,2571.25,2332.86,2342.07,0.0798,1.090728261,18.04942128,0.196870139,0.086987633,0.015700764,0,10.76,71.52,0.22,0,0,0,1.01,0.45,0.11,6.5,0.45,0.45,0,0.67,0,0,0.67,0,0.9,0.9,0,0,0,0.67,0,0,0,0.67,0,0,0,0.22,96.19,82.51,13.68,73.21,96.19,58872939,0.43,12804204,924350,201036,762692,126425
LP08_D17,LP08-1B,0,1,118.9,2249.62,2711.48,2446.7,2454.92,0.0819,1.013517742,17.29742367,0.175312458,0.082999633,0.014356798,0,7.24,78.73,0.23,0,0,0,0.9,0.45,0.23,6.11,0,0,0,0.68,0,0,2.49,0,1.13,0,0,0,0,0.23,0,0,0,0.68,0,0,0,0.23,99.32,86.2,13.12,80.32,99.32,105017842,0.15,7840699,1507720,112567,1299641,197846
LP08_D18,LP08-1B,8,9,126.1,2309.26,2816.64,2536.87,2542.84,0.0801,1.064211111,17.13429455,0.182345066,0.085286432,0.014613229,0,18.16,67.42,0.23,0,0,0,0,0.91,0.11,4.65,0.34,0,0,0.45,0,0,0,0,1.36,1.14,0,0,0,0,0,0,0,1.36,0,0,0,0.45,96.59,85.81,10.78,68.56,96.59,41645981,0.63,13046868,608582,190657,522234,65625
LP08_D19,LP08-1B,16,17,133.4,2389.06,2916.76,2628.62,2633.93,0.0779,1.799611111,17.88300945,0.321824625,0.140204494,0.025072783,0,15.68,52.63,0,0.66,0,0,2.63,0.44,0,14.36,0,0,0,0,0,0,1.97,0,1.97,2.41,0,0,0,0.22,0,0,0,1.75,0.22,0,0,0.66,95.61,68.97,26.64,56.36,95.61,35730098,0.29,5171461,895853,129663,617864,238698
LP08_D20,LP08-1B,24,25,140.7,2464.93,3014.78,2727.26,2727.63,0.079,1.089727778,20.04943889,0.218484305,0.086055958,0.017253737,0,9.77,7.46,0.44,0,0,0,4.94,1.76,0.33,45.88,0,0.22,0,0.44,0,0,6.81,0,8.34,3.29,0,0,0,0.22,0,0.22,0,1.32,0.22,0,0.44,1.98,94.07,17.67,76.4,14.6,94.07,11613942,0.72,4181529,200384,72147,35414,153092
LP08_D21,LP08-1B,32,33,148,2577.44,3090.02,2817.55,2820.07,0.0758,1.042996139,17.34114336,0.180867456,0.079039808,0.013706406,0,2.5,94.45,0,0,0,0,0,0.22,0,0.22,0,0,0,0.22,0,0,0,0.22,0.87,0.22,0,0,0,0,0,0,0,0.65,0,0,0,0,99.56,96.95,2.61,94.67,99.56,133627461,0.17,11632423,1831552,159439,1775749,47832
LP08_D22,LP08-1B,40,41,155.2,2722.73,3150.77,2907.53,2915.08,0.0606,0.999089683,18.42371271,0.184069413,0.060565975,0.011158501,0,0.37,97.68,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0.98,0,0,0,0,99.51,98.05,1.47,97.92,99.51,127579250,0.24,15577442,1423593,173821,1395782,20859
LP08_D23,LP08-1B,48,49,162.5,2870.48,3258.55,3029.47,3035.5,0.0446,1.04935,17.1835616,0.180315704,0.046765904,0.008036048,0,1.98,94.52,0,0,0,0,0,0.23,0,0.23,0,0,0.23,0,0,0,0,0.23,0,0.7,0,0,0,0,0,0,0,0.93,0,0,0,0,99.07,96.5,2.57,94.75,99.07,70852837,0.55,19511400,569377,156795,549445,14616
LP08_D24,LP08-1B,56,57,169.8,2933.26,3584.42,3180.89,3199.3,0.0402,1.10965,17.938536,0.199054965,0.044623995,0.008004891,0,2,93.3,0.47,0,0,0,0,0.24,0,0.71,0,0,0,0.24,0,0.24,0,0,0.24,0.24,0,0,0,0,0,0,0,0.71,0,0,0,0,98.35,95.77,2.59,94.01,98.35,114130675,0.18,10192634,913604,81591,874955,23618
LP08_D25,LP08-1C,0,1,172.5,2982.17,3634.39,3252.69,3266.44,0.0399,1.087763889,18.00488758,0.195850665,0.04340638,0.00781527,0,4.44,91.44,0.22,0,0,0,0,0.87,0,0.22,0,0,0,0,0,0,0,0,0.65,0.43,0,0,0,0,0,0.43,0,0.43,0,0,0,0,99.13,96.1,3.03,92.52,99.13,250392699,0.15,18447133,1956887,144169,1880562,59364
LP08_D26,LP08-1B,64,65,177,3035.23,3777.64,3364.55,3379.21,0.0396,1.097852703,18.03678188,0.198017297,0.043521174,0.007849819,0,12.46,85.28,0,0,0,0.21,0,0.21,0.11,0.21,0,0,0.21,0,0,0,0.21,0,0,0.43,0,0,0,0,0,0,0,0.21,0,0,0,0,99.57,97.96,1.61,85.71,99.57,157199848,0.14,10806434,1233990,84829,1208807,19882
LP08_D27,LP08-1C,8,9,180.5,3086.65,3921.06,3441.78,3467.5,0.0381,1.049066667,17.69600111,0.185642849,0.040020614,0.007082048,0,7.61,87.35,0.9,0,0,0.22,0,0.45,0.34,0.45,0,0,0,0,0,0,0.45,0,0.67,0.22,0,0,0,0,0,0,0,0.67,0,0,0,0,99.33,96.08,3.25,88.91,99.33,218487128,0.16,17615983,1547336,124757,1486690,50249
LP08_D28,LP08-1B,72,73,184.3,3189.22,3992.9,3555.04,3567.11,0.0381,1.093627778,17.96411839,0.196460589,0.041718771,0.007494409,0,4.9,90.32,0,0,0,0,0,1.17,0,0.35,0,0,0,0,0.23,0,0.23,0,0.93,0.23,0,0,0,0,0,0,0,0.7,0,0,0,0,99.07,95.22,3.85,91.48,99.07,147679024,0.11,7926762,1106767,59406,1053818,42618
LP08_D29,LP08-1C,16,17,188.5,3262.22,4108.55,3682.66,3677.21,0.042,1.113605556,18.32562142,0.204075138,0.046764796,0.008569939,0,6.96,88.26,0.23,0,0,0.23,0,1.82,0,0,0,0,0.46,0,0,0,0,0,0.23,0.91,0,0,0,0,0,0,0,0.68,0,0,0,0,99.77,95.67,4.1,90.54,99.77,129525241,0.16,10043006,1110023,86068,1061927,45565
LP08_D30,LP08-1B,80,81,191.6,3327.92,4176.87,3755.68,3751.03,0.0464,1.093627778,17.68252605,0.193381017,0.050717169,0.008968077,0,2.64,94.47,0.72,0,0,0,0,0.24,0,0.24,0,0,0,0,0,0,0.24,0,0.24,0.48,0,0,0,0,0,0,0,0,0,0,0,0,99.28,97.84,1.44,95.43,99.28,345947216,0.06,9979247,3102481,89495,3035360,44747
LP08_D31,LP08-1C,24.5,,196.5,3423.6,4243.47,3864.1,3856.69,0.0464,1.073532432,18.0439448,0.193707599,0.049787011,0.008983541,0,6.82,85.14,0.45,0,4.92,0.45,0,0.22,0,0.67,0,0,0,0,0,0,0,0,0.22,0,0,0,0,0,0,0,0,0.22,0.22,0,0,0.22,99.55,97.77,1.79,91.17,99.55,145602822,0.25,18546058,1308029,166609,1278799,23384
LP08_D32,LP08-1B,88,89,198.9,3449.62,4303.12,3921.74,3908.44,0.0453,1.101618919,15.35085307,0.169107902,0.049903462,0.007660607,0,8.58,81.12,0.86,0,0,0,0,1.29,0,0.64,0,0,0.21,0,0,0,0,0,1.93,1.29,0,0,0,0,0,0,0,1.72,0,0,0.21,0.64,98.5,90.56,7.94,83.26,98.5,179884883,0.24,22003087,1378027,168557,1247913,109414
LP08_D33,LP08-1C,32.5,,204.5,3612.08,4372.68,4048.89,4032.06,0.0426,1.09951875,15.32231716,0.16847175,0.046872802,0.007181999,0,13.07,77.98,0.92,0,2.52,0.23,0.46,0.92,0,0.69,0,0,0.23,0,0,0,0.46,0,0.46,0.46,0,0,0,0,0,0,0,0.23,0.23,0,0,0,98.85,94.72,4.13,83.03,98.85,141572619,0.16,11040067,1016774,79290,963137,41977
LP08_D34,LP08-1C,40,41,212.5,3864.27,4486.41,4246.04,4219.72,0.0393,1.08085,15.24127522,0.164735323,0.042490418,0.006476082,0,10.37,84.56,0,0,2.53,0,0,0.23,0,0.23,0,0,0,0,0,0.23,0,0,0.69,0.23,0,0,0,0,0,0,0,0,0,0,0,0,99.08,97.47,1.61,87.33,99.08,174704908,0.1,8453463,1131403,54745,1102727,18248
LP08_D35,LP08-1C,48,49,220.5,4196.94,4586.23,4430.53,4423.22,0.073,1.10580625,17.46054716,0.193079822,0.080671621,0.014085706,0,7.82,89.43,0,0,1.15,0,0,0.23,0,0.46,0,0,0,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.54,98.39,1.15,90.8,99.54,65109031,0.18,5837361,917107,82223,902349,10541
LP08_D36,LP08-1C,56,57,228.5,4354.48,4664.3,4538.57,4532.88,0.1061,1.0723625,16.51972841,0.177151373,0.113823803,0.018803383,0,13.11,72.77,0.68,0,11.3,0,0.11,0.23,0,0,0,0,0,0,0,0,0,0,0.45,0.23,0,0,0.23,0,0,0,0,0.23,0,0,0,0,99.32,97.85,1.47,85.08,99.32,107674100,0.19,9976583,2024637,187594,1981171,29740
LP08_D37,LP08-1C,64,65,236.5,4460.64,4747.3,4612.89,4608.25,0.1172,1.10895,17.45166539,0.193530243,0.129984092,0.022684389,0,15.44,74.31,0.44,0,6.39,0,0,0.44,0,0.33,0,0,0,0,0,0,0,0,0.88,0.66,0,0,0,0,0,0,0,0,0,0,0,0,98.9,96.58,2.32,81.59,98.9,199160388,0.17,16688191,4517832,378561,4363418,104602
LP08_D38,LP08-1C,71,72,243.5,4529.86,4799.8,4669.78,4667.97,0.1128,1.11679375,16.87921408,0.188506008,0.126004045,0.021268493,0,19.94,70.76,0.2,0,4.5,0.61,0,0.2,0,0.72,0,0,0.41,0,0,0,0,0,1.02,0.41,0,0,0,0,0,0,0,0,0,0,0,0,98.77,96.01,2.76,76.28,98.77,177401313,0.11,10157948,3773059,216044,3622599,104164
LP08_D39,LP08-1D,0,1,251.1,4591.24,4852.66,4737.37,4735.33,0.0979,1.1582325,25.68780631,0.297524521,0.113393392,0.029128275,0,21.32,62.94,0,0,8.44,0.23,0,1.14,0,1.82,0.46,0.23,0.46,0.46,0,0,0.23,0,0.91,0.46,0,0.23,0,0,0,0,0,0,0,0,0.23,0,99.54,92.93,6.61,72.75,99.54,138180722,0.19,12919976,4024966,376337,3740419,266189
LP08_D40,LP08-1C,80,81,252.5,4602.08,4870.99,4752.96,4749.63,0.0978,1.1551875,23.78695272,0.274783904,0.113018641,0.026883691,0,8.16,70.08,0.22,0,18.28,0,0,0.22,0,0.65,0,0,0,0,0,0,0.22,0,0.44,0.65,0,0,0,0,0,0,0,0,0.22,0,0,0.22,99.35,96.74,2.61,88.79,99.35,60254059,0.2,6031962,1619851,162161,1566973,42303
LP08_D41,LP08-1D,8,9,259.1,4641.25,5005.63,4816.75,4817.09,0.0981,1.09952875,17.90205821,0.196838277,0.107872477,0.019311394,0,20.83,64.21,0,0,11.05,0.23,0,0.46,0.12,0.35,0,0.23,0,0.23,0,0,0,0,0.23,0.23,0,0,0,0,0,0,0,0,0,0,0,0,98.16,96.32,1.84,75.95,98.16,193188162,0.14,13338653,3730733,257588,3593352,68690
LP08_D42,LP08-1C,88,89,260.5,4649.05,5029.45,4829.52,4831.36,0.0984,1.09643125,18.8196286,0.206344289,0.107859298,0.020298719,0,14.58,65.28,0,0,14.35,1.16,0.23,0.69,0.23,0.23,0,0,0.46,0,0,0,0,0,0.46,0.46,0,0,0,0,0,0,0,0,0,0,0,0,98.15,95.37,2.78,81.71,98.15,209782195,0.14,14568208,4258310,295716,4061166,118286
LP08_D43,LP08-1D,12,13,263.1,4673.81,5053.71,4856.8,4857.79,0.0984,1.089633333,20.72981291,0.225878951,0.107247375,0.02223218,0,12.21,63.25,0,0,20.72,0,0,0.44,0.11,0.65,0,0,0,0,0,0,0.22,0,1.09,0.22,0,0.22,0,0,0,0,0,0,0,0,0,0,99.13,96.18,2.94,84.41,99.13,240285624,0.03,4192552,5342073,93210,5138177,157291
LP08_D44,LP08-1D,16,17,267.1,4700.36,5105.5,4897.62,4898.43,0.0984,1.0889875,21.39890986,0.233031454,0.107138616,0.022926496,0,9.93,59.81,0.47,0,26.17,0,0,0,0.23,0.12,0,0,0.23,0.47,0,0,0,0,0.7,0.93,0,0.23,0,0,0,0,0,0,0,0,0,0,99.3,96.38,2.92,86.45,99.3,132343693,0.04,2473714,3034177,56714,2924295,88615
LP08_D45,LP08-1C,96,97,268.5,4708.48,5132.53,4910.17,4912.66,0.0978,1.090115,20.95133246,0.228393618,0.106636416,0.02234175,0,20.15,49.84,0.22,0,26.22,0,0,0,0.11,0.22,0,0,0.43,0,0,0,0,0,0.65,0.87,0,0,0,0,0,0,0,0,0,0,0,0.22,98.92,96.42,2.49,76.27,98.92,248155224,0.06,6990288,5544222,156175,5346000,138155
LP08_D46,LP08-1D,24,25,275.1,4763.7,5201.69,4979.09,4980.13,0.0977,1.1171875,20.39935279,0.22789902,0.109113661,0.022258481,0,12.51,62.78,0,0,20.71,0.22,0,0.22,0,0.22,0.11,0,0,0.22,0,0,0,0,0.43,0.43,0.22,0,0,0,0.22,0,0,0,0.22,0,0,0.22,98.71,96.22,2.48,83.93,98.71,224559391,0.08,9205239,4998351,204895,4809632,124015
LP08_D47,LP08-1D,32,33,283.1,4832.24,5284.5,5062.61,5062.04,0.0969,1.09618125,19.374272,0.212377137,0.106244851,0.020584166,0,9,73.58,0.23,0,13.67,0.46,0,0.23,0,0.46,0.11,0.11,0,0,0,0,1.59,0,0,0,0,0.23,0,0,0,0,0,0,0,0,0,0,99.66,96.92,2.73,88.15,99.66,272379475,0.12,16752268,5606704,344831,5434289,153258
LP08_D48,LP08-1D,40,41,291.1,4896.62,5369.77,5146.16,5144.58,0.0925,1.10986875,17.25511323,0.19150911,0.10267056,0.017715921,0,36.04,42.28,0.88,0.22,6.13,1.1,0,2.41,1.53,1.53,0,0,0.44,0,0,0,1.1,0,1.53,0.66,0,0,0,0,0,0,0,0,0,0,0,0,95.84,86.64,9.2,53.01,95.84,248204198,0.24,29360409,4397166,520147,3809593,404559
LP08_D49,LP08-1D,44,45,295.1,4948.29,5400.37,5192.9,5187.82,0.0925,1.1116875,19.40496294,0.215722547,0.102815029,0.019951218,7.63,30.41,45.56,0.63,0,5.43,0.21,0,1.04,0.42,2.93,0,0,0,0,0,0,1.04,0,0.63,0.42,0,0,0,0,0,0.21,0,0,0.21,0,0,0,96.76,89.86,6.9,52.87,96.76,165691985,0.24,20083877,3305757,400698,2970691,227983
LP08_D50,LP08-1D,48,49,299.1,4979.31,5447.83,5241.07,5231.07,0.0929,1.11953125,17.75308761,0.198751364,0.104009407,0.018464881,20.15,30.12,28.54,0,0,3.78,3.78,0,1.05,0.21,4.83,0,0,0.21,0.63,0.21,0,3.15,0,0.84,0.21,0,0,0,0,0,0,0,0.21,0,0,0,0.21,98.11,86.36,11.75,37.15,98.11,190473387,0.2,19187246,3517068,354290,3037300,413339
LP08_D51,LP08-1D,56,57,307.1,5112.57,5515.18,5323.15,5317.18,0.0975,1.10321875,16.77414959,0.185055563,0.107604852,0.018049799,53.33,11.72,21.51,0,0,3.01,0,0,0.65,0,4.09,0,0,0,0,0,0,3.66,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,98.39,89.57,8.82,25.16,98.39,359261115,0.06,10816464,6484591,195235,5808241,571760
LP08_D52,LP08-1D,64,65,315.1,5244.15,5562.5,5394.37,5399.2,0.045,1.16200625,22.33686131,0.259555725,0.052347864,0.01169287,3.93,31.67,31.03,0.43,0,13.6,0.43,0.32,1.49,0,6.06,0,0.43,1.06,1.17,0,0,2.98,0.21,1.28,0.43,0,0,0,0,0,0,0,0.21,0.21,0,0,0,96.92,81.08,15.83,47.29,96.92,79224667,0.15,6061824,926364,70880,751132,146682
LP08_D53,LP08-1D,73,74,324.1,5374.77,5886.16,5586.22,5598.98,0.0272,1.153595,30.3247793,0.349825138,0.031362604,0.009510641,12.93,10.27,34.22,3.04,0.76,0.76,0,2.28,0.38,0,9.13,0,0.76,8.37,1.52,0,0,5.32,0,0,2.28,0,0,0,0,0.76,0,0,0,0,0,0,3.04,95.82,61.98,33.84,41.44,95.82,1409973,2.69,1897834,13410,18050,8311,4538
LP08_D54,LP08-1D,81,82,332.1,5493.96,6464.88,5846.84,5893.24,0.0273,1.16221875,32.26155311,0.374949819,0.031679444,0.010220281,0,1.55,24.81,0,38.76,0,0,0,0,3.1,6.2,0,0,6.98,1.55,0,0,1.55,0,1.55,3.1,0,0,0,0,0,0,0,0,0,1.55,0,4.65,95.35,65.12,30.23,63.57,95.35,1500085,1.92,1441943,15331,14737,9983,4635
LP08_D55,LP08-1E,0,1,335.9,5576.47,6575.32,6013.06,6032.65,0.0272,1.35371875,47.0769404,0.637289369,0.036852598,0.017349075,5.2,9.5,33.94,0.45,3.17,3.17,0,3.17,0.9,0,17.19,0,0,11.76,0.68,0,0,5.88,0,0.9,0.45,0,0,0,0.45,0,0.9,0,0,0.45,0,0,0.9,99.1,55.43,43.67,44.8,99.1,3687535,0.17,317028,63975,5500,35461,27935
LP08_D56,LP08-1D,89,90,340.1,5651.35,6750.08,6178.53,6186.93,0.0259,1.30970625,39.61531905,0.51884431,0.033937155,0.013444312,0,20,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,100,20,80,0,100,18879,12,113275,254,1523,51,203
LP08_D57,LP08-1E,8,9,343.9,5831.3,6820.32,6331.19,6333.58,0.0262,1.32614,40.01414778,0.530643619,0.034741854,0.013901657,0,20,10,0,0,10,0,5,0,0,0,0,0,25,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,40,60,25,100,180256,4,360513,2506,5012,1002,1504
LP08_D58,LP08-1E,16,17,351.9,6119.66,7029.33,6663.61,6638.95,0.0311,1.231153289,38.47964117,0.473743368,0.038322347,0.014746301,0,0,8.11,0,0,0,0,13.51,0,0,2.7,0,0,32.43,16.22,0,0,2.7,0,0,2.7,0,0,0,0,2.7,0,0,0,13.51,0,0,2.7,97.3,8.11,89.19,21.62,97.3,553374,1.41,388858,8160,5734,662,7278
LP08_D59,LP08-1E,32,33,367.9,6950.28,7343.8,7148.5,7152.97,0.049,1.2772,38.20839904,0.487997673,0.062625111,0.023928052,4.55,0,15.91,0,0,0,0,12.5,0,0,2.27,0,1.14,11.36,6.82,0,0,6.82,4.55,2.27,0,0,0,0,0,0,0,0,0,22.73,0,0,9.09,100,20.45,79.55,28.41,100,442717,1.91,422593,10593,10112,2167,8427
LP08_D60,LP08-1E,48,49,383.9,7175.78,7797.41,7474.33,7479.28,0.0521,1.19328125,40.30015643,0.48089421,0.062135907,0.025040868,0,0,6.25,0,0,0,0,6.25,0,0,3.13,0,0,25,12.5,0,3.13,0,3.13,3.13,12.5,3.13,0,0,3.13,0,0,3.13,3.13,6.25,3.13,0,3.13,100,6.25,93.75,12.5,100,321405,1.94,311361,8048,7797,503,7545
