C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF     11/05/2016  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	I	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000000.spe	370.20	6.73	1	0.018360	-0.019330	0.007444	0.108113	15694.00000	1.33	14	56	178	13	0	5	148	1033	889	926	78	83	948	48248	0	79	117	224	12	31	25	502	775	29	484	0	0	0	53	199	519	92	146	14	4	99	0	21	198	401	0	0	12430	3550	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000001.spe	370.40	6.74	1	0.018358	-0.019330	0.007367	0.108113	15738.00000	1.41	23	29	160	0	0	0	144	1016	802	883	42	144	836	48162	52	146	87	298	0	7	0	589	734	0	545	0	0	0	40	248	534	149	185	46	86	50	110	14	0	321	0	0	12771	3639	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000002.spe	370.60	6.75	1	0.018358	-0.019330	0.006973	0.108113	16251.00000	1.35	24	23	148	4	0	0	142	1098	759	838	70	87	913	50201	32	112	27	286	0	54	0	631	885	0	485	0	0	0	110	255	500	76	76	24	58	130	14	59	63	359	0	740801775650965	12829	3682	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000003.spe	370.80	6.76	1	0.018356	-0.019330	0.006973	0.108113	16624.00000	1.31	26	32	184	4	5	6	134	1113	850	975	73	111	981	52225	125	38	72	218	0	43	0	500	680	0	529	0	0	13	110	255	516	61	104	67	89	114	0	0	162	258	11	1548066470390910	12613	3605	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000004.spe	371.00	6.76	1	0.018358	-0.019330	0.006957	0.108113	16583.00000	1.44	0	21	148	0	0	5	146	1092	896	993	74	96	1061	51830	158	120	32	174	0	0	28	549	658	44	391	0	0	11	59	163	442	55	155	106	24	128	141	43	35	310	5	0	13161	3781	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000005.spe	371.20	6.77	1	0.018355	-0.019330	0.006957	0.108113	16726.00000	1.36	54	61	173	11	0	0	145	1123	959	928	66	140	1083	52974	91	68	14	255	82	0	21	536	886	47	463	0	0	0	116	255	527	59	116	54	79	25	117	82	151	338	12	0	12727	3609	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000006.spe	371.40	6.78	1	0.018356	-0.019330	0.006920	0.108113	16938.00000	1.38	20	35	173	0	5	0	123	1155	921	990	66	142	1037	53869	266	98	33	237	61	101	0	508	816	0	462	0	0	0	76	270	555	49	164	60	101	62	57	10	47	188	0	864859287476323	12661	3856	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000007.spe	371.60	6.78	1	0.018357	-0.019330	0.006937	0.108113	17236.00000	1.35	4	58	193	10	11	0	141	1168	905	980	55	144	1105	55681	152	164	47	267	70	0	0	570	794	0	504	0	0	0	93	289	533	39	130	91	79	99	0	51	124	351	0	1777289947087813	13059	3918	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000008.spe	371.80	6.79	1	0.018357	-0.019330	0.006964	0.108113	17473.00000	1.36	27	75	191	13	5	0	124	1202	948	1052	93	150	1092	55961	0	124	121	199	51	13	16	615	765	30	669	0	0	0	80	193	552	70	169	36	53	67	89	27	33	461	7	0	13327	3764	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000009.spe	372.00	6.80	1	0.018354	-0.019330	0.006992	0.108113	17428.00000	1.27	25	31	203	9	14	0	114	1155	925	992	101	129	1027	55023	97	121	136	262	58	0	0	504	671	77	486	0	0	0	96	241	531	64	94	71	0	0	43	109	47	282	14	1407016058904180	13583	3775	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000010.spe	372.20	6.80	1	0.018354	-0.019330	0.007056	0.108113	17199.00000	1.28	0	41	139	10	10	0	113	1156	953	973	71	154	1062	52635	259	125	88	216	88	0	0	442	888	76	595	0	0	0	84	241	524	106	138	124	47	0	43	8	180	298	0	1920779134074369	13731	3887	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000011.spe	372.40	6.81	1	0.018356	-0.019330	0.007079	0.108113	17208.00000	1.36	25	31	187	11	8	0	97	1094	978	932	78	137	984	51903	102	83	85	254	0	8	0	585	905	18	382	0	0	0	109	224	574	98	70	0	41	123	32	40	63	332	14	503801792301788	14328	4116	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000012.spe	372.60	6.81	1	0.018356	-0.019330	0.006947	0.108113	17427.00000	1.35	13	42	156	6	0	0	102	1097	839	981	89	68	1041	52385	311	86	94	198	110	40	0	615	794	0	547	0	0	0	56	244	563	77	117	78	71	25	85	0	70	131	5	0	13842	4005	
C:\Data\BAS_sjro\May_2016\LP3A-3B_200um\LP3A_XRF\XRF data\L000013.spe	372.80	6.82	1	0.018354	-0.019330	0.006968	0.108113	17708.00000	1.58	31	39	160	0	0	0	93	1175	888	1030	61	155	981	53299	303	144	193	323	92	50	0	634	774	0	600	0	0	0	75	222	618	86	162	0	52	47	0	0	94	271	20	0	14441	3929	
