1_Fe_Mn_&_Mn_Ti: Series 1 = Ln(Fe/Mn); Series 2 = Ln(Mn/Ti); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,2_Fe_Mn_&_Br_Ti: Series 1 = Ln(Fe/Mn); Series 2 = Ln(Br/Ti); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,3_Mn_Ti_&_Br_Ti: Series 1 = Ln(Mn/Ti); Series 2 = Ln(Br/Ti); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,4_Fe_Mn_&_Inc_Coh: Series 1 = Ln(Fe/Mn); Series 2 = Ln(inc/Coh); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,5_Mn_Ti_&_Ca_Ti: Series 1 = Ln(Mn/Ti); Series 2 = Ln(Ca/Ti); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,6_Br_Ti_&_Inc_Coh: Series 1 = Ln(Br/Ti); Series 2 = Ln(Inc/Coh); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,
s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,series2_input,s2xn,s1xn,s1n,series1ydl,series1ydlnorm,s2x,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect
cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years
118.5,3.544744647,118.5,1.13186951,118.5,1.8404,0.18608,0.77586,118.5,-0.93442,-0.0090756,-0.019489,120,3.5477,1.8529,1.1372,-0.92297,0.4444,0.18912,0.78852,-0.42981,-0.0037722,-0.0081005,1280,1240,430.15,795.77,118.5,3.544744647,118.5,1.2297253,118.5,1.8404,0.18608,0.77586,118.5,-0.41652,-0.20852,-0.40329,120,3.5477,1.8529,1.2333,-0.40969,0.4444,0.18912,0.78852,-0.21183,-0.20499,-0.39646,1280,1240,884.19,795.77,118.5,1.13186951,118.5,1.2297253,118.5,-0.93442,-0.0090756,-0.019489,118.5,-0.41652,-0.20852,-0.40329,120,1.1372,-0.92297,1.2333,-0.40969,-0.42981,-0.0037722,-0.0081005,-0.21183,-0.20499,-0.39646,1280,1240,795.77,1591.5,118.5,3.544744647,118.5,1.522378401,118.5,1.8404,0.18608,0.77586,118.5,-1.9736,-0.059768,-1.4779,120,3.5477,1.8529,1.5423,-1.4807,0.4444,0.18912,0.78852,-0.059884,-0.03984,-0.98512,1280,1240,265.26,1591.5,118.5,1.13186951,118.5,1.199615499,118.5,-0.93442,-0.0090756,-0.019489,118.5,0.36276,0.13623,0.32723,120,1.1372,-0.92297,1.2034,0.37181,-0.42981,-0.0037722,-0.0081005,0.15479,0.14,0.33629,1280,2480,265.26,795.77,118.5,1.2297253,118.5,1.522378401,118.5,-0.41652,-0.20852,-0.40329,118.5,-1.9736,-0.059768,-1.4779,120,1.2333,-0.40969,1.5423,-1.4807,-0.21183,-0.20499,-0.39646,-0.059884,-0.03984,-0.98512,1280,1240,691.98,1591.5
127.6,3.572206339,127.6,1.299282984,127.6,1.9549,0.21394,0.89203,127.6,-0.57491,0.15766,0.33855,130,3.5865,2.0144,1.5559,-0.023891,0.48314,0.2284,0.95232,-0.011125,0.41391,0.88884,512,496,241.14,265.26,127.6,3.572206339,127.6,1.355522702,127.6,1.9549,0.21394,0.89203,127.6,-0.17322,-0.082738,-0.16002,130,3.5865,2.0144,1.7365,0.56369,0.48314,0.2284,0.95232,0.29146,0.29828,0.57688,512,496,388.18,397.89,127.6,1.299282984,127.6,1.355522702,127.6,-0.57491,0.15766,0.33855,127.6,-0.17322,-0.082738,-0.16002,130,1.5559,-0.023891,1.7365,0.56369,-0.011125,0.41391,0.88884,0.29146,0.29828,0.57688,512,496,361.72,144.69,127.6,3.572206339,127.6,1.590611051,127.6,1.9549,0.21394,0.89203,127.6,-0.28643,0.0084336,0.20854,130,3.5865,2.0144,1.5825,-0.48774,0.48314,0.2284,0.95232,-0.019725,0.00028151,0.0069609,512,620,148.74,265.26,127.6,1.299282984,127.6,1.329135947,127.6,-0.57491,0.15766,0.33855,127.6,0.67387,0.26578,0.6384,130,1.5559,-0.023891,1.6402,1.4211,-0.011125,0.41391,0.88884,0.59163,0.57687,1.3857,512,826.67,194.09,265.26,127.6,1.355522702,127.6,1.590611051,127.6,-0.17322,-0.082738,-0.16002,127.6,-0.28643,0.0084336,0.20854,130,1.7365,0.56369,1.5825,-0.48774,0.29146,0.29828,0.57688,-0.019725,0.00028151,0.0069609,512,620,237.54,113.68
133.7,3.603858623,133.7,1.963181736,133.7,2.0869,0.246,1.0257,133.7,0.85076,0.82087,1.7628,140,3.5163,1.7217,1.3891,-0.38208,0.41293,0.15863,0.66141,-0.17793,0.24624,0.52878,320,310,142.1,113.68,133.7,3.603858623,133.7,2.397895273,133.7,2.0869,0.246,1.0257,133.7,1.8428,0.95962,1.8559,140,3.5163,1.7217,2.0974,1.2616,0.41293,0.15863,0.66141,0.65231,0.65912,1.2748,320,310,294.73,265.26,133.7,1.963181736,133.7,2.397895273,133.7,0.85076,0.82087,1.7628,133.7,1.8428,0.95962,1.8559,140,1.3891,-0.38208,2.0974,1.2616,-0.17793,0.24624,0.52878,0.65231,0.65912,1.2748,284.44,310,187.24,66.315,133.7,3.603858623,133.7,1.566846492,133.7,2.0869,0.246,1.0257,133.7,-0.87405,-0.015362,-0.37986,140,3.5163,1.7217,1.5733,-0.71539,0.41293,0.15863,0.66141,-0.028932,-0.0089699,-0.2218,320,310,121.49,122.43,133.7,1.963181736,133.7,2.16696092,133.7,0.85076,0.82087,1.7628,133.7,2.6863,1.1036,2.6509,140,1.3891,-0.38208,1.4543,0.97443,-0.17793,0.24624,0.52878,0.40567,0.39094,0.93905,284.44,496,148.74,198.94,133.7,2.397895273,133.7,1.566846492,133.7,1.8428,0.95962,1.8559,133.7,-0.87405,-0.015362,-0.37986,140,2.0974,1.2616,1.5733,-0.71539,0.65231,0.65912,1.2748,-0.028932,-0.0089699,-0.2218,256,310,154.52,69.198
142.8,3.483127646,142.8,1.221672381,142.8,1.5835,0.12567,0.52398,142.8,-0.74157,0.078681,0.16896,150,3.4632,1.5002,1.2906,-0.59348,0.35982,0.10602,0.44206,-0.27637,0.14713,0.31595,232.73,225.45,116.17,88.419,142.8,3.483127646,142.8,1.92875707,142.8,1.5835,0.12567,0.52398,142.8,0.93543,0.49047,0.94859,150,3.4632,1.5002,1.5704,0.24237,0.35982,0.10602,0.44206,0.12532,0.13212,0.25552,232.73,248,198.94,198.94,142.8,1.221672381,142.8,1.92875707,142.8,-0.74157,0.078681,0.16896,142.8,0.93543,0.49047,0.94859,150,1.2906,-0.59348,1.5704,0.24237,-0.27637,0.14713,0.31595,0.12532,0.13212,0.25552,232.73,248,148.74,49.736,142.8,3.483127646,142.8,1.575134262,142.8,1.5835,0.12567,0.52398,142.8,-0.66912,-0.007106,-0.17571,150,3.4632,1.5002,1.5692,-0.81631,0.35982,0.10602,0.44206,-0.033013,-0.013087,-0.32359,232.73,225.45,101.37,,142.8,1.221672381,142.8,1.242506468,142.8,-0.74157,0.078681,0.16896,142.8,0.46578,0.17919,0.43043,150,1.2906,-0.59348,1.2326,0.44191,-0.27637,0.14713,0.31595,0.18397,0.16928,0.40661,232.73,206.67,100.1,144.69,142.8,1.92875707,142.8,1.575134262,142.8,0.93543,0.49047,0.94859,142.8,-0.66912,-0.007106,-0.17571,150,1.5704,0.24237,1.5692,-0.81631,0.12532,0.13212,0.25552,-0.033013,-0.013087,-0.32359,182.86,225.45,133.74,
151.8,3.45946629,151.8,1.316450788,151.8,1.4849,0.10241,0.427,151.8,-0.53804,0.17278,0.37102,160,3.4431,1.4165,1.497,-0.15043,0.33973,0.086408,0.36027,-0.070051,0.35261,0.7572,182.86,190.77,88.419,66.315,151.8,3.45946629,151.8,1.54384063,151.8,1.4849,0.10241,0.427,151.8,0.19099,0.10555,0.20413,160,3.4431,1.4165,1.8671,0.81614,0.33973,0.086408,0.36027,0.42199,0.42877,0.82926,182.86,165.33,146.01,144.69,151.8,1.316450788,151.8,1.54384063,151.8,-0.53804,0.17278,0.37102,151.8,0.19099,0.10555,0.20413,160,1.497,-0.15043,1.8671,0.81614,-0.070051,0.35261,0.7572,0.42199,0.42877,0.82926,121.9,165.33,109.76,46.81,151.8,3.45946629,151.8,1.568490613,151.8,1.4849,0.10241,0.427,151.8,-0.8334,-0.013781,-0.34076,160,3.4431,1.4165,1.5702,-0.79145,0.33973,0.086408,0.36027,-0.032008,-0.01211,-0.29945,182.86,190.77,88.419,,151.8,1.316450788,151.8,1.232143681,151.8,-0.53804,0.17278,0.37102,151.8,0.44089,0.16886,0.4056,160,1.497,-0.15043,1.3503,0.72469,-0.070051,0.35261,0.7572,0.3017,0.28703,0.68945,121.9,155,65.767,99.472,151.8,1.54384063,151.8,1.568490613,151.8,0.19099,0.10555,0.20413,151.8,-0.8334,-0.013781,-0.34076,160,1.8671,0.81614,1.5702,-0.79145,0.42199,0.42877,0.82926,-0.032008,-0.01211,-0.29945,142.22,190.77,110.52,
160.9,3.442783415,160.9,1.500897744,160.9,1.4153,0.086131,0.35912,160.9,-0.14196,0.35654,0.76564,170,3.5493,1.8596,1.32,-0.53052,0.44601,0.1931,0.80511,-0.24705,0.17491,0.37561,121.9,165.33,79.182,56.841,160.9,3.442783415,160.9,1.876188149,160.9,1.4153,0.086131,0.35912,160.9,0.83376,0.43788,0.84688,170,3.5493,1.8596,1.2372,-0.40206,0.44601,0.1931,0.80511,-0.20789,-0.20112,-0.38897,121.9,145.88,117.03,106.1,160.9,1.500897744,160.9,1.876188149,160.9,-0.14196,0.35654,0.76564,160.9,0.83376,0.43788,0.84688,170,1.32,-0.53052,1.2372,-0.40206,-0.24705,0.17491,0.37561,-0.20789,-0.20112,-0.38897,98.462,145.88,87.931,39.789,160.9,3.442783415,160.9,1.570557912,160.9,1.4153,0.086131,0.35912,160.9,-0.78228,-0.011745,-0.29042,170,3.5493,1.8596,1.6067,0.11076,0.44601,0.1931,0.80511,0.0044793,0.02434,0.60184,121.9,155,80.381,,160.9,1.500897744,160.9,1.353623579,160.9,-0.14196,0.35654,0.76564,160.9,0.73269,0.29036,0.69745,170,1.32,-0.53052,1.1682,0.28731,-0.24705,0.17491,0.37561,0.11961,0.10496,0.25213,98.462,137.78,50.049,88.419,160.9,1.876188149,160.9,1.570557912,160.9,0.83376,0.43788,0.84688,160.9,-0.78228,-0.011745,-0.29042,170,1.2372,-0.40206,1.6067,0.11076,-0.20789,-0.20112,-0.38897,0.0044793,0.02434,0.60184,121.9,155,94.175,
170,3.54934763,170,1.319952413,170,1.8596,0.1931,0.80511,170,-0.53052,0.17491,0.37561,180,3.5869,2.0161,1.0255,-1.1627,0.48354,0.23113,0.96369,-0.54145,-0.12034,-0.25842,106.67,112.73,66.872,39.789,170,3.54934763,170,1.237198452,170,1.8596,0.1931,0.80511,170,-0.40206,-0.20112,-0.38897,180,3.5869,2.0161,1.314,-0.2536,0.48354,0.23113,0.96369,-0.13112,-0.12437,-0.24053,106.67,130.53,104.71,88.419,170,1.319952413,170,1.237198452,170,-0.53052,0.17491,0.37561,170,-0.40206,-0.20112,-0.38897,180,1.0255,-1.1627,1.314,-0.2536,-0.54145,-0.12034,-0.25842,-0.13112,-0.12437,-0.24053,82.581,130.53,81.618,32.481,170,3.54934763,170,1.606674183,170,1.8596,0.1931,0.80511,170,0.11076,0.02434,0.60184,180,3.5869,2.0161,1.5974,-0.11742,0.48354,0.23113,0.96369,-0.0047486,0.015068,0.37257,106.67,95.385,74.026,,170,1.319952413,170,1.16820558,170,-0.53052,0.17491,0.37561,170,0.28731,0.10496,0.25213,180,1.0255,-1.1627,0.92974,-0.2855,-0.54145,-0.12034,-0.25842,-0.11886,-0.13347,-0.32061,82.581,118.1,46.81,66.315,170,1.237198452,170,1.606674183,170,-0.40206,-0.20112,-0.38897,170,0.11076,0.02434,0.60184,180,1.314,-0.2536,1.5974,-0.11742,-0.13112,-0.12437,-0.24053,-0.0047486,0.015068,0.37257,98.462,95.385,82.464,
176,3.536749678,176,0.893013047,176,1.8071,0.1809,0.75427,176,-1.4473,-0.25271,-0.54267,190,3.6884,2.4393,1.2865,-0.60232,0.58503,0.33321,1.3893,-0.28049,0.13962,0.29981,94.815,103.33,56.238,35.368,176,3.536749678,176,1.266573609,176,1.8071,0.1809,0.75427,176,-0.34525,-0.17175,-0.33217,190,3.6884,2.4393,1.3981,-0.090894,0.58503,0.33321,1.3893,-0.046998,-0.040254,-0.077853,94.815,112.73,88.419,72.343,176,0.893013047,176,1.266573609,176,-1.4473,-0.25271,-0.54267,176,-0.34525,-0.17175,-0.33217,190,1.2865,-0.60232,1.3981,-0.090894,-0.28049,0.13962,0.29981,-0.046998,-0.040254,-0.077853,73.143,112.73,66.315,,176,3.536749678,176,1.584712764,176,1.8071,0.1809,0.75427,176,-0.43228,0.0023469,0.058032,190,3.6884,2.4393,1.577,-0.62384,0.58503,0.33321,1.3893,-0.025229,-0.0054493,-0.13474,94.815,75.152,70.112,,176,0.893013047,176,0.889383279,176,-1.4473,-0.25271,-0.54267,176,-0.38243,-0.17383,-0.41755,190,1.2865,-0.60232,1.2466,0.47573,-0.28049,0.13962,0.29981,0.19805,0.18347,0.4407,73.143,99.2,38.724,56.841,176,1.266573609,176,1.584712764,176,-0.34525,-0.17175,-0.33217,176,-0.43228,0.0023469,0.058032,190,1.3981,-0.090894,1.577,-0.62384,-0.046998,-0.040254,-0.077853,-0.025229,-0.0054493,-0.13474,91.429,75.152,70.112,
185.1,3.669994191,185.1,1.24274619,185.1,2.3627,0.31455,1.3115,185.1,-0.69632,0.096343,0.20689,200,3.6264,2.1809,1.0714,-1.0643,0.52308,0.27157,1.1323,-0.49564,-0.076199,-0.16363,80,95.385,47.651,,185.1,3.669994191,185.1,1.374598321,185.1,2.3627,0.31455,1.3115,185.1,-0.13633,-0.063739,-0.12327,200,3.6264,2.1809,1.3046,-0.27163,0.52308,0.27157,1.1323,-0.14045,-0.13372,-0.25861,80,99.2,80.381,66.315,185.1,1.24274619,185.1,1.374598321,185.1,-0.69632,0.096343,0.20689,185.1,-0.13633,-0.063739,-0.12327,200,1.0714,-1.0643,1.3046,-0.27163,-0.49564,-0.076199,-0.16363,-0.14045,-0.13372,-0.25861,64,99.2,59.386,,185.1,3.669994191,185.1,1.61578678,185.1,2.3627,0.31455,1.3115,185.1,0.33608,0.03339,0.82561,200,3.6264,2.1809,1.5822,-0.49467,0.52308,0.27157,1.1323,-0.020006,-0.00026136,-0.0064627,80,68.889,65.227,,185.1,1.24274619,185.1,1.042820929,185.1,-0.69632,0.096343,0.20689,185.1,-0.013869,-0.020373,-0.048936,200,1.0714,-1.0643,1.1757,0.30528,-0.49564,-0.076199,-0.16363,0.12709,0.11253,0.2703,64,91.852,36.503,46.81,185.1,1.374598321,185.1,1.61578678,185.1,-0.13633,-0.063739,-0.12327,185.1,0.33608,0.03339,0.82561,200,1.3046,-0.27163,1.5822,-0.49467,-0.14045,-0.13372,-0.25861,-0.020006,-0.00026136,-0.0064627,82.581,68.889,64.697,
