SH20M1H_mean_age,LnFe_Mn,SH20M1H_mean_age,LnMn_Ti,SH20M1H_mean_age,LnBr_Ti,SH20M1H_mean_age,LnInc_Coh,SH20M1H_mean_age,LnCa_Ti
cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA,cal a BP,NA
26490.07,3.748196031,26490.07,0.361856303,26490.07,-1.414518248,26490.07,1.126979189,26490.07,-0.313364662
26490.7,3.77995304,26490.7,0.317135339,26490.7,-3.828641396,26490.7,1.138526776,26490.7,-0.337197137
26491.33,3.669058711,26491.33,0.357710677,26491.33,-1.557281433,26491.33,1.12735795,26491.33,-0.426408282
26491.96,3.723400389,26491.96,0.411341717,26491.96,-1.837998862,26491.96,1.151065709,26491.96,-0.409402121
26492.59,3.637618096,26492.59,0.479759804,26492.59,-3.836515453,26492.59,1.179391047,26492.59,-0.323614082
26493.22,3.673759415,26493.22,0.309352774,26493.22,NaN,26493.22,1.120354916,26493.22,-0.579573066
26493.85,3.669847022,26493.85,0.427780347,26493.85,-3.112548659,26493.85,1.116377375,26493.85,-0.367509888
26494.47,3.615647727,26494.47,0.378388704,26494.47,-3.954734124,26494.47,1.110694048,26494.47,-0.458226562
26495.1,3.665206059,26495.1,0.486310448,26495.1,-1.586733119,26495.1,1.121063147,26495.1,-0.360559604
26495.73,3.631119255,26495.73,0.440150666,26495.73,-2.014903021,26495.73,1.125208769,26495.73,-0.382208246
26496.36,3.667670486,26496.36,0.395075404,26496.36,-2.690758704,26496.36,1.165720889,26496.36,-0.408376318
26496.99,3.662949339,26496.99,0.356296084,26496.99,NaN,26496.99,1.113207461,26496.99,-0.425551867
26497.62,3.671483021,26497.62,0.404796882,26497.62,-2.405943606,26497.62,1.159928623,26497.62,-0.46321311
26498.25,3.684913549,26498.25,0.450439827,26498.25,-1.418659646,26498.25,1.147623181,26498.25,-0.405465108
26498.88,3.655991587,26498.88,0.396812808,26498.88,-2.001082465,26498.88,1.123977787,26498.88,-0.382859723
26499.51,3.642733518,26499.51,0.386809051,26499.51,NaN,26499.51,1.113503039,26499.51,-0.387463675
26500.14,3.631518575,26500.14,0.435790438,26500.14,-2.521720623,26500.14,1.142556912,26500.14,-0.393488917
26500.77,3.684200475,26500.77,0.550323,26500.77,NaN,26500.77,1.129976139,26500.77,-0.264765226
26501.4,3.721478383,26501.4,0.363460381,26501.4,-1.38204807,26501.4,1.189290076,26501.4,-0.429147593
26502.02,3.692500763,26502.02,0.47924157,26502.02,-3.42705076,26502.02,1.146730676,26502.02,-0.163474757
26502.65,3.7126854,26502.65,0.385320542,26502.65,-1.494507946,26502.65,1.121179115,26502.65,-0.343333327
26503.28,3.747730711,26503.28,0.420639906,26503.28,-1.887987501,26503.28,1.172302874,26503.28,-0.373859769
26503.91,3.677227324,26503.91,0.510825624,26503.91,NaN,26503.91,1.146201458,26503.91,-0.35734586
26504.54,3.770459441,26504.54,0.363290183,26504.54,NaN,26504.54,1.124333999,26504.54,-0.386834432
26505.17,3.669086522,26505.17,0.326275097,26505.17,-1.285936742,26505.17,1.166103781,26505.17,-0.503177403
26505.8,3.715952187,26505.8,0.316838657,26505.8,NaN,26505.8,1.134871906,26505.8,-0.396628526
26506.43,3.793669699,26506.43,0.189434622,26506.43,-1.721649903,26506.43,1.130586813,26506.43,-0.48690544
26507.06,3.709963629,26507.06,0.44417962,26507.06,-2.48490665,26507.06,1.116992613,26507.06,-0.323400155
26507.69,3.75669545,26507.69,0.259294311,26507.69,NaN,26507.69,1.1233445,26507.69,-0.533859272
26508.32,3.66615353,26508.32,0.430056511,26508.32,-2.2076522,26508.32,1.144107476,26508.32,-0.397200598
26508.95,3.670734543,26508.95,0.418924261,26508.95,-2.20949467,26508.95,1.15702122,26508.95,-0.504746578
26509.57,3.723514497,26509.57,0.409027634,26509.57,-2.362139624,26509.57,1.138028716,26509.57,-0.469575455
26510.2,3.684088076,26510.2,0.354515752,26510.2,-3.143368272,26510.2,1.149857431,26510.2,-0.596056056
26510.83,3.692881199,26510.83,0.459183715,26510.83,-2.10855894,26510.83,1.10850689,26510.83,-0.260820203
26511.46,3.623775947,26511.46,0.566701164,26511.46,NaN,26511.46,1.16521186,26511.46,-0.394216396
26512.09,3.706730302,26512.09,0.383455967,26512.09,-2.116867947,26512.09,1.123200111,26512.09,-0.377294231
26512.72,3.73398411,26512.72,0.369634089,26512.72,-1.725669357,26512.72,1.128548005,26512.72,-0.390056483
26513.35,3.680625374,26513.35,0.570544858,26513.35,-1.636236106,26513.35,1.12994992,26513.35,-0.268633877
26513.98,3.672072336,26513.98,0.417635644,26513.98,-2.862200881,26513.98,1.158999211,26513.98,-0.330774216
26514.61,3.680882368,26514.61,0.47402778,26514.61,NaN,26514.61,1.193632723,26514.61,-0.408696129
26515.24,3.67557948,26515.24,0.502034358,26515.24,-1.636047021,26515.24,1.100239334,26515.24,-0.461722911
26515.87,3.598821874,26515.87,0.581856329,26515.87,-1.259437076,26515.87,1.130740284,26515.87,-0.346276237
26516.49,3.711748727,26516.49,0.48309027,26516.49,-2.022781508,26516.49,1.157056749,26516.49,-0.389891935
26517.12,3.688811701,26517.12,0.479260434,26517.12,-3.180244412,26517.12,1.121507366,26517.12,-0.397835643
26517.75,3.6704051,26517.75,0.4737044,26517.75,-2.691243083,26517.75,1.146161461,26517.75,-0.515071915
