1_Fe_Mn_&_Mn_Ti: Series 1 = Ln(Fe/Mn); Series 2 = Ln(Mn/Ti); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,2_Fe_Mn_&_Br_Ti: Series 1 = Ln(Fe/Mn); Series 2 = Ln(Br/Ti); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,3_Mn_Ti_&_Br_Ti: Series 1 = Ln(Mn/Ti); Series 2 = Ln(Br/Ti); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,4_Fe_Mn_&_Inc_Coh: Series 1 = Ln(Fe/Mn); Series 2 = Ln(inc/Coh); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,5_Mn_Ti_&_Ca_Ti: Series 1 = Ln(Mn/Ti); Series 2 = Ln(Ca/Ti); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,,6_Br_Ti_&_Inc_Coh: Series 1 = Ln(Br/Ti); Series 2 = Ln(Inc/Coh); 10-yr interpolated,,,,,,,,,,,,,,,,,,,,,,,,,,
s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,s2x,series2_input,s1xn,s1n,series1ydl,series1ydlnorm,s2xn,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect,s1x,series1_input,series2_input,s2xn,s1xn,s1n,series1ydl,series1ydlnorm,s2x,s2n,series2ydl,series2ydlnorm,sx1inter_sx2inter_x2_x4,sy1inter,sy1norminter,sy2inter,sy2norminter,y2s ,y2sl ,y2sln ,y4s ,y4sl ,y4sln ,s1period,s2period,msc,frcspect
cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years,cal a BP,NA,cal a BP,NA,cal a BP,Z-score,NA,Z-score,cal a BP,Z-score,NA,Z-score,cal a BP,NA,Z-score,NA,Z-score,NA,NA,Z-score,NA,NA,Z-score,Years,Years,Years,Years
26490.07,3.748196031,26490.07,0.361856303,26490,0.70434,0.072912,0.70724,26490,0.14101,-0.017773,-0.063102,26490,3.7364,0.58983,26490,0.17725,0.060808,0.061107,0.59273,0.049924,-0.0075702,-0.026877,2560,2480,1768.4,1591.5,26490.07,3.748196031,26490.07,-1.414518248,26490,0.70434,0.072912,0.70724,26490,1.1174,0.78478,1.0555,26490,3.7364,0.58983,26490,1.8658,0.060808,0.061107,0.59273,1.3873,1.3413,1.8039,2560,620,306.07,1591.5,26490.07,0.361856303,26490.07,-1.414518248,26490,0.14101,-0.017773,-0.063102,26490,1.1174,0.78478,1.0555,26490,0.37206,0.17725,26490,1.8658,0.049924,-0.0075702,-0.026877,1.3873,1.3413,1.8039,2560,620,1989.4,1591.5,26490.07,3.748196031,26490.07,1.126979189,26490,0.70434,0.072912,0.70724,26490,-0.019519,-0.010065,-0.23962,26490,3.7364,0.58983,26490,-0.083386,0.060808,0.061107,0.59273,-0.0035026,-0.012748,-0.3035,2560,2480,2273.6,1591.5,26490.07,0.361856303,26490.07,-0.313364662,26490,0.14101,-0.017773,-0.063102,26490,0.33101,0.063196,0.54889,26490,0.37206,0.17725,26490,0.32725,0.049924,-0.0075702,-0.026877,0.037678,0.062764,0.54514,2560,2480,2273.6,1591.5,26490.07,-1.414518248,26490.07,1.126979189,26490,1.1174,0.78478,1.0555,26490,-0.019519,-0.010065,-0.23962,26490,-0.85803,1.8658,26490,-0.083386,1.3873,1.3413,1.8039,-0.0035026,-0.012748,-0.3035,853.33,2480,936.21,1591.5
26490.7,3.77995304,26490.7,0.317135339,26491,1.0124,0.10467,1.0153,26491,-0.017762,-0.062468,-0.22178,26500,3.6325,-0.41822,26500,0.34881,-0.043116,-0.042819,-0.41534,0.098247,0.041171,0.14617,853.33,620,306.07,318.31,26490.7,3.77995304,26490.7,-3.828641396,26491,1.0124,0.10467,1.0153,26491,-2.1294,-1.6293,-2.1913,26500,3.6325,-0.41822,26500,-0.35879,-0.043116,-0.042819,-0.41534,-0.26678,-0.3125,-0.42029,853.33,354.29,215.07,318.31,26490.7,0.317135339,26490.7,-3.828641396,26491,-0.017762,-0.062468,-0.22178,26491,-2.1294,-1.6293,-2.1913,26500,0.42038,0.34881,26500,-0.35879,0.098247,0.041171,0.14617,-0.26678,-0.3125,-0.42029,640,354.29,312.07,318.31,26490.7,3.77995304,26490.7,1.138526776,26491,1.0124,0.10467,1.0153,26491,0.25539,0.0014867,0.035395,26500,3.6325,-0.41822,26500,0.26405,-0.043116,-0.042819,-0.41534,0.011091,0.0019136,0.045558,853.33,496,312.07,318.31,26490.7,0.317135339,26490.7,-0.337197137,26491,-0.017762,-0.062468,-0.22178,26491,0.12401,0.039352,0.34179,26500,0.42038,0.34881,26500,-0.36006,0.098247,0.041171,0.14617,-0.041454,-0.016552,-0.14377,640,620,300.29,318.31,26490.7,-3.828641396,26490.7,1.138526776,26491,-2.1294,-1.6293,-2.1913,26491,0.25539,0.0014867,0.035395,26500,-2.5121,-0.35879,26500,0.26405,-0.26678,-0.3125,-0.42029,0.011091,0.0019136,0.045558,284.44,496,418.83,318.31
26491.33,3.669058711,26491.33,0.357710677,26491,-0.063285,-0.0062253,-0.060385,26491,0.1263,-0.021866,-0.077633,26510,3.6935,0.17365,26510,0.15694,0.017903,0.018197,0.17651,0.044205,-0.012443,-0.044176,256,413.33,215.07,99.472,26491.33,3.669058711,26491.33,-1.557281433,26491,-0.063285,-0.0062253,-0.060385,26491,0.92539,0.64206,0.86353,26510,3.6935,0.17365,26510,-0.98125,0.017903,0.018197,0.17651,-0.72959,-0.77505,-1.0424,256,275.56,171.13,159.15,26491.33,0.357710677,26491.33,-1.557281433,26491,0.1263,-0.021866,-0.077633,26491,0.92539,0.64206,0.86353,26510,0.36634,0.15694,26510,-0.98125,0.044205,-0.012443,-0.044176,-0.72959,-0.77505,-1.0424,426.67,275.56,212.21,198.94,26491.33,3.669058711,26491.33,1.12735795,26491,-0.063285,-0.0062253,-0.060385,26491,-0.010502,-0.0096778,-0.2304,26510,3.6935,0.17365,26510,0.45802,0.017903,0.018197,0.17651,0.019239,0.010129,0.24114,256,310,221.05,227.36,26491.33,0.357710677,26491.33,-0.426408282,26491,0.1263,-0.021866,-0.077633,26491,-0.65084,-0.049871,-0.43316,26510,0.36634,0.15694,26510,-1.8625,0.044205,-0.012443,-0.044176,-0.21443,-0.18972,-1.6478,426.67,413.33,224.16,227.36,26491.33,-1.557281433,26491.33,1.12735795,26491,0.92539,0.64206,0.86353,26491,-0.010502,-0.0096778,-0.2304,26510,-2.9749,-0.98125,26510,0.45802,-0.72959,-0.77505,-1.0424,0.019239,0.010129,0.24114,232.73,310,300.29,198.94
26491.96,3.723400389,26491.96,0.411341717,26492,0.46382,0.048116,0.46672,26492,0.31671,0.031791,0.11287,26520,3.683,0.071646,26520,0.60525,0.0073863,0.007679,0.074485,0.17047,0.11424,0.40559,196.92,310,100.1,46.81,26491.96,3.723400389,26491.96,-1.837998862,26492,0.46382,0.048116,0.46672,26492,0.54784,0.36137,0.48602,26520,3.683,0.071646,26520,1.1214,0.0073863,0.007679,0.074485,0.83379,0.78867,1.0607,196.92,190.77,133.74,106.1,26491.96,0.411341717,26491.96,-1.837998862,26492,0.31671,0.031791,0.11287,26492,0.54784,0.36137,0.48602,26520,0.49261,0.60525,26520,1.1214,0.17047,0.11424,0.40559,0.83379,0.78867,1.0607,232.73,190.77,169.31,132.63,26491.96,3.723400389,26491.96,1.151065709,26492,0.46382,0.048116,0.46672,26492,0.55391,0.014034,0.33411,26520,3.683,0.071646,26520,0.46607,0.0073863,0.007679,0.074485,0.019577,0.010534,0.25078,196.92,190.77,187.24,113.68,26491.96,0.411341717,26491.96,-0.409402121,26492,0.31671,0.031791,0.11287,26492,-0.50313,-0.032876,-0.28555,26520,0.49261,0.60525,26520,-0.5051,0.17047,0.11424,0.40559,-0.058154,-0.033617,-0.29198,232.73,310,174.9,122.43,26491.96,-1.837998862,26491.96,1.151065709,26492,0.54784,0.36137,0.48602,26492,0.55391,0.014034,0.33411,26520,-1.4115,1.1214,26520,0.46607,0.83379,0.78867,1.0607,0.019577,0.010534,0.25078,196.92,190.77,204.04,132.63
26492.59,3.637618096,26492.59,0.479759804,26493,-0.36825,-0.037666,-0.36536,26493,0.55962,0.10024,0.35588,26530,3.7136,0.36892,26530,0.46339,0.038034,0.038324,0.37174,0.13052,0.074707,0.26524,170.67,225.45,85.567,,26492.59,3.637618096,26492.59,-3.836515453,26493,-0.36825,-0.037666,-0.36536,26493,-2.14,-1.6371,-2.2018,26530,3.7136,0.36892,26530,-1.9829,0.038034,0.038324,0.37174,-1.4744,-1.5192,-2.0431,170.67,145.88,104.71,75.788,26492.59,0.479759804,26492.59,-3.836515453,26493,0.55962,0.10024,0.35588,26493,-2.14,-1.6371,-2.2018,26530,0.45266,0.46339,26530,-1.9829,0.13052,0.074707,0.26524,-1.4744,-1.5192,-2.0431,196.92,145.88,136.03,93.621,26492.59,3.637618096,26492.59,1.179391047,26493,-0.36825,-0.037666,-0.36536,26493,1.2283,0.042364,1.0086,26530,3.7136,0.36892,26530,0.74407,0.038034,0.038324,0.37174,0.031254,0.02228,0.53042,170.67,155,150.15,99.472,26492.59,0.479759804,26492.59,-0.323614082,26493,0.55962,0.10024,0.35588,26493,0.24198,0.0529,0.45947,26530,0.45266,0.46339,26530,-0.17086,0.13052,0.074707,0.26524,-0.019672,0.0046832,0.040677,196.92,225.45,126.31,93.621,26492.59,-3.836515453,26492.59,1.179391047,26493,-2.14,-1.6371,-2.2018,26493,1.2283,0.042364,1.0086,26530,-3.7197,-1.9829,26530,0.74407,-1.4744,-1.5192,-2.0431,0.031254,0.02228,0.53042,128,155,119.67,113.68
26493.22,3.673759415,26493.22,0.309352774,26493,-0.017689,-0.0015251,-0.014793,26493,-0.045393,-0.070144,-0.24904,26540,3.7006,0.24262,26540,0.47382,0.025013,0.025301,0.24542,0.13346,0.078063,0.27715,150.59,190.77,78.017,,26493.22,3.673759415,26493.22,NaN,26493,-0.017689,-0.0015251,-0.014793,26494,-1.1663,-0.91313,-1.2281,26540,3.7006,0.24262,26540,-0.52465,0.025013,0.025301,0.24542,-0.39009,-0.43449,-0.58435,150.59,124,75.073,63.662,26493.22,0.309352774,26493.22,NaN,26493,-0.045393,-0.070144,-0.24904,26494,-1.1663,-0.91313,-1.2281,26540,0.45559,0.47382,26540,-0.52465,0.13346,0.078063,0.27715,-0.39009,-0.43449,-0.58435,142.22,124,104.02,75.788,26493.22,3.673759415,26493.22,1.120354916,26493,-0.017689,-0.0015251,-0.014793,26493,-0.17722,-0.016668,-0.39682,26540,3.7006,0.24262,26540,-0.24715,0.025013,0.025301,0.24542,-0.010381,-0.019289,-0.45921,150.59,137.78,111.3,63.662,26493.22,0.309352774,26493.22,-0.579573066,26493,-0.045393,-0.070144,-0.24904,26493,-1.9812,-0.20307,-1.7638,26540,0.45559,0.47382,26540,0.13156,0.13346,0.078063,0.27715,0.015147,0.039317,0.34149,142.22,177.14,102.68,53.052,26493.22,NaN,26493.22,1.120354916,26494,-1.1663,-0.91313,-1.2281,26493,-0.17722,-0.016668,-0.39682,26540,-2.6354,-0.52465,26540,-0.24715,-0.39009,-0.43449,-0.58435,-0.010381,-0.019289,-0.45921,116.36,137.78,102.02,93.621
26493.85,3.669847022,26493.85,0.427780347,26494,-0.055638,-0.0054376,-0.052744,26494,0.37507,0.04831,0.17152,26550,3.6883,0.12346,26550,1.3882,0.012728,0.013014,0.12623,0.39099,0.33602,1.193,102.4,137.78,61.928,,26493.85,3.669847022,26493.85,-3.112548659,26494,-0.055638,-0.0054376,-0.052744,26494,-2.299,-1.7553,-2.3607,26550,3.6883,0.12346,26550,-0.28959,0.012728,0.013014,0.12623,-0.21532,-0.25938,-0.34885,102.4,107.83,62.907,53.052,26493.85,0.427780347,26493.85,-3.112548659,26494,0.37507,0.04831,0.17152,26494,-2.299,-1.7553,-2.3607,26550,0.71313,1.3882,26550,-0.28959,0.39099,0.33602,1.193,-0.21532,-0.25938,-0.34885,116.36,107.83,91.997,66.315,26493.85,3.669847022,26493.85,1.116377375,26494,-0.055638,-0.0054376,-0.052744,26494,-0.27192,-0.020641,-0.49141,26550,3.6883,0.12346,26550,0.67482,0.012728,0.013014,0.12623,0.028345,0.019505,0.46436,102.4,124,98.244,,26493.85,0.427780347,26493.85,-0.367509888,26494,0.37507,0.04831,0.17152,26494,-0.13928,0.0089815,0.078009,26550,0.71313,1.3882,26550,1.105,0.39099,0.33602,1.193,0.12723,0.15121,1.3133,116.36,137.78,91.468,45.473,26493.85,-3.112548659,26493.85,1.116377375,26494,-2.299,-1.7553,-2.3607,26494,-0.27192,-0.020641,-0.49141,26550,-2.4607,-0.28959,26550,0.67482,-0.21532,-0.25938,-0.34885,0.028345,0.019505,0.46436,106.67,124,92.532,83.766
26494.47,3.615647727,26494.47,0.378388704,26494,-0.58136,-0.059637,-0.57847,26494,0.19971,-0.0010556,-0.0037478,26560,3.7238,0.46736,26560,0.48872,0.048182,0.048466,0.47011,0.13765,0.083107,0.29506,91.429,124,56.438,,26494.47,3.615647727,26494.47,-3.954734124,26494,-0.58136,-0.059637,-0.57847,26495,0.88578,0.61273,0.82408,26560,3.7238,0.46736,26560,1.187,0.048182,0.048466,0.47011,0.88258,0.83888,1.1282,91.429,95.385,56.639,46.81,26494.47,0.378388704,26494.47,-3.954734124,26494,0.19971,-0.0010556,-0.0037478,26495,0.88578,0.61273,0.82408,26560,0.45979,0.48872,26560,1.187,0.13765,0.083107,0.29506,0.88258,0.83888,1.1282,91.429,95.385,85.567,61.213,26494.47,3.615647727,26494.47,1.110694048,26494,-0.58136,-0.059637,-0.57847,26494,-0.40722,-0.02632,-0.62661,26560,3.7238,0.46736,26560,0.57386,0.048182,0.048466,0.47011,0.024105,0.015332,0.36502,91.429,103.33,78.401,,26494.47,0.378388704,26494.47,-0.458226562,26494,0.19971,-0.0010556,-0.0037478,26494,-0.9272,-0.081747,-0.71002,26560,0.45979,0.48872,26560,-0.56742,0.13765,0.083107,0.29506,-0.065329,-0.041528,-0.3607,91.429,118.1,79.577,34.599,26494.47,-3.954734124,26494.47,1.110694048,26495,0.88578,0.61273,0.82408,26494,-0.40722,-0.02632,-0.62661,26560,-1.3628,1.187,26560,0.57386,0.88258,0.83888,1.1282,0.024105,0.015332,0.36502,98.462,103.33,84.657,72.343
26495.1,3.665206059,26495.1,0.486310448,26495,-0.10065,-0.010079,-0.097763,26495,0.58287,0.10689,0.37951,26570,3.7525,0.74646,26570,-0.26878,0.076955,0.077237,0.74919,-0.075704,-0.12983,-0.46095,82.581,91.852,51.506,,26495.1,3.665206059,26495.1,-1.586733119,26495,-0.10065,-0.010079,-0.097763,26496,0.30992,0.18459,0.24826,26570,3.7525,0.74646,26570,0.51261,0.076955,0.077237,0.74919,0.38115,0.33777,0.45428,82.581,85.517,52.354,36.172,26495.1,0.486310448,26495.1,-1.586733119,26495,0.58287,0.10689,0.37951,26496,0.30992,0.18459,0.24826,26570,0.24643,-0.26878,26570,0.51261,-0.075704,-0.12983,-0.46095,0.38115,0.33777,0.45428,85.333,85.517,75.788,53.052,26495.1,3.665206059,26495.1,1.121063147,26495,-0.10065,-0.010079,-0.097763,26495,-0.16036,-0.015947,-0.37965,26570,3.7525,0.74646,26570,0.4064,0.076955,0.077237,0.74919,0.01707,0.0083664,0.19918,82.581,85.517,71.691,,26495.1,0.486310448,26495.1,-0.360559604,26495,0.58287,0.10689,0.37951,26495,-0.078909,0.015909,0.13818,26570,0.24643,-0.26878,26570,-2.4359,-0.075704,-0.12983,-0.46095,-0.28045,-0.25684,-2.2308,85.333,107.83,62.907,,26495.1,-1.586733119,26495.1,1.121063147,26496,0.30992,0.18459,0.24826,26495,-0.16036,-0.015947,-0.37965,26570,-1.8642,0.51261,26570,0.4064,0.38115,0.33777,0.45428,0.01707,0.0083664,0.19918,85.333,85.517,75.073,58.946
