Date_sampled,Lake_name,Latitude,Longditude,Elevation,Temperature,Conductivity,Conductivity,Salinity,O2_saturation,O2_concentration,pH,Redox_pot.,Snellius_depth
Units,,decimal_degrees,decimal_degrees,m above sea level,degrees_C,mS cm-1,mS,ppt,percent,mg l-1,NA,mV,cm
08/02/2007,Pehoe,-51.09328,-72.9845,12,9.58,43,30,0.02,100,11.4,7.65,-46.8,26
08/02/2007,Mellizas 1,-51.06122,-72.9662,83,10.92,444,325,0.21,102.9,11.32,8.29,-83.7,33
08/02/2007,Mellizas 2 (vanuit de camping komende: het 'linkse' meer),-51.06165,-72.9609,83,10.38,580,419,0.28,102.6,9.44,8.53,-96.6,29
08/02/2007,de la Muerte,-51.04723,-72.92425,258,12.02,535,402,0.26,150.8,12.41,8.57,-98.8,39
08/02/2007,Espejo,-51.02373,-72.84888,252,12.12,329,248,0.16,109.5,102.9,8.15,-76.2,35
08/02/2007,Guanaco,-51.02835,-72.83212,221,12.06,517,389,0.25,108.5,11.61,8.31,-84.9,35
08/02/2007,Peat 1,-51.02927,-72.83267,167,13.25,1152,894,0.58,107.6,11.22,8.71,-107.9,
08/02/2007,Redonda,-51.01848,-72.85317,233,12.88,551,423,0.27,105.9,11.19,8.5,-95.5,47
08/02/2007,Larga,-51.02177,-72.8763,208,12.04,3684,2770,1.95,100.4,10.96,9.08,-128.5,36
09/02/2007,Grey,-51.09407,-72.98395,63,5.76,30,19,0.01,104.8,13.12,7.81,-52.6,18
09/02/2007,Margarita,-51.13058,-73.11285,72,10.23,1080,780,0.05,108.3,12.11,7.79,-54.2,48
09/02/2007,Amarga,-50.97853,-72.76365,78,13.12,90200,69800,64,108.4,7.65,8.84,-114.7,9
09/02/2007,Azul,-50.87508,-72.73592,245,10.89,163,119,0.08,104.4,11.53,8.08,-70.7,41
11/02/2007,Entre Vientos,-50.8751,-72.73592,247,20.33,11300,10050,6.45,138.5,12.17,8.67,-107,3
11/02/2007,Lag(una) del Toro (military domain),-50.8701,-72.73592,247,19.78,107,96420,79.54,112.1,6.41,8.79,-114.4,5
11/02/2007,Cabeza del Mar,-50.8751,-72.73592,247,16.47,52,43230,33.99,117.3,9.33,8.09,-73,50
13/02/2007,Parrillar,-53.40768,-71.2617,165,12.73,88,66,0.04,103.3,10.93,7.98,-63.8,28
18/02/2007,Bulnes littoral sample,-53.60305,-70.95165,50,11.65,95,710,0.04,103.6,11.28,7.79,-53.6,32
23-26/02/2007,Pato littoral sample,-51.30052,-72.67775,36,11.67,333,248,0.16,107.8,11.68,8.81,-112.7,13
21/02/2007,Rio Verde (Skyring),-53.60287,-70.95123,40,10.76,293,243,0.14,107.1,11.87,8.38,-87.9,16
20/02/2007,los Flamencos,-52.65042,-71.06365,91,9.91,3534,2514,1.87,49.6,4.53,8.03,-82.6,1
21/02/2007,Laguna Gas,-52.54483,-71.06458,286,9.31,148,104,0.07,102.4,11.64,8.33,-84.8,14
18/02/2007,BulPeat 1 (Koen),-53.60473,-70.956,80,10.46,99,71,0.05,58,5.46,6.44,-20.2,
27/02/2007,Castillo Viejo,-51.30678,-72.6974,46,11.55,384,NaN,0.18,107.2,11.66,8.7,-106.2,19
27/02/2007,Lago del Toro (Torres del Paine),-51.30658,-72.70085,51,9.7,76,NaN,0.04,106.1,12.05,8.04,-67.2,22
23/02/2007,Sofia,-51.19513,-72.9718,148,13.65,160,NaN,0.08,106.2,11,8.05,-68.8,
23/02/2007,Sofia,-51.19513,-72.9718,148,13.65,160,NaN,0.08,106.2,11,8.05,-68.8,
27/02/2007,Maravilla,-51.31078,-72.7309,35,11.42,50,37,0.02,107.1,1.67,7.76,-51.2,45
28/02/2007,Cerro Negro,-52.00652,-71.9975,180,9.65,192,NaN,0.09,108.3,12.32,8.66,-103.3,21
25/02/2007,Nordeskjöld,-51.12125,-72.8259,258,9.97,42,NaN,0.02,105.6,11.92,7.8,-54.7,23
08/02/2007,los Cisnes,-51.03097,-72.8715,220,13.7,19350,NaN,11.57,98.3,9.5,9,-124.6,
23/02/2007,Figueroa,-51.38592,-72.43957,,14.2,203,NaN,0.1,110.9,11.4,8.6,-100.6,30
23/02/2007,Porteño,-52.54487,-71.06473,281,10.94,49,NaN,0.02,104,11.46,7.62,-44.5,34
24/02/2007,Verde,-51.30553,-72.70688,248,11.12,187,NaN,0.09,103.6,11.41,8.17,-76.2,21
24/02/2007,Sarmiento,-51.12125,-72.8259,258,10.86,1800,NaN,0.65,108.1,11.9,8.37,-89.9,31
,,-50.8701,-70.95123,,,,,,,,,,
,,-53.60473,-73.11285,,,,,,,,,,
