ID,LabID,LongID,Type,TAS_Class,Group,Eruption_ID,Magma,Volcano,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,SO2,Cl,Total,SiO2_n,TiO2_n,Al2O3_n,FeO_n,MnO_n,MgO_n,CaO_n,Na2O_n,K2O_n,P2O5_n,SO2_n,Cl_n,Total_n,SiO2_n_Z_score,TiO2_n_Z_score,Al2O3_n_Z_score,FeO_n_Z_score,Mn_Z_scoreO_n_Z_score,MgO_n_Z_score,CaO_n_Z_score,Na2O_n_Z_score,K2O_n_Z_score,SiO2_n_sqrt_transformed_Z_scores,TiO2_n_sqrt_transformed_Z_scores,Al2O3_n_sqrt_transformed_Z_scores,FeO_n_sqrt_transformed_Z_scores,Mn_sqrt_transformed_Z_scoresO_n_sqrt_transformed_Z_scores,MgO_n_sqrt_transformed_Z_scores,CaO_n_sqrt_transformed_Z_scores,Na2O_n_sqrt_transformed_Z_scores,K2O_n_sqrt_transformed_Z_scores,PC1_Z_scores_sqrt_transformed,PC2_Z_scores_sqrt_transformed,PC3_Z_scores_sqrt_transformed,PC4_Z_scores_sqrt_transformed,PC_n_sqrt_transformed_Z_scores,Variance_explained_percent,Minimum,25%_Quartile,Median,Mean,75%_Quartile,Maximum
SAM-1,A1-1,SAM-1_A1-1_A1_Aguillera,Acid,Rhyolite,SAM,A1,0,Aguillera,75.81,0.21,14.15,1.09,0.03,0.19,1.23,3.12,4.17,0,0,0,100,75.81,0.21,14.15,1.09,0.03,0.19,1.23,3.12,4.17,0,0,0,100,0.57084961,-0.708375474,0.004532695,-0.812341355,-0.732549732,-0.759212356,-0.896571516,-1.692632371,1.592138683,0.579049284,-0.654244518,0.033318131,-0.850807875,-0.639222127,-0.781032012,-0.926961668,-1.78091798,1.495706362,-2.038238449,1.683934321,0.037301279,1.147784437,PC1,70.06127749,-5.131,-2.12,-1.138,0,2.978,4.352
SAM-2,A1-2,SAM-2_A1-2_A1_Aguillera,Acid,Rhyolite,SAM,A1,0,Aguillera,75.54,0.19,14.41,1.11,0.03,0.18,1.19,3.24,4.11,0,0,0,100,75.54,0.19,14.41,1.11,0.03,0.18,1.19,3.24,4.11,0,0,0,100,0.523267955,-0.751849474,0.16360383,-0.799610088,-0.732549732,-0.777567638,-0.941299662,-1.567280605,1.523377928,0.532890165,-0.725952047,0.1922793,-0.831256833,-0.639222127,-0.815445639,-0.986464543,-1.630853565,1.439959846,-1.972956576,1.650003743,-0.10979181,1.115288047,PC2,12.84411012,-3.66991,-0.75823,-0.02621,0,0.54559,3.66708
SAM-3,A1-3,SAM-3_A1-3_A1_Aguillera,Acid,Rhyolite,SAM,A1,0,Aguillera,77.46,0.14,12.56,0.99,0.03,0.17,1.08,3.45,4.11,0,0,0,100,77.46,0.14,12.56,0.99,0.03,0.17,1.08,3.45,4.11,0,0,0,100,0.86145305,-0.853051243,-0.967345804,-0.873545356,-0.723117185,-0.78824981,-1.068976523,-1.344918217,1.521781025,0.859198145,-0.909172113,-0.971366031,-0.947405652,-0.623875009,-0.835914448,-1.162049543,-1.371336094,1.438660368,-2.599254752,1.637867715,0.264174914,0.397703321,PC3,6.75633032,-4.46357,-0.40853,0.08639,0,0.38242,3.4346
SAM-4,A1-4,SAM-4_A1-4_A1_Aguillera,Acid,Rhyolite,SAM,A1,0,Aguillera,75.41,0.17,14.45,1.05,0.04,0.18,1.15,3.34,4.2,0,0,0,100,75.41,0.17,14.45,1.05,0.04,0.18,1.15,3.34,4.2,0,0,0,100,0.500415593,-0.797271652,0.190154638,-0.834995615,-0.607382746,-0.779309499,-0.981684244,-1.460432969,1.623942726,0.510691691,-0.805032902,0.218671672,-0.886046252,-0.448767706,-0.818760508,-1.04105419,-1.505121471,1.521355215,-1.921900101,1.740671541,-0.103866605,1.115403679,PC4,4.191001586,-1.201,-0.4136,-0.1154,0,0.2834,4.7576
SAM-5,A1-5,SAM-5_A1-5_A1_Aguillera,Acid,Rhyolite,SAM,A1,0,Aguillera,76.65,0.26,12.88,0.98,0.01,0.12,1.23,3.65,4.23,0,0,0,100,76.65,0.26,12.88,0.98,0.01,0.12,1.23,3.65,4.23,0,0,0,100,0.718809744,-0.597249785,-0.775304936,-0.879669262,-0.98772433,-0.886748109,-0.901862123,-1.143511818,1.658815045,0.7220631,-0.485154184,-0.768015822,-0.957323386,-1.168446686,-1.043689361,-0.933948916,-1.143099573,1.549381268,-2.409140753,1.636764077,-0.346796399,0.348966912,,,,,,,,
SAM-6,MB2-1,SAM-6_MB2-1_MB2_Burney,Acid,Rhyolite,SAM,MB2,0,Burney,76.11,0.21,14.37,1.55,0.04,0.31,2.04,3.78,1.59,0,0,0,100,76.11,0.21,14.37,1.55,0.04,0.31,2.04,3.78,1.59,0,0,0,100,0.623718115,-0.708375474,0.139131348,-0.519522214,-0.604686337,-0.53894897,0.009173451,-1.003197657,-1.364573749,0.630240893,-0.654244518,0.167917633,-0.438738918,-0.444940046,-0.423195548,0.117739963,-0.987643479,-1.457566903,-1.254118372,-1.426603765,0.172854487,0.633896913,,,,,,,,
SAM-7,MB2-2,SAM-7_MB2-2_MB2_Burney,Acid,Rhyolite,SAM,MB2,0,Burney,76.11,0.31,14.61,1.43,0.04,0.31,1.97,3.76,1.41,0,0,0,99.95,76.15,0.31,14.62,1.43,0.04,0.31,1.97,3.76,1.41,0,0,0,100,0.630427841,-0.490668384,0.290437762,-0.595454445,-0.604430482,-0.53866432,-0.067998823,-1.022124792,-1.570047668,0.636730578,-0.337960884,0.318000672,-0.538936685,-0.444577375,-0.422783364,0.037995282,-1.008450113,-1.734406694,-1.170132856,-1.632231857,0.181378161,0.596591385,,,,,,,,
SAM-8,MB2-3,SAM-8_MB2-3_MB2_Burney,Acid,Rhyolite,SAM,MB2,0,Burney,75.74,0.27,14.69,1.67,0.04,0.37,2.03,3.67,1.52,0,0,0,100,75.74,0.27,14.69,1.67,0.04,0.37,2.03,3.67,1.52,0,0,0,100,0.558513625,-0.577953476,0.334911207,-0.443134612,-0.604686337,-0.428817276,-0.002008585,-1.118103443,-1.444794629,0.567090008,-0.457540699,0.361872669,-0.341760406,-0.444940046,-0.270750851,0.106269686,-1.114739539,-1.563693477,-1.043622957,-1.484307788,0.254482375,0.682278245,,,,,,,,
SAM-9,MB2-4,SAM-9_MB2-4_MB2_Burney,Acid,Rhyolite,SAM,MB2,0,Burney,76.26,0.34,13.64,1.45,0.04,0.29,2.32,4.17,1.51,0,0,0,100.02,76.24,0.34,13.64,1.45,0.04,0.29,2.32,4.17,1.51,0,0,0,100,0.647465071,-0.425942259,-0.309160141,-0.583363115,-0.604788602,-0.575765973,0.321751735,-0.596675437,-1.456600782,0.653201797,-0.254220077,-0.284496874,-0.522709124,-0.445085031,-0.477406256,0.427704568,-0.552221624,-1.579516839,-1.091203546,-1.686474061,0.114390267,0.269425658,,,,,,,,
SAM-10,MB2-5,SAM-10_MB2-5_MB2_Burney,Acid,Rhyolite,SAM,MB2,0,Burney,75.29,0.41,14.72,1.57,0.04,0.42,2.29,3.97,1.29,0,0,0,100,75.29,0.41,14.72,1.57,0.04,0.42,2.29,3.97,1.29,0,0,0,100,0.479210867,-0.27363548,0.353265568,-0.506790947,-0.604686337,-0.337040866,0.288724367,-0.804724027,-1.70837752,0.49007663,-0.070603002,0.379947161,-0.422321619,-0.444940046,-0.152945264,0.395870109,-0.772394505,-1.930821962,-0.667296641,-1.937786437,0.12467394,0.503376827,,,,,,,,
