LP_ID,Lab_ID,LID_code,Record,Core_ID,Core_depth_range,Strat_depth_min,Strat_depth_max,Strat_depth_mid,Size_range,Na2O,Al2O3,MgO,SiO2,K2O,CaO,FeO,P2O5,TiO2,MnO,Total
Unit,,,,,cm,cm,cm,cm,µm,%,%,%,%,%,%,%,%,%,%,%
LP16-1,LP16_12.5,E1,LP16,1C,8.5-9.5,12.2,12.7,12.45,  63-125,3.3595,11.4033,0.1373,74.2832,3.9761,0.9173,0.7836,0.0249,0.1265,0.0333,95.045
LP16-2,LP16_12.5,E1,LP16,1C,8.5-9.5,12.2,12.7,12.45,  63-125,3.3095,11.4641,0.1407,74.723,3.8948,0.9621,0.9021,0.0249,0.1354,0.019,95.5756
LP16-3,LP16_12.5,E1,LP16,1C,8.5-9.5,12.2,12.7,12.45,  63-125,3.1636,11.5328,0.0584,74.7938,4.9797,0.4108,0.81,0.0517,0.1449,0.0336,95.9793
LP16-4,LP16_12.5,E1,LP16,1C,8.5-9.5,12.2,12.7,12.45,  63-125,3.69,14.337,0.0556,74.922,4.4417,1.3308,0.7859,0.0386,0.1511,0.0269,99.7796
LP16-5,LP16_12.5,E1,LP16,1C,8.5-9.5,12.2,12.7,12.45,  63-125,4.086,13.2444,0.2672,77.1824,2.4189,1.6815,1.307,0.056,0.2006,0.0364,100.4805
LP16-6,LP16_12.5,E1,LP16,1C,8.5-9.5,12.2,12.7,12.45,  63-125,2.5358,11.2322,0.0864,78.2167,5.209,0.5685,0.8473,0.0579,0.3923,0.0297,99.1758
LP16-7,LP16_12.5,E1,LP16,1C,8.5-9.5,12.2,12.7,12.45,  63-125,5.3146,16.4952,0.1975,72.3376,2.4155,2.7844,0.9847,0.1332,0.2088,0.0364,100.9079
LP16-8,LP16_12.5,E2,LP16,1C,8.5-9.5,12.2,12.7,12.45,125-250,4.0951,12.0368,0.1129,77.2058,2.5393,1.4996,1.1028,0.0685,0.2358,0.0429,98.9397
LP16-9,LP16_12.5,E2,LP16,1C,8.5-9.5,12.2,12.7,12.45,125-250,6.4793,19.4765,0.0065,67.9603,1.2136,4.5691,0.4414,0.0578,0.1666,0.0219,100.3928
