LP08_depth_cm,SH20M1H_mean_age,LP08_LnFe_Mn,LP16_depth_cm,SH20M1H_mean_age,LP16_LnFe_Mn,10yr_PCHIP_SH20M1H_mean_age,LP08_LnFe_Mn,LP08_LnFe_Mn_Zscore,10yr_PCHIP_SH20M1H_mean_age,LP16_LnFe_Mn,LP16_LnFe_Mn_Zscore,100yr_PCHIP_SH20M1H_mean_age,LP08_LnFe_Mn,LP08_LnFe_Mn_Zscore,100yr_PCHIP_SH20M1H_mean_age,LP16_LnFe_Mn,LP16_LnFe_Mn_Zscore
5.8,118.54,3.544744647,6.7,286.78,2.140426348,120,3.5476,0.71036,290,2.2421,-1.9015,120,3.5476,0.71293,290,2.2421,-1.9015
6.1,127.62,3.572206339,6.75,289.36,2.21061833,130,3.5865,0.75116,300,1.7565,-2.3871,220,3.6736,0.83895,390,2.4826,-1.661
6.3,133.67,3.603858623,6.8,291.94,2.333745889,140,3.5155,0.6637,310,2.1121,-2.0315,320,3.5193,0.68462,490,3.758,-0.38564
6.6,142.75,3.483127646,6.85,294.51,2.0433691,150,3.4632,0.62373,320,2.2496,-1.894,420,3.6237,0.78902,590,3.763,-0.38064
6.9,151.83,3.45946629,6.9,297.09,1.950120682,160,3.4431,0.6291,330,2.0746,-2.069,520,3.4695,0.63483,690,3.5618,-0.5818
7.2,160.9,3.442783415,6.95,299.67,1.749472409,170,3.5493,0.70366,340,2.1537,-1.9899,620,3.3156,0.48095,790,4.1286,-0.014971
7.5,169.98,3.54934763,7,302.25,1.973502155,180,3.5863,0.83869,350,2.0429,-2.1007,720,3.3195,0.48477,890,3.5701,-0.57352
7.7,176.04,3.536749678,7.05,304.83,2.171794091,190,3.6884,0.83861,360,2.5097,-1.6339,820,3.2387,0.40397,990,3.9616,-0.18203
8,185.11,3.669994191,7.1,307.41,2.228556284,200,3.6259,0.68011,370,2.5015,-1.6421,920,3.333,0.49828,1090,3.4119,-0.73174
8.3,194.19,3.694444299,7.15,309.99,2.112450287,210,3.5141,0.84643,380,2.4925,-1.6511,1020,2.9763,0.1416,1190,3.8478,-0.29584
8.6,203.27,3.57508844,7.2,312.57,2.029931481,220,3.6736,0.82228,390,2.4826,-1.661,1120,3.3463,0.51165,1290,3.9526,-0.19102
8.8,209.33,3.511383779,7.25,315.15,2.317239101,230,3.6505,0.72663,400,2.6882,-1.4554,1220,3.3543,0.51962,1390,3.5526,-0.59103
9.1,218.4,3.687607459,7.3,317.73,2.464018162,240,3.5996,0.26095,410,2.836,-1.3076,1320,3.4018,0.56713,1490,3.9593,-0.18429
9.3,224.46,3.606595762,7.35,320.31,2.240709689,250,3.138,0.73263,420,2.7694,-1.3742,1420,3.2648,0.43012,1590,4.2567,0.11312
9.6,233.54,3.672822017,7.4,322.89,2.472161129,260,3.5764,0.62952,430,2.9442,-1.1994,1520,3.2544,0.41969,1690,3.7458,-0.39779
9.9,242.61,3.545238274,7.45,325.47,2.454344857,270,3.4672,0.59043,440,3.0282,-1.1154,1620,3.146,0.31131,1790,4.1947,0.05105
10.2,251.92,3.095289466,7.5,328.05,2.335884507,280,3.4255,0.61219,450,2.9976,-1.146,1720,3.1073,0.27261,1890,4.0575,-0.086057
10.4,258.2,3.58316275,7.55,330.63,2.037539476,290,3.4513,0.68124,460,3.5621,-0.5815,1820,3.3496,0.51494,1990,4.124,-0.019623
10.7,267.63,3.488167606,7.6,333.21,2.127078386,300,3.5574,0.66655,470,2.9541,-1.1895,1920,3.1926,0.35789,2090,4.2371,0.093496
11,277.05,3.424012059,7.65,335.79,2.210152126,310,3.4543,0.64524,480,3.3649,-0.77871,2020,3.2669,0.43217,2190,3.9205,-0.22314
11.3,286.47,NaN,7.7,338.37,2.280565286,320,3.5193,0.75941,490,3.758,-0.38564,2120,3.0863,0.25161,2290,3.826,-0.31761
11.6,295.89,3.480213922,7.75,340.95,2.087936514,330,3.628,0.77647,500,3.5604,-0.58325,2220,3.2081,0.37345,2390,4.0634,-0.080222
