LP08_Fe_Mn,LP08_Fe_Mn,LP16_Fe_Mn,LP16_Fe_Mn
SH20M1H_mean_age,LnFe_Mn,SH20M1H_mean_age,LnFe_Mn
cal a BP,NA,cal a BP,NA
1496.56,3.237122963,869.92,3.77191292
1499.4,3.332619706,873.3,3.617364513
1502.25,3.284511717,876.68,3.287487671
1505.09,3.191664487,880.05,2.919983612
1509.35,3.038229511,883.43,3.382415785
1512.19,3.160880633,886.81,3.7309551
1515.03,3.126352456,890.18,3.557314058
1517.87,3.307614488,893.56,3.183958169
1522.13,3.201158826,896.94,3.450694192
1524.97,3.254020194,900.31,3.162246401
1527.81,3.316434557,903.69,3.519803124
1532.08,3.108956526,907.07,3.328094612
1534.92,3.342987996,910.44,3.228198091
1537.76,3.094823176,913.82,3.779317866
1540.6,NaN,917.2,3.613766309
1544.86,3.494391159,920.57,2.611839092
1547.7,3.143941996,923.95,1.815084142
1550.54,3.510811135,927.33,2.818726235
1554.8,3.372550201,930.7,3.786081782
1557.64,3.27108619,934.08,3.806834075
1560.48,3.332690301,937.46,3.509752788
1563.33,3.179620001,940.83,3.812529873
1567.59,3.209360735,944.21,3.140036097
1570.43,3.176629421,947.59,3.533224479
1573.27,3.050397802,950.96,3.712104488
1577.53,3.132003231,954.34,3.747888007
1580.37,3.028236586,957.71,3.720154483
1583.21,3.127225606,961.09,3.722533867
1586.05,2.92084503,964.47,3.728509249
1590.31,3.255151722,967.84,3.452069712
1593.16,3.203993851,971.22,3.622171456
1596,3.170376758,974.6,3.627668723
1600.26,3.22460717,977.97,3.477175564
1603.1,3.301279178,981.35,3.325723799
1605.94,3.153881916,984.73,3.690768425
1608.78,3.229996555,988.1,3.861916185
1613.68,3.368423135,991.48,4.001992964
1616.95,3.198171152,994.86,3.512599092
1620.22,3.145662974,998.23,3.568384411
1623.48,3.288961932,1001.61,3.63882088
1739.47,3.092556458,1004.99,3.272547826
1742.73,3.211593559,1008.36,3.495869399
1747.63,3.093398167,1011.74,3.531720378
1750.9,3.144264961,1015.12,3.916228708
1754.17,3.164429825,1018.49,3.287856897
1759.07,3.15239522,1021.87,3.319647515
1762.33,3.096177818,1025.25,3.515999589
1765.6,3.216099698,1028.62,3.651612713
1768.87,3.244757498,1032,3.77468302
1773.47,3.203432513,1035.38,3.696690199
1776.13,3.306195577,1038.75,2.839525657
1778.79,3.275224118,1042.13,2.977339112
1782.79,3.203559121,1045.51,3.952610306
1785.45,3.206500395,1048.88,4.081807555
1788.11,3.267984364,1052.26,3.832934703
1790.78,3.182139042,1055.63,4.004263344
1794.77,3.282413846,1059.01,4.237382511
1797.43,2.861792634,1062.39,4.013886342
1800.1,3.140736067,1065.76,4.10396663
1804.09,3.022337227,1069.14,3.654268354
1806.76,2.950422887,1072.52,3.740732408
1809.42,3.127281505,1075.89,3.939323003
1812.08,3.192263438,1079.27,4.048106694
1816.08,3.27138577,1082.65,4.052082473
1818.74,3.351880118,1086.02,4.011470071
1821.4,3.34700047,1089.4,3.409556802
1825.4,3.347048055,1092.78,3.43726558
1828.06,3.415250867,1096.15,3.377210132
1830.72,3.347837971,1099.53,3.209079251
1833.39,3.160606917,1102.91,3.601322474
1837.38,3.071863783,1106.28,3.383825132
1840.04,3.212922656,1109.66,3.415271868
1842.71,3.40807529,1113.04,3.873824378
1845.37,3.383865925,1116.41,4.067574321
1849.36,3.300073232,1119.79,3.878949881
1852.03,3.216263721,1123.17,3.973763838
1854.69,3.334995642,1126.54,3.881702478
1858.68,3.726619782,1129.92,3.935341243
1861.35,3.52068836,1133.3,3.791331899
1864.01,3.28804433,1136.67,3.730684354
1866.67,3.435718576,1140.05,3.877943298
1870.67,3.32498025,1143.43,4.000752844
1873.33,3.410378408,1146.8,3.993047913
1875.99,3.370006075,1150.18,3.680476479
1879.99,3.351698305,1153.55,3.80152109
1882.65,3.276105592,1156.93,3.371326218
1885.31,3.283414346,1160.31,3.079813638
1887.98,3.348934938,1163.68,3.704339047
1891.97,3.288442009,1167.06,3.757244822
1894.63,3.313240326,1170.44,3.209229448
1897.3,3.258096538,1173.81,3.504251575
1901.29,3.403507636,1177.19,3.982489046
1903.95,3.390658168,1180.57,3.63111704
1906.95,3.226563243,1183.94,3.95305305
1910.26,3.320104103,1195.95,3.745323468
1915.24,3.20941949,1207.96,3.964923116
1918.56,3.19626927,1219.97,3.883300716
1921.88,3.190012555,1231.98,3.811026004
1926.86,3.35755022,1243.99,3.646482059
1930.18,3.397984896,1256,3.797028417
1933.5,3.216316642,1268,4.06371771
1936.82,3.218181139,1280.01,3.903990834
1941.79,3.230304521,1292.02,3.966302662
1945.11,3.190345469,1304.03,4.068824198
1948.43,3.218028905,1316.04,4.047390319
1953.41,3.337997677,1328.05,3.975909655
1956.73,3.351105,1340.06,3.886914017
1960.05,3.052769907,1352.06,3.618890567
1963.37,3.372586848,1364.07,3.631659119
1968.35,3.342836012,1376.08,3.572345638
1971.67,3.260364756,1388.09,3.534692117
1974.98,3.274021195,1400.1,3.891067255
1978.3,3.274155194,1412.11,4.144279546
1983.28,3.266221945,1424.11,3.540558892
1986.6,3.637359274,1436.12,3.607747565
1989.92,3.41854602,1448.13,3.900561344
1994.9,3.334743227,1460.14,3.690065901
1998.22,3.383236595,1472.15,4.011902881
2001.54,3.309298831,1484.16,3.868677069
2004.85,3.537289595,1496.17,4.057733297
2009.83,3.268635869,1508.17,3.996900491
2013.15,3.335432686,1520.18,3.970008145
2016.47,3.188069762,1532.19,4.170042179
2021.45,3.317256549,1544.2,3.849423646
2024.77,3.459182715,1556.21,4.030679976
2028.09,3.352354769,1568.22,3.843402089
2031.41,3.287877615,1580.23,4.234187921
2036.39,3.239569321,1592.23,4.25760907
2039.7,3.159487896,1604.24,3.872947736
2043.02,3.039202188,1616.25,4.04312467
2048,3.019952705,1628.26,4.037211503
2051.32,3.189833139,1640.27,3.874593595
2054.64,3.145030976,1652.28,3.76944114
2057.96,3.067485559,1664.29,3.911204827
2062.94,2.982849648,1676.29,3.941156517
2066.26,3.151556429,1688.3,3.735347371
2069.57,2.875863731,1700.31,3.961724996
2074.22,2.959594885,1712.32,4.032710909
2077.21,3.002542365,1724.33,3.652442965
2080.19,2.933019102,1736.34,3.459186247
2083.18,2.926319146,1748.35,3.614470014
2087.66,2.981497158,1760.35,3.738947166
2090.65,2.804636191,1772.36,3.689878954
