ID,Section,Section_depth_min,Section_depth_max,Strat_depth_midpoint,95%_min_age_SH20M1H,95%_max_age_SH20M1H,median_age_SH20M1H,mean_age_SH20M1H,accumulation_rate,Nothofagus_dombeyi_type,Nothofagus_obliqua_type,Maytenus,Misodendrum,Poaceae,Empetrum_rubrum,Asteraceae_Subf._Asteroideae,Gunnera,Acaena,Plantago,Litorella,Galium_type,Polypodiaceae,Trees_&_Shrubs,Dwarf_Shrubs,Cyperaceae,Aquatics_&_Spores,Algae,Tephra_concentration,Charcoal_concentration,TLP_concentration,Pediastrum_concentration
Unit,cm,cm,cm,cm,cal a BP,cal a BP,cal a BP,cal a BP,cm yr-1,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,%,grains cm-3 x10^3,grains cm-3 x10^3,grains cm-3 x10^3,grains cm-3 x10^3
LP08_P10,LP08-SC,40,41,40.5,1212.21,1352.85,1306.36,1306.22,0.059186607,73.8,0.6,0.6,5,15.8,0,0.9,0,0.9,0,0,0.6,0.3,80.4,19.6,6.5,0.6,30.9,0,175.1,55495.8,24859.3
LP08_P11,LP08-1A,34,35,47.5,1296.42,1649.79,1403.95,1424.49,0.06680331,83.8,0.7,0,0.7,11.2,0,0.7,0.3,1,0,0,0,0.7,85.5,14.5,5,1.3,5,534,1067.9,161786.9,8543.2
LP08_P12,LP08-1A,42,43,56.3,1354.07,1845.93,1538.45,1556.22,0.064644455,77,0.6,0,1.9,15.7,1,1.3,0,0,0,0,0.3,0.6,79.6,20.4,8.5,0.6,15.6,0,0,257117.5,47644.8
LP08_P13,LP08-1A,50,51,65.4,1444.32,1977.9,1692.11,1696.99,0.067377462,79.7,0.3,0.3,0.6,13.8,0.6,1.5,0,0.3,0,0,0.3,1.2,81.2,18.8,7.1,1.2,5.6,1941.6,970.8,330078.2,19416.4
LP08_P14,LP08-1A,58,59,74.5,1556.25,2108.63,1835.42,1832.05,0.071524826,74.9,1,0,0.6,17.5,0.6,1.3,0,0.3,0.3,0,0.3,0.9,78.1,21.9,6.3,0.9,15.5,1281.5,2135.8,134555.4,24775.3
LP08_P15,LP08-1A,64,65,81.4,1646.58,2188.98,1940.55,1928.52,0.060257097,83.3,0,0,0.6,10.8,0.3,0.3,0,0.9,0,0,0.3,2.1,84.2,15.8,5.3,2.4,19.9,2135.8,4271.6,229954.5,56954.7
LP08_P16,LP08-1A,68,69,85.9,1748.96,2220.39,2011.23,2003.2,0.060927152,84.4,0.9,0.3,1.7,9.5,0,0,0,0.6,0,0.3,0.3,0.9,87.3,12.7,9.2,0.9,27,427.2,427.2,147797.4,54676.5
LP08_P17,LP08-1A,72,73,90.5,1826.82,2281.86,2092.04,2078.7,0.066957787,83.6,0,0,1.1,13.1,0.3,0.5,0,0.3,0,0,0.3,1.6,84.7,15.3,7.3,1.6,47.5,2669.8,0,244282.1,220921.8
LP08_P18,LP08-1A,74,75,92.8,1911.95,2291.33,2117.72,2113.05,0.068793468,85.4,0,0.3,1.9,8.9,0.3,0.3,0,0.3,0,0,0,1.3,88.3,11.7,5.1,1.3,51,0,0,146720.2,152756.1
LP08_P19,LP08-1A,82,83,101.9,2151.81,2362.46,2233.22,2245.33,0.077348066,83,0.6,0,1.8,12.1,0.3,0.3,0.3,0.3,0,0,0.3,0.6,85.5,14.5,6.5,0.6,36.3,711.9,1423.9,234938,133843.5
LP08_P20,LP08-1A,90,91,111,2193.69,2605.17,2354.15,2362.98,0.080730612,77.5,0.9,0,2.7,15.6,0.6,0.6,0,0.6,0,0,0.3,0.3,81.4,18.6,9.2,0.3,55.9,821.5,4107.3,274368.2,348299.7
