depth,Si,S,K,Ca,Ti,Mn,Fe,Zn,Br,Rb,Sr,Mo inc,Mo coh
5.95,0.183577606,0.321067919,0.327184048,0.673772037,0.36984503,0.651331569,3.832954361,0.288549208,0.683992348,0,1.179678862,8.075082797,3.771956839
6.2,0.125786661,0.18228219,0.405649793,0.769255111,0.395778489,0.757858109,4.521501221,0.088944601,0.77947143,0.514035159,1.147350878,7.817112219,3.528982831
6.45,0.230487957,0.240736819,0.349782489,0.759159063,0.256911294,0.685618762,4.155761834,0.179434631,0.852078366,0.603177992,1.104652985,7.95403583,3.633717415
6.75,0,0.259213972,0.314814275,0.699157315,0.375636732,0.691911965,3.948229591,0.314814275,0.985354105,0.465503838,1.098223249,8.046078516,3.660565709
7.05,0.186831051,0.292436851,0.373662101,0.613989485,0.331592221,0.640424576,3.611449525,0,0.717538265,0.421923917,1.191185316,8.17628691,3.732181138
7.35,0,0.179295076,0.310548182,0.677136475,0.344144302,0.728880593,4.076123247,0.100755135,0.879325491,0.351441459,1.067877685,8.011564462,3.653213165
7.6,0.144658129,0.220968942,0.351869315,0.644229637,0.359226264,0.695011685,4.099426941,0,0.666841027,0.409154977,1.02714063,8.056063906,3.607763304
7.85,0.199836564,0.225446049,0.313083726,0.706528948,0.452900537,0.707812381,4.148714883,0,0.85317044,0.348739399,1.121579935,7.997208625,3.620949111
8.15,0,0.204732851,0.274041377,0.65279501,0.387553032,0.721423101,4.519799376,0,0.770586456,0.240070547,0.984528754,7.862247954,3.504960233
8.45,0.291308231,0.359598687,0.321006036,0.694907599,0.351069441,0.672747542,4.266684262,0,0.709296446,0.277089398,0.915697775,7.928009384,3.659479851
8.7,0,0.216584623,0.309471058,0.689168051,0.407597453,0.663152266,3.962176784,0,0.765742279,0.618942115,1.018753842,8.070865498,3.630889031
8.95,0.148448471,0.176689022,0.281008421,0.700230038,0.437020466,0.713222427,4.127739588,0,0.87088364,0.482933094,0.995822619,7.968655309,3.678408141
9.2,0,0.275136743,0.354332607,0.722852822,0.381918071,0.660104456,4.172212787,0,0.724128821,0.53149891,1.044600918,7.974799214,3.588887946
9.45,0.255659512,0.230208694,0.285062448,0.659217379,0.436790287,0.705806492,4.283985256,0.297198146,0.873580574,0.681614732,1.046542667,7.871880747,3.615082875
9.75,0,0.217001953,0.29113867,0.633407847,0.34447992,0.652450934,4.093464463,0,0.694406248,0.425235246,0.916560352,8.060914258,3.641755707
10.05,0.19104018,0.232111104,0.282744384,0.611271716,0.325596696,0.681193824,4.009677206,0,0.826440033,0.437231471,1.145482733,8.041969334,3.639804278
10.3,0.11153187,0.233285644,0.289768299,0.64674061,0.343764312,0.91122289,4.283099742,0,0.818639371,0.500341965,1.046261686,7.907070815,3.602626165
10.55,0.18375784,0.300075296,0.344946776,0.730643074,0.479517265,0.708293941,4.249006857,0.17478857,0.733936748,0.337882271,0.988753468,7.991932064,3.549179902
10.85,0.236387744,0.209823758,0.334302754,0.649333276,0.409435583,0.676160612,3.868083492,0.236387744,0.837275063,0.293868526,1.002063706,8.093135891,3.69616143
11.15,0.206256823,0.287097348,0,0.313652819,0.178623649,0.371834776,2.059988409,0,0.664358319,0,1.005171419,8.622330845,4.005778862
11.45,0.176204957,0.289534289,0.1114418,0.12459572,0.12459572,0,1.164820056,0.193022859,0.255345241,0,0.835813498,8.842785671,4.063425369
11.7,0,0.271207773,0.142445301,0.341571832,0.256796918,0.436147879,2.485150052,0,0.758780327,0,0.79310187,8.584767155,3.977005456
11.95,0.151116723,0.227817032,0.305648622,0.588808974,0.295284622,0.592324283,3.553069368,0,0.887024856,0.394590674,0.843846095,8.238665222,3.708032759
12.25,0.174841333,0.296836763,0.293792203,0.58451606,0.308714894,0.665100388,3.721045755,0,0.781914211,0.134097181,0.889500069,8.204402623,3.656945924
12.55,0.163449031,0.266911151,0.298415738,0.676555273,0.348009563,0.683104848,3.99052255,0.24967252,0.763151212,0.350559118,0.974317103,8.085469663,3.595383357
12.85,0.175639049,0.259117937,0.324422235,0.646041674,0.318779679,0.644635705,3.955722418,0,0.799222952,0.550496866,1.039967447,8.061970766,3.676346603
13.1,0.140336035,0.25387744,0.335848285,0.669025797,0.392393754,0.66634432,3.973134618,0,0.854678819,0,0.914389646,8.079771119,3.656824259
13.35,0,0.263222663,0.256202126,0.621726545,0.409567411,0.702936549,3.859365654,0,0.844344849,0.389018743,0.91382749,8.163923628,3.629278937
13.65,0,0.246009898,0.233803361,0.565840017,0.306120457,0.638770538,3.672116594,0,0.691599668,0.275933251,0.993909845,8.208129765,3.72726013
13.95,0.250029302,0.303015503,0.293185345,0.526696087,0.372430374,0.631293043,3.584510363,0,0.673224499,0,0.947970527,8.263269844,3.674399437
14.25,0.141207141,0.285605504,0.301054635,0.754440754,0.294972096,0.608100555,3.62442775,0.153508346,0.86837434,0,0.869417432,8.215206779,3.670644984
14.5,0,0.211740412,0.334790987,0.597017853,0.347925,0.64918381,3.761894837,0,0.799302527,0,0.89458758,8.171232321,3.682396494
14.75,0.22129527,0.22129527,0,0.480056842,0.185925215,0.467901531,2.657169912,0.398042106,0.676778,0.394406942,0.797891443,8.490528293,3.917687388
15,0.249640722,0.325075182,0,0.194767069,0,0.20160307,1.099306866,0.164608217,0.827964606,0,0.961233063,8.79984506,4.05618162
