ID,depth,mean,kcps,MSE,Si,S,K,Ca,Ti,Cr,Mn,Fe,Co,Zn,As,Br,Rb,Sr,Zr,inc,coh,inc_coh,coh_inc,TSN_sum,Subunit ,Group
LP-1C-19,7.6,333.21,23766,1.18,0,0.053934423,0.061373654,2.127620004,0.150644423,0.009299038,1.229332887,10.31449348,0.091130577,0.052074615,0,0.345924231,0,1.575257118,1.606873849,69.37082706,10.68645502,6.491472329,0.154048257,1.249105608,6A-C,Unit 6
LP-1C-20,7.65,335.79,23620,1.24,0.042621796,0.090802958,0.087096714,2.30528325,0.127865389,0.025943702,1.202675908,10.96492041,0.048181161,0,0,0.824639105,0,1.634453236,1.764171747,68.48210811,10.33300595,6.62751076,0.150886213,1.268792175,6A-C,Unit 6
LP-1C-21,7.7,338.37,23565,1.21,0.016540165,0.095565398,0.09005201,2.381783765,0.091889806,0.060647272,1.198243067,11.72146362,0.040431515,0,0,0.650579825,0.23156231,1.40958962,1.503317222,67.54452061,10.16117472,6.647314162,0.150436699,1.286906958,6A-C,Unit 6
LP-1C-22,7.75,340.95,23225,1.33,0,0.028237952,0.116716867,2.387048193,0,0.011295181,1.268825301,10.2371988,0.175075301,0.020707831,0,0.542168675,0,1.55685241,1.615210843,69.23381024,10.79066265,6.416085136,0.155858281,1.249617728,6A-C,Unit 6
LP-1C-23,7.8,343.53,22691,1.13,0.04094525,0.085790048,0.056543441,2.372874747,0.144283263,0.035095929,1.294649821,10.17976915,0,0.128685073,0,0.487443457,0,1.674855717,1.743097801,69.32420839,10.36304789,6.689557855,0.149486711,1.254905799,6A-C,Unit 6
LP-1C-24,7.85,346.11,22467,1.21,0.036925469,0.034982023,0.130210864,2.09309105,0.178797007,0.009717229,0.913419493,10.24973278,0.093285395,0,0,0.651054319,0.157419104,1.809347974,1.436206394,69.43737246,10.62287436,6.536589828,0.15298497,1.249059352,6A-C,Unit 6
LP-1C-25,7.9,348.69,21483,1.21,0.020460358,0.090025575,0.065473146,1.962148338,0.110485934,0.008184143,1.250127877,7.957033248,0,0,0.03887468,0.568797954,0.036828645,1.990792839,1.810741688,71.02608696,11.15703325,6.366037044,0.157083597,1.216794881,6A-C,Unit 6
LP-1C-26,7.95,351.27,21478,1.23,0,0.090712298,0.090712298,1.888465107,0.179362952,0,0.979280487,9.073291413,0.109267086,0.183486239,0,0.663849088,0,1.661684362,1.533862488,70.0670034,10.62983198,6.591543832,0.151709527,1.239205968,6A-C,Unit 6
LP-1C-27,8,353.85,21915,1.19,0.078702022,0.088792025,0.147314041,2.066432579,0.082738023,0.016144005,1.156314324,9.57137668,0.038342011,0.03632401,0,0.637688179,0,1.505428422,1.452960407,69.56047948,11.15147112,6.237785016,0.160313316,1.238973897,6A-C,Unit 6
LP-1C-28,8.05,356.43,22139,1.16,0.081937727,0.091930133,0.071945322,1.984491786,0.041968104,0.047963548,1.07318438,10.73983772,0.123905832,0,0,0.611535233,0.031975698,1.590790999,1.902554059,68.72376993,10.53998961,6.520288206,0.153367454,1.26161061,6A-C,Unit 6
