depth,Si,P,S,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Br,Rb,Sr,Zr,Ba,Mo inc,Mo coh
123,0.436734457,0.038511248,0.096444281,1.16185985,1.100059126,1.046850902,0.375674862,1.078567542,7.989201367,0.425335631,0.3366843,0.216151332,0.893100416,1.053514688,0.929851769,0.264881992,4.418668739,2.348906525
123.1,0.446351048,0.020344824,0.099690944,1.168088959,1.122543991,1.072275579,0.381654317,1.121254799,8.135645904,0.4235272,0.350439128,0.049834437,0.870308044,1.007933617,0.873855192,0.317378802,4.224495563,2.262141432
123.2,0.482310449,0.042399737,0.136587195,1.173537994,1.090810488,1.104844916,0.377041735,1.111066783,8.111253869,0.412723769,0.278039756,0.219421632,0.882183302,1.041332785,0.849511997,0.308698359,4.275837031,2.256913949
123.3,0.477035283,0.088364469,0.114011859,1.197278482,1.076132185,1.126054429,0.368393531,1.13630309,8.129603297,0.403329037,0.203469277,0.295242232,0.891502644,1.042883065,0.815281307,0.290596306,4.262143156,2.248502912
123.4,0.44611469,0.085407025,0.036900252,1.188847982,1.056211504,1.106286451,0.369689612,1.138624638,8.135644064,0.404305012,0.363178824,0.121052628,0.908247617,1.020497642,0.838548257,0.337899771,4.217517581,2.229950962
123.5,0.485555363,0.102605002,0.088708004,1.206246692,1.058074496,1.084189835,0.388687867,1.189529481,8.183395928,0.431977112,0.305018283,0.275839973,0.850969807,1.0117111,0.822203991,0.31296237,4.138137049,2.201514673
123.6,0.536563477,0.020909915,0.059083607,1.260480228,1.093026924,1.175687494,0.414112575,1.205919612,8.256064525,0.392798681,0.312087298,0.280549847,0.832585234,0.994519753,0.808720533,0.310367692,4.016185459,2.11868851
123.7,0.535045766,0,0.024162768,1.226291171,1.10208997,1.178669838,0.388612368,1.144752944,8.224095491,0.394601045,0.35487443,0.196486724,0.853053162,1.017163202,0.814004278,0.299182337,4.052525219,2.171938913
123.8,0.523909122,0,0.05959846,1.20371737,1.127642525,1.192908113,0.403231567,1.150582167,8.227253111,0.356583711,0.311703973,0.19712768,0.849624511,1.038266279,0.821943753,0.347305832,4.054769039,2.163019516
123.9,0.527661466,0.063526966,0.157546279,1.187088038,1.089759162,1.177504797,0.390045664,1.141971978,8.271326206,0.414713906,0.326652861,0,0.831539417,1.065519796,0.815087583,0.341113647,3.977737598,2.159560358
124,0.576735574,0.03136384,0.067535596,1.218388862,1.131483231,1.259130615,0.392256914,1.12322299,8.24240253,0.401994606,0.168385431,0.200846671,0.811867673,1.080455273,0.850169751,0.325075724,3.97381431,2.163985903
