ID,depth,mean,kcps,MSE,S,K,Ca,Ti,Mn,Fe,Co,Zn,As,Br,Rb,Sr,Zr,Mo_inc,Mo_coh,inc_coh,coh_inc,TSN_sum,Subunit ,Group
PAT1A_2mm_1,6.2,110.65,20297.4,1.456,0.0717399,0.11028,0.468071,0.121111,0.424487,15.2994,0.0921274,0.0522747,0.143355,0.597263,0.197734,1.32561,1.74607,64.9167,13.7703,4.7253,0.211844,1.27417,6C,Unit 6
PAT1A_2mm_6,7.6,148.49,22903.8,1.45,0.051847,0.106599,0.435171,0.14255,0.48918,16.8206,0.208566,0.00203032,0.109709,0.610891,0.129638,1.16831,1.67682,64.3415,13.1374,4.90093,0.204117,1.29165,6C,Unit 6
PAT1A_2mm_11,9,186.34,20906.6,1.338,0.0672271,0.096919,0.481051,0.163404,0.466989,17.3403,0.186595,0.0176653,0.0250181,0.627081,0.288036,1.01089,1.78616,63.4111,13.211,4.80132,0.208393,1.30536,6C,Unit 6
PAT1A_2mm_16,10.3,223.2,23400,1.346,0.0578918,0.0958837,0.429721,0.148086,0.535784,16.839,0.169296,0.017286,0.135001,0.615013,0.164572,1.04573,1.65853,64.3086,13.1496,4.89263,0.204468,1.29139,6C,Unit 6
PAT1A_2mm_21,11.7,269.03,17457.1,1.31,0.0759643,0.042489,0.183786,0.0591746,0.224339,7.64936,0.0906422,0.00745156,0.0915251,0.496105,0.0347368,0.76825,2.11017,72.2851,15.0994,4.79969,0.20857,1.14877,6C,Unit 6
PAT1A_2mm_26,13.1,314.85,21993.8,1.336,0.0665289,0.0854799,0.405882,0.127632,0.44567,15.1474,0.177985,0.0124673,0.130146,0.628572,0.130683,0.937974,1.73239,65.9352,13.3758,4.93158,0.202869,1.2611,6C,Unit 6
PAT1A_2mm_31,14.5,360.68,18097.6,1.47,0.0745737,0.0577353,0.294282,0.0762666,0.289866,9.68121,0.0674343,0.0418196,0.107128,0.597949,0.0311114,0.803084,2.16192,70.4133,14.4672,4.8788,0.205166,1.1823,6C,Unit 6
PAT1A_2mm_36,15.8,403.23,19268.2,1.326,0.068037,0.0557479,0.319999,0.0828293,0.296075,9.3903,0.0678094,0,0.170579,0.454521,0.127242,0.787689,2.1212,70.8202,14.6749,4.82687,0.207234,1.17094,6C,Unit 6
PAT1A_2mm_41,17.2,449.06,19350.6,1.292,0.0571397,0.0422518,0.166377,0.0731985,0.247714,7.51575,0.0895014,0.0215687,0.0878671,0.47869,0.126733,0.875326,2.22289,72.5237,14.822,4.89696,0.204285,1.14591,6C,Unit 6
PAT1A_2mm_46,18.6,494.89,19095.3,1.33,0.0605652,0.0283013,0.16938,0.0446878,0.249596,6.93095,0.0831201,0,0.111858,0.400872,0.0306085,0.858762,2.06214,73.3589,15.0223,4.88579,0.204756,1.13202,6C,Unit 6
PAT1A_2mm_51,20,540.72,20124.8,1.36,0.0682666,0.048224,0.272162,0.0779163,0.331119,9.35432,0.110287,0.0341279,0.0820162,0.468674,0.0188534,0.7511,2.03942,71.2832,14.3068,4.98673,0.200686,1.16889,6C,Unit 6
PAT1A_2mm_56,21.3,587.05,19385.8,1.354,0.0704536,0.0584074,0.258876,0.0894854,0.266965,8.57906,0.123266,0.0228668,0.130866,0.519757,0.0434116,0.927215,2.05476,71.2582,14.8643,4.7939,0.208671,1.16145,6C,Unit 6
PAT1A_2mm_61,22.7,636.96,20256.9,1.374,0.0648611,0.0814979,0.351998,0.137323,0.413277,11.3818,0.103878,0.0177138,0.264017,0.474167,0.169643,1.04066,2.00773,68.777,13.9942,4.91516,0.203483,1.20823,6C,Unit 6
PAT1A_2mm_66,24.1,686.86,20650.5,1.316,0.0683309,0.107396,0.400612,0.132434,0.469773,11.7657,0.128317,0.0115392,0.113306,0.537859,0.177848,1.00243,2.00975,68.4929,14.1064,4.85536,0.205999,1.21099,6C,Unit 6
PAT1A_2mm_71,25.5,736.76,20952.6,1.28,0.0596102,0.0962059,0.47004,0.155095,0.497759,13.118,0.152965,0.0188862,0.0296378,0.518045,0.167994,1.00623,1.98229,67.1489,13.9235,4.82479,0.207333,1.23363,6C,Unit 6
PAT1A_2mm_76,26.8,783.1,20767.3,1.378,0.0723052,0.109812,0.441287,0.14272,0.485517,12.6718,0.0919269,0.045653,0.0251551,0.557079,0.132552,1.11925,1.89682,67.5606,13.9192,4.85679,0.206013,1.2274,6C,Unit 6
