ID,depth,mean_age,kcps,MSE,S,K,Ca,Ti,Mn,Fe,Co,Cu,Zn,As,Br,Rb,Sr,Zr,inc,coh,inc_coh,coh_inc,TSN_sum,Subunit ,Group
PAT1A_2mm_105,33.9,1067.43,21738.7,1.27,0.0760415,0.155704,0.764036,0.191914,0.726015,16.7961,0.124925,0,0.0362102,0.110441,0.639111,0.123115,1.32711,1.90466,63.2176,12.9922,4.8658,0.205515938,1.31217,6B,Unit 6
PAT1A_2mm_106,34.1,1075.03,20816.5,1.34,0.0821112,0.171861,0.693171,0.187137,0.546135,15.1027,0.332264,0,0,0.345631,0.635885,0.091659,1.89047,1.83891,64.0047,13.3631,4.78965,0.20878334,1.29253,6B,Unit 6
PAT1A_2mm_107,34.3,1082.63,20119.4,1.28,0.0811158,0.116728,0.573746,0.166189,0.447126,14.4386,0.130577,0,0,0.0989218,0.528242,0.39173,1.37699,2.21585,64.9876,13.4929,4.81642,0.207622991,1.2742,6B,Unit 6
PAT1A_2mm_108,34.5,1090.23,19239.2,1.39,0.0544229,0.100473,0.52539,0.136057,0.418638,12.9506,0.0837276,0,0,0.115125,0.47934,0.0418638,1.70804,1.74153,66.7937,14.2735,4.67957,0.213694767,1.23355,6B,Unit 6
PAT1A_2mm_109,34.7,1097.84,20539.8,1.28,0.0840416,0.126062,0.765925,0.158533,0.552001,15.3414,0.0897718,0,0,0,0.553911,0.0248305,1.66173,2.01318,63.9882,13.6434,4.69005,0.213217516,1.28814,6B,Unit 6
PAT1A_2mm_110,34.9,1105.44,22135.7,1.38,0.0565641,0.123734,0.710586,0.272215,0.680537,18.0475,0.249236,0,0,0.0494936,0.576247,0.295194,1.56082,1.81359,61.7821,13.1865,4.68525,0.213435569,1.33389,6B,Unit 6
PAT1A_2mm_111,35.1,1113.04,21203.4,1.22,0.0536262,0.170125,0.747069,0.179371,0.536262,15.8382,0.103554,0.055475424,0,0.0961574,0.595436,0.386479,1.51818,1.96013,63.4713,13.2753,4.78117,0.209153945,1.30299,6B,Unit 6
PAT1A_2mm_112,35.3,1120.64,20627.2,1.3,0.0591761,0.137441,0.586034,0.124079,0.574581,16.3173,0.0496316,0,0,0,0.381781,0.0725385,1.68747,2.13988,63.4883,13.6124,4.664,0.21440813,1.297,6B,Unit 6
PAT1A_2mm_113,35.5,1128.24,19861.5,1.43,0.0876983,0.125568,0.508252,0.129554,0.426533,13.3939,0.269074,0,0,0.041856,0.444471,0.117595,1.66826,2.02304,66.0926,14.0855,4.69223,0.213118215,1.24722,6B,Unit 6
PAT1A_2mm_114,35.7,1135.84,21388,1.26,0.0677718,0.225295,0.670391,0.133712,0.580639,16.7433,0.19782,0,0.0201484,0.0842568,0.633758,0.1099,1.67964,1.9782,62.4966,13.6954,4.56333,0.219138335,1.31247,6B,Unit 6
