ID,depth,mean_age,kcps,MSE,S,K,Ca,Ti,Mn,Fe,Co,Cu,Zn,As,Br,Rb,Sr,Zr,inc,coh,inc_coh,coh_inc,TSN_sum,Subunit ,Group
PAT1A_2mm_28,13.1,320.94,22308,1.33,0.0644538,0.112794,0.447596,0.153973,0.444015,15.7858,0.153973,0,0,0.295413,0.730476,0,0.836108,1.60597,65.2827,13.3724,4.88191,0.204837781,1.27137,6C,Unit 6
PAT1A_2mm_29,13.35,328.96,22276.3,1.29,0.0692862,0.0656395,0.386544,0.167745,0.49412,14.8947,0.113046,0,0,0,0.712918,0.151336,0.835081,1.72304,66.6496,13.1717,5.06008,0.197625431,1.2528,6C,Unit 6
PAT1A_2mm_30,13.65,338.59,20737.6,1.28,0.0605209,0.054664,0.320175,0.0937097,0.408028,13.4844,0.0878529,0.017570575,0,0.355316,0.47831,0.0761392,0.987857,1.7922,67.3734,13.8925,4.84963,0.206201101,1.23053,6C,Unit 6
PAT1A_2mm_31,13.95,348.22,20793.6,1.38,0.0918184,0.0859576,0.277409,0.138704,0.398531,12.8487,0,0,0,0.378995,0.453231,0,0.898648,2.04149,68.2816,13.5012,5.05744,0.197728313,1.22275,6C,Unit 6
PAT1A_2mm_32,14.25,357.85,22194.8,1.5,0.0815705,0.0906339,0.569181,0.0870085,0.369786,13.1365,0.224772,0,0.0235648,0,0.754074,0,0.755887,2.10814,67.4896,13.4736,5.00901,0.199640095,1.23513,6C,Unit 6
PAT1A_2mm_33,14.5,365.87,17854.9,1.93,0.044834,0.112085,0.35643,0.121052,0.42144,14.1519,0.100877,0.136743706,0,0.13226,0.638885,0,0.800287,2.02201,66.769,13.56,4.92395,0.203088803,1.24488,6C,Unit 6
PAT1A_2mm_34,14.75,373.9,14242.9,1.35,0.0489716,0,0.230455,0.0345682,0.218932,7.06055,0.0115227,0.123869332,0.158438,0,0.458028,0.155557,0.636631,2.44858,72.0891,15.3483,4.69688,0.212907093,1.14368,6C,Unit 6
PAT1A_2mm_35,15,381.92,15401.8,1.19,0.105674,0,0.0379342,0,0.0406438,1.20848,0,0,0.0270959,0.0243863,0.685525,0,0.923969,2.18935,77.4373,16.4526,4.70669,0.212463697,1.06508,6C,Unit 6
PAT1A_2mm_36,15.25,389.94,15867.7,1.42,0.0729984,0,0.091248,0.031285,0.0756055,3.63428,0.0364992,0,0,0.401491,0.34935,0.221602,0.735198,2.45066,75.5977,15.5695,4.85549,0.20595234,1.09689,6C,Unit 6
PAT1A_2mm_37,15.5,397.97,20122.2,1.14,0.0401139,0.0581652,0.375065,0.118336,0.411168,12.2528,0.120342,0,0,0.126359,0.361025,0,0.597697,1.91945,69.2808,13.9677,4.96008,0.201609635,1.20122,6C,Unit 6
PAT1A_2mm_38,15.75,405.99,20068.7,1.35,0.0938354,0.0693566,0.273347,0.106075,0.265187,10.3443,0.0734364,0,0,0.0469177,0.558933,0.0489576,0.646648,2.01542,70.2787,14.6893,4.78434,0.209015442,1.17691,6C,Unit 6
PAT1A_2mm_39,16,414.01,19724.7,1.46,0.0556254,0.0576856,0.486207,0.0947692,0.352294,10.5111,0.0968294,0.045324378,0,0.278127,0.41822,0.0432642,0.838501,1.91599,69.8655,14.4832,4.8239,0.20730125,1.18556,6C,Unit 6
PAT1A_2mm_40,16.3,423.64,20557.6,1.26,0.0776119,0.0935323,0.374129,0.0636816,0.376119,10.209,0.0119403,0,0,0,0.585075,0.322388,1.1204,2.30448,69.0786,14.6647,4.71054,0.212289698,1.19413,6C,Unit 6
PAT1A_2mm_41,16.65,434.88,19860.5,1.23,0.0636838,0.0739554,0.265007,0.125313,0.386211,9.68815,0.164345,0.024651793,0.0143802,0,0.460167,0.168454,0.922388,2.32549,70.4836,14.1255,4.98982,0.200408044,1.18191,6C,Unit 6
PAT1A_2mm_42,16.95,444.5,18253,1.13,0.054969,0.0412267,0.0618401,0.073292,0.0916149,4.59907,0,0.025194109,0.0320652,0.142003,0.485559,0,0.870342,2.27205,75.2892,15.4783,4.86416,0.205585301,1.10172,6C,Unit 6
PAT1A_2mm_43,17.2,452.53,19142.2,1.2,0.0263135,0.0306991,0.103061,0.0701693,0.186387,5.39207,0,0,0.0613981,0.151303,0.467064,0.0372774,0.785019,2.10069,74.5351,15.7618,4.72885,0.211467741,1.10746,6C,Unit 6
PAT1A_2mm_44,17.45,460.55,20065.1,1.36,0.0744886,0.0140924,0.239572,0.0523434,0.285875,8.64672,0.0865679,0,0,0.0926075,0.454985,0.303994,0.875745,2.30713,71.3017,14.4508,4.9341,0.202671034,1.16615,6C,Unit 6
PAT1A_2mm_45,17.75,470.18,19432.1,1.54,0.0662436,0.0512853,0.162404,0.0448747,0.28848,9.25273,0.196594,0,0,0.0534222,0.525675,0.12394,0.923136,2.10911,71.0088,14.2937,4.96786,0.201294011,1.1723,6C,Unit 6
PAT1A_2mm_46,18.05,479.81,19764.5,1.48,0.0925634,0.0610077,0.126223,0.0715262,0.241927,7.19259,0.122015,0,0,0.300831,0.302935,0,0.904597,1.86389,73.0662,15.0016,4.87057,0.205314983,1.13549,6C,Unit 6
PAT1A_2mm_47,18.35,489.44,19047.8,1.3,0.0442077,0.0110519,0.201145,0,0.278508,6.86766,0.0773635,0.050838841,0,0.0464181,0.411131,0,0.760372,1.93851,73.3803,15.3909,4.76777,0.209741551,1.12649,6C,Unit 6
PAT1A_2mm_48,18.6,497.46,18789.2,1.23,0.040328,0.020164,0.123224,0.020164,0.159072,4.38231,0.0828964,0,0,0,0.528745,0,1.39132,2.34575,75.2722,15.0804,4.99138,0.200345269,1.10677,6C,Unit 6
PAT1A_2mm_49,18.85,505.48,17047.7,1.24,0.0680189,0.019434,0.111745,0.0242925,0.172477,5.57998,0,0,0,0.182194,0.315802,0.153043,0.54901,2.36366,74.3714,15.5083,4.79558,0.208525233,1.1126,6C,Unit 6
PAT1A_2mm_50,19.15,515.11,20827.4,1.4,0.057708,0.029849,0.28456,0.107456,0.395996,10.6322,0.133325,0,0,0.029849,0.445745,0,0.688516,1.7989,70.7042,14.1305,5.00366,0.199853649,1.17876,6C,Unit 6
PAT1A_2mm_51,19.45,524.74,21238.5,1.34,0.0578894,0.059819,0.304884,0.131216,0.362773,11.9484,0.194894,0,0,0.295236,0.602049,0,0.779577,2.21716,68.6587,13.6407,5.03339,0.198673449,1.21508,6C,Unit 6
PAT1A_2mm_52,19.75,534.37,21460.5,1.45,0.0622217,0.0583328,0.276109,0.0855548,0.361664,10.3191,0.208054,0,0,0,0.480274,0,0.62805,1.99887,71.0086,14.0349,5.05943,0.197650538,1.17587,6C,Unit 6
PAT1A_2mm_53,20,542.39,19488.5,1.26,0.0852459,0.0218579,0.266667,0.0393443,0.314754,8.70164,0,0,0.0699454,0,0.31694,0,0.46776,1.94317,72.4678,14.5989,4.96392,0.201453822,1.14855,6C,Unit 6
PAT1A_2mm_54,20.25,551.81,19187.1,1.24,0.0888427,0.0368372,0.288197,0.0563392,0.325034,8.15836,0.0585061,0,0,0.114845,0.507053,0,0.676071,2.22757,72.4068,14.0891,5.13919,0.194583271,1.15612,6C,Unit 6
PAT1A_2mm_55,20.5,561.23,19249.5,1.51,0.0471334,0.0642729,0.224955,0.0771274,0.29137,7.64419,0.089982,0,0.100694,0,0.437055,0.0942669,1.20404,1.81035,71.8742,15.1705,4.73775,0.211070705,1.14883,6C,Unit 6
PAT1A_2mm_56,20.75,570.65,19357.5,1.24,0.0593371,0.0487412,0.296686,0.12927,0.298805,9.15699,0.158939,0,0,0.0360261,0.421717,0,0.879461,2.08104,71.1431,14.7368,4.82758,0.20714307,1.16442,6C,Unit 6
PAT1A_2mm_57,21,580.08,19682.3,1.42,0.0894287,0.101907,0.232931,0.0998274,0.212133,8.06314,0.087349,0.058232639,0,0.201735,0.561529,0.0603124,0.917164,2.09014,71.597,14.945,4.7907,0.208737582,1.15551,6C,Unit 6
PAT1A_2mm_58,21.25,589.5,18560.2,1.45,0.0625908,0.0469431,0.192243,0.0178831,0.167654,6.25461,0.181066,0,0,0,0.585671,0,1.29652,2.07891,73.3676,14.881,4.9303,0.202827458,1.13316,6C,Unit 6
PAT1A_2mm_59,21.5,598.92,19403.6,1.35,0.0861779,0.0336304,0.252228,0.107197,0.269043,8.56104,0.0126114,0,0.0798722,0.313183,0.514966,0.13242,0.748276,1.81814,71.1787,14.9361,4.76555,0.209839357,1.16124,6C,Unit 6
PAT1A_2mm_60,21.8,610.22,19925.5,1.31,0.0547334,0.0608149,0.320292,0.0932495,0.387188,10.8595,0.176363,0,0.0344618,0.103385,0.5149,0.024326,0.794648,2.20555,69.0047,14.8226,4.65536,0.21480611,1.19293,6C,Unit 6
PAT1A_2mm_61,22.15,623.41,19879.4,1.55,0.0653755,0.0408597,0.316663,0.128708,0.43107,10.55,0.0694615,0.030644766,0,0.373866,0.312577,0.312577,1.11547,2.14922,69.345,14.2396,4.86987,0.205344254,1.19639,6C,Unit 6
PAT1A_2mm_62,22.45,634.72,20239.5,1.4,0.0766886,0.11405,0.385409,0.116016,0.436535,12.7047,0.0806214,0.015731,0,0.237931,0.656769,0.125848,1.10117,1.75991,67.5725,13.977,4.83455,0.206844372,1.22625,6C,Unit 6
