Code,depth,mean,kcps,MSE,Si,P,S,K,Ca,Ti,Cr,Mn,Fe,Ni,Cu,Zn,As,Br,Rb,Sr,Zr,Ba,inc,coh,coh_inc,inc_coh,TSN_ sum,Subunit ,Group
LP-1C-1,6.7,254.2,23330,1.335,0.0391042,0.0145528,0.0845813,0.109233,2.2887,0.190896,0.0191514,1.87958,16.5843,0.327546,0.303304,0.0446405,0.023148779,0.636053,0.0775746,1.44884,1.29299,0.00182076,63.157,9.64448,0.152711,6.54901,1.37376,6A-C,Unit 6
LP-1C-5,6.9,263.37,23195.4,1.245,0.0432005,0.0123812,0.0875352,0.0656802,1.92651,0.111145,0.0404204,1.89081,13.1961,0.309436,0.192917,0.025449,0,0.619696,0.0329262,1.31152,1.48945,0.00811513,66.582,10.1279,0.152148,6.57449,1.30431,6A-C,Unit 6
LP-1C-9,7.1,272.55,22592.9,1.2425,0.038985,0.0182134,0.0817583,0.076809,1.79525,0.117101,0.00490533,1.1196,9.73578,0.289111,0.135366,0.0307749,0,0.677808,0.0199429,1.38371,1.41762,0.00431978,70.5514,10.6266,0.150619,6.6436,1.23201,6A-C,Unit 6
LP-1C-13,7.3,281.73,22120,1.255,0.0584252,0.0278664,0.0856386,0.081272,1.8418,0.172476,0.0352681,0.751722,8.28989,0.331313,0.218111,0.0469986,0,0.515502,0.0562154,1.60177,1.60903,0,71.6358,10.8621,0.151659,6.5964,1.21234,6A-C,Unit 6
LP-1C-17,7.5,290.9,23485.8,1.18,0.0293178,0.00888396,0.061574,0.0804023,2.0443,0.145857,0.00881069,1.12398,9.83791,0.372869,0.201595,0.0404938,0,0.606036,0.022738,1.64452,1.64722,0,69.6203,10.7318,0.154136,6.48976,1.24475,6A-C,Unit 6
LP-1C-21,7.7,300.08,22987.2,1.22,0.0236027,0.0215487,0.0611439,0.0983808,2.3087,0.103743,0.0291889,1.16878,10.597,0.321013,0.252504,0.0373482,0.009494161,0.582812,0.0972454,1.61266,1.57446,0.0028238,68.885,10.4844,0.152192,6.57239,1.26012,6A-C,Unit 6
LP-1C-25,7.9,309.25,21753.8,1.1975,0.045275,0.0191057,0.090365,0.0938612,1.97538,0.103639,0.0180729,1.11473,9.33538,0.33718,0.302451,0.0549526,0,0.620468,0.0172011,1.68717,1.67503,0.00449658,69.8443,10.8696,0.155618,6.42891,1.23915,6A-C,Unit 6
LP-1C-29,8.1,318.43,22285.3,1.2175,0.0377147,0.00637676,0.0901089,0.0840016,2.397,0.135866,0.0385477,0.954373,11.2386,0.322739,0.344826,0.02856,0.042362654,0.457364,0.0564671,1.7709,1.63837,0.0184285,67.6322,10.5701,0.156339,6.40433,1.27899,6A-C,Unit 6
LP-1C-33,8.3,327.6,21439.1,1.225,0.0714118,0.0331649,0.0926685,0.120001,2.84177,0.154684,0.0514256,1.36645,15.1524,0.320678,0.173218,0.00622704,0.009077064,0.517582,0.0791986,2.02962,1.53671,0.0122653,63.3104,10.2915,0.162557,6.158,1.35882,6A-C,Unit 6
LP-1C-37,8.5,336.78,21673,1.1725,0.0849746,0.0261087,0.0840369,0.156451,2.728,0.174111,0.0220735,1.25251,15.2107,0.260595,0.149314,0,0,0.551451,0.302399,2.83559,1.47358,0.01429,61.9377,10.6696,0.172271,5.80511,1.37745,6A-C,Unit 6
LP-1C-41,8.7,345.96,21666.4,1.255,0.0855285,0.0340118,0.0804796,0.152948,2.72281,0.261054,0.0182773,1.35431,16.0537,0.316141,0.189826,0.00345597,0.059475615,0.547595,0.165106,2.89476,1.37062,0,61.2409,10.5903,0.172915,5.78367,1.39381,6A-C,Unit 6
LP-1C-45,8.9,355.13,21120.6,1.29,0.09777,0.0143476,0.0636378,0.176658,2.95219,0.356707,0.0261503,1.00541,15.415,0.35514,0.172837,0.0335158,0,0.506905,0.076696,2.66874,1.5114,0.00202943,61.8873,10.5841,0.171016,5.84841,1.37991,6A-C,Unit 6
LP-1C-49,9.1,364.31,20721,1.265,0.107961,0.022846,0.0636789,0.215436,3.00299,0.381817,0.0407918,1.13948,16.7918,0.318412,0.192818,0,0.025069945,0.380561,0.128288,2.78813,1.60588,0.0217708,60.052,10.5999,0.176515,5.66864,1.41544,6A-C,Unit 6
LP-1C-53,9.3,373.48,20977.2,1.2575,0.104834,0.0240061,0.0734327,0.26445,3.2051,0.335161,0.0464928,0.928171,18.1479,0.28252,0.162796,0.0364103,0,0.426,0.146039,3.34765,1.48492,0.0245567,58.8052,10.4533,0.177759,5.62878,1.44454,6A-C,Unit 6
LP-1C-57,9.5,382.66,20796.8,1.205,0.0781471,0.0127993,0.0570288,0.191555,2.89207,0.289929,0.0280973,1.07722,18.7368,0.360641,0.205325,0.0127506,0.044317729,0.329792,0.125265,3.27343,1.50227,0.0140301,58.335,10.52,0.180335,5.54685,1.4529,6A-C,Unit 6
LP-1C-61,9.7,391.84,20682.7,1.225,0.117481,0.0194941,0.055887,0.209295,2.93069,0.318359,0.0542596,1.03903,18.2444,0.323445,0.199708,0.012511,0.017900384,0.468987,0.11125,3.25942,1.41705,0.0143544,58.8621,10.3476,0.175813,5.68846,1.44506,6A-C,Unit 6
LP-1C-65,9.9,401.01,20467,1.245,0.121586,0.0167538,0.0572208,0.266249,2.96638,0.317853,0.0418076,0.758236,18.3528,0.264991,0.188354,0.0127599,0.036390799,0.284912,0.125968,3.13698,1.38681,0.0273006,59.5602,10.3019,0.173001,5.78197,1.43205,6A-C,Unit 6
LP-1C-69,10.1,410.19,20788.6,1.2175,0.113086,0.00576974,0.0585981,0.244707,2.90951,0.266465,0.0347565,0.803702,19.2825,0.260115,0.128317,0.0476183,0.010246761,0.208415,0.0974166,2.92153,1.50872,0.0467137,59.3649,9.94016,0.167493,5.97565,1.44298,6A-C,Unit 6
LP-1C-73,10.3,419.36,21454,1.2475,0.131483,0.0170841,0.0704884,0.210764,3.08784,0.41093,0.0444199,0.829785,21.3821,0.29647,0.175927,0.0147926,0,0.479617,0.0913012,2.56217,1.3742,0.0374422,57.4762,9.59633,0.166973,5.98949,1.4916,6A-C,Unit 6
LP-1C-77,10.5,428.54,18120.4,1.22,0.138927,0.0276363,0.0725044,0.221098,3.19415,0.464875,0.0166767,0.639892,23.3937,0.266881,0.197927,0,0.028047314,0.309973,0.0470525,3.03524,1.44722,0.0263927,54.4722,10.1466,0.186359,5.37,1.54784,6A-C,Unit 6
LP-1C-81,10.7,437.71,18106.8,1.19,0.137229,0.0378462,0.0304963,0.196448,3.08116,0.420418,0.0181868,0.645864,23.706,0.265159,0.166762,0.107205,0.014515739,0.356757,0.132673,3.82586,1.45343,0.0155679,53.3003,10.1637,0.190818,5.24765,1.57613,6A-C,Unit 6
LP-1C-85,10.9,446.89,16617,1.235,0.164034,0.0122887,0.0563927,0.419628,3.33709,0.482275,0.0444255,0.883888,22.3295,0.263527,0.158263,0.0414761,0.007371495,0.352321,0.166369,3.90597,1.59536,0.0353687,53.2252,10.4667,0.196706,5.08545,1.57163,6A-C,Unit 6
LP-1C-89,11.1,459.63,17339.1,1.225,0.194984,0.0246492,0.0542014,0.475099,3.73273,0.517347,0.0327451,1.00427,25.359,0.301321,0.167045,0.0530985,0,0.280603,0.142336,3.87735,1.46711,0.0473251,50.501,9.90371,0.196079,5.10183,1.65585,6A-C,Unit 6
LP-1C-93,11.3,475.93,17056.3,1.335,0.13741,0.015698,0.0699911,0.31999,3.63492,0.443077,0.0459532,0.94148,28.0425,0.255383,0.16708,0.020302,0,0.375317,0.208542,3.95254,1.56224,0.0346156,47.9419,9.66633,0.201581,4.96236,1.73658,6A-C,Unit 6
LP-1C-97,11.5,492.23,16715.4,1.265,0.1341,0.00419577,0.0522964,0.3994,3.90601,0.503093,0.0452679,0.986816,29.7756,0.171393,0.216878,0.0136363,0,0.23751,0.178516,4.749,1.67561,0.0478975,45.3978,9.6752,0.213137,4.70054,1.81607,6A-C,Unit 6
LP-1C-101,11.7,508.53,15861.3,1.26,0.200405,0.0165866,0.0348933,0.618029,4.35711,0.699164,0.0683758,0.890775,26.2404,0.216939,0.129649,0.0194611,0.042787644,0.251253,0.283279,6.06029,1.66915,0.0849597,45.4966,10.3557,0.227709,4.39431,1.79154,6A-C,Unit 6
LP-1C-105,11.9,524.83,15371.1,1.28,0.340428,0.00421951,0.0384933,1.02783,4.98513,0.777895,0.0400344,0.710201,27.0463,0.227008,0.0530024,0.103966,0,0.202721,0.563921,7.12949,1.59063,0.111213,42.4689,10.5683,0.249128,4.02114,1.88817,6A-C,Unit 6
LP-1C-109,12.1,541.12,15357.5,1.285,0.407183,0.0190065,0.0421097,1.15467,5.4801,1.0613,0.0617588,0.727587,28.2683,0.225751,0.0853761,0.0424756,0,0.11491,0.489465,7.45441,1.70498,0.113446,39.7614,10.4481,0.262656,3.81229,1.99259,6A-C,Unit 6
LP-1C-113,12.3,557.42,16347.3,1.295,0.389595,0.00313643,0.0217966,1.00674,5.55709,0.914269,0.0524766,0.860947,29.2182,0.251589,0.0869604,0.0204688,0,0.163318,0.366906,7.47812,1.76642,0.0950001,39.5685,10.2123,0.258118,3.87467,2.00969,6A-C,Unit 6
LP-1C-117,12.5,573.72,18063.9,1.33,0.281461,0.0191463,0.0594288,0.722091,4.97277,0.781403,0.0512054,1.34548,30.6399,0.204543,0.0462181,0.042257,0,0.215378,0.321261,6.44141,1.44546,0.0474761,40.6959,9.54881,0.234757,4.26143,1.9957,6A-C,Unit 6
LP-1C-121,12.7,590.02,18650.8,1.31,0.247435,0.0242826,0.0553713,0.648852,4.45845,0.626146,0.0670085,1.12248,25.8449,0.2663,0.0843585,0.0134616,0.086381236,0.312015,0.293452,5.72388,1.52686,0.0317453,46.41,9.95972,0.214813,4.66357,1.77601,6A-C,Unit 6
LP-1C-125,12.9,606.32,17620.9,1.24,0.135626,0.0125417,0.0503643,0.325554,3.52848,0.528953,0.0479703,0.855514,24.1764,0.268587,0.179079,0.0109535,0.004844805,0.354771,0.183986,4.19478,1.33656,0.01709,51.4538,10.3148,0.200597,4.98764,1.62308,6A-C,Unit 6
LP-1C-129,13.1,622.62,16842.8,1.1975,0.229152,0.0170875,0.0569328,0.537679,4.42167,0.545655,0.0526644,1.04085,29.2364,0.23515,0.0854237,0.0133073,0.079923101,0.300412,0.176391,4.92949,1.25165,0.049099,45.6026,9.3562,0.205148,4.87903,1.82231,6A-C,Unit 6
LP-1C-133,13.3,638.92,17055.1,1.27,0.213951,0.0125196,0.0425092,0.510824,4.11929,0.762271,0.0496643,1.15009,25.6915,0.205749,0.123354,0.020359,0.032119157,0.169257,0.225661,4.80413,1.42992,0.0149798,48.7941,9.77495,0.200646,4.98912,1.71174,6A-C,Unit 6
LP-1C-137,13.5,655.22,18458.2,1.2025,0.119424,0.011912,0.0506345,0.252849,3.5388,0.456836,0.0428646,0.828157,27.3458,0.228047,0.10715,0.0315101,0.025889043,0.294689,0.0805008,3.9956,1.34509,0.0100906,49.9529,9.3788,0.187648,5.33309,1.69062,6A-C,Unit 6
LP-1C-141,13.7,671.52,20354.5,1.29,0.0894203,0.0126999,0.0440311,0.20026,3.59497,0.492414,0.0510402,0.853414,31.718,0.240389,0.172092,0.00569217,0.018477374,0.345577,0.121736,3.2713,1.16822,0.0165323,47.1227,8.90592,0.189008,5.29416,1.7849,6A-C,Unit 6
LP-1C-145,13.9,687.82,19186.2,1.22,0.121008,0.0101217,0.0707909,0.234171,3.55329,0.545403,0.0474608,0.634664,28.3286,0.269435,0.12698,0.00189538,0,0.295378,0.11917,3.6636,1.2797,0.0189088,49.6035,9.28759,0.187145,5.34609,1.69966,6A-C,Unit 6
LP-1C-149,14.1,704.12,18705.7,1.2425,0.119911,0.00771597,0.0408611,0.152018,3.22119,0.584918,0.0285059,0.635376,28.2973,0.236414,0.172932,0.0131664,0.048507647,0.367976,0.176986,3.70588,1.33607,0.00479308,49.3824,9.65966,0.195574,5.11793,1.69492,6A-C,Unit 6
LP-1C-153,14.3,720.42,18490.9,1.245,0.0845707,0.0196505,0.064346,0.159088,3.28378,0.541389,0.0326756,0.825358,27.1488,0.236825,0.130641,0,0.046242092,0.417071,0.168073,3.25337,1.35414,0.00616333,50.6949,9.6098,0.189582,5.2786,1.65942,6A-C,Unit 6
LP-1C-157,14.5,736.72,18508,1.29,0.104253,0.0224372,0.0478511,0.146443,3.41777,0.596309,0.049036,0.602517,31.2746,0.277647,0.153421,0,0,0.257263,0.108519,3.37312,1.4036,0.0118422,47.0306,9.35279,0.198852,5.03358,1.77368,6A-C,Unit 6
LP-1C-161,14.7,753.02,18577,1.34,0.106814,0,0.044498,0.147862,3.64667,0.54743,0.0225532,0.616864,33.5067,0.239516,0.301925,0,0,0.291646,0.122102,3.41383,1.2626,0.0418266,44.8265,9.00457,0.201002,4.97957,1.8585,6A-C,Unit 6
LP-1C-165,14.9,769.32,19035.8,1.25,0.13893,0.00774898,0.0392549,0.176018,3.53957,0.628522,0.0306406,0.740311,38.4583,0.245298,0.217148,0,0,0.246553,0.171031,3.28785,1.41978,0.0302162,40.6428,8.31362,0.204521,4.89133,2.04355,6A-C,Unit 6
LP-1C-169,15.1,785.62,19587,1.2725,0.137295,0.0212067,0.0456729,0.379691,3.40152,0.923796,0.0669253,0.58815,35.0531,0.241653,0.208089,0.00378826,0,0.264673,0.0948976,3.47597,1.19611,0.0508858,43.5999,8.49633,0.194911,5.13084,1.92451,6A-C,Unit 6
LP-1C-173,15.3,801.92,19888.3,1.255,0.126395,0.0306095,0.0406461,0.188088,3.69462,0.420965,0.0557658,0.762112,29.4389,0.293162,0.242889,0,0.030164901,0.42843,0.0673746,3.63524,1.33252,0.047163,48.4855,8.94101,0.184412,5.42375,1.74182,6A-C,Unit 6
LP-1C-177,15.5,818.22,19262.5,1.2875,0.083216,0.00820008,0.0451219,0.179249,3.27396,0.455668,0.0290337,0.701959,26.2892,0.241648,0.146554,0,0.041274249,0.305703,0.111234,3.45992,1.36182,0.00603755,51.9426,9.5936,0.184765,5.41759,1.62629,6A-C,Unit 6
LP-1C-181,15.7,834.52,20488,1.31,0.078886,0.00792662,0.0474794,0.185669,3.75775,0.414438,0.0161135,0.575154,25.8255,0.310143,0.130833,0.0100075,0.031287834,0.375455,0.204439,3.51269,1.35074,0.0151912,51.9409,9.5259,0.18336,5.45612,1.62748,6A-C,Unit 6
LP-1C-185,15.9,850.81,20349.1,1.22,0.0590117,0.00234157,0.0393967,0.169942,3.63448,0.330881,0.0457723,0.532607,26.405,0.225205,0.146915,0,0.032894737,0.306073,0.0646994,3.37335,1.35658,0.0164437,51.868,9.60522,0.185179,5.40035,1.62686,6A-C,Unit 6
