Section,Section_depth_min,section_depth_max,Stratigraphic_depth_(min),min_age,max_age,median_age,SH20_mean_age,LOI550_data_sed_rate_,GRD_wet_density,WMAR_wet_mass_accumulation_rate,Water_content_0C_7_days,Dry_weight,Dry_density,DMAR_dry_mass_accumulation_rate,LOI_550_(2_hrs_ramp;_4_hrs_dwell),LOI_950_(2_hrs_ramp;_2_hrs_dwell),LOI950_x1.36_carbonate_proxy,LOI_550_Wet_flux,Carb_Wet_flux,LOI_Dry_flux,Carb_Dry_flux,TOC_NIGL,N_NIGL,C/N,N/C,d13C,Age_offset_T,Age_offset_exp_1.79xT,Old_carbon_age_offset_Bertrand,TOC_NIGL_wet_flux,TOC_NIGL_dry_flux,N_NIGL_wet_flux,N_NIGL_dry_flux,TOC_BAS,N_BAS,TC_BAS,ITRAX_sample_surface,validity,Total_counts_per_second),MSE,inc+coh,inc/coh,coh/inc,TSN_ratio_sum_(TSN_=_Total_Scatter_Normalised),Mg,Al,Si,P,S,Cl,Ar,K,Ca,Sc,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Br,Rb,Sr,Zr,Sn,Cs,Ba,Ta,W,Ir,Pt,Pb,Mo_inc,Mo_coh,SUM,Br/Ti,Sr/Ti,Mn/Ti,Ca/Ti,Fe/Mn,LnBr/Ti,LnSr/Ti,LnMn/Ti,LnCa/Ti,LnFe/Mn
,cm,cm,cm,cal a BP,cal a BP,cal a BP,cal a BP,cm yr-1,gcm-3,g cm-2 yr-1,%,%,gcm-3,g cm-2 yr-1,%,%,%,g cm-2 yr-1,g cm-2 yr-1,g cm-2 yr-1,g cm-2 yr-1,%,%,NA,NA,ppm,NA,NA,cal a BP,g cm-2 yr-1,g cm-2 yr-1,g cm-2 yr-1,g cm-2 yr-1,%,%,%,cm ,NA,kcps,NA,cps,NA,NA,NA,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,%TSN,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LP08-1A,32,33,45,1289.58,1530.65,1368.66,1378.29,0.06993007,0.963542857,0.060628778,71.25489266,24.67458057,0.237750159,0.014959897,47.96914,2.881778988,3.919219424,0.029083103,0.001747187,0.007176134,0.000431111,28.222,2.505,11.26626747,0.088760541,-29.92867406,-1.411467244,0.079936208,13.53,0.017110654,0.004221982,0.001518751,0.000374745,27.5,2.557295,25.558,7.5,1,21280.05195,1.32,41928.6,4.873066349,0.205302011,1.253584121,0.026999923,0.011571396,0.038571318,0.019285659,0.063642675,0,0.077142637,0.140785312,0.460927254,0,0.14657101,0.017357093,0.549641287,14.89238602,0.229499344,0.023142791,0,0,0,0.023142791,0,0.653783846,0.0848569,0.865926097,1.71063797,0,0,0,0,0.055928412,0.026999923,0.017357093,0.092571164,66.09773972,13.67353236,100,4.460526316,5.907894737,3.75,3.144736842,27.09473683,1.495266767,1.776289547,1.32175584,1.145730212,3.299339496
LP08-1A,36,37,49,1306.19,1723.73,1419.72,1441.86,0.074324324,1.0391,0.06645407,71.61485901,22.58911371,0.234723481,0.015011385,52.44689221,2.94256491,4.001888277,0.040504947,0.001955454,0.007873005,0.00044172,29.921,2.656,11.26543675,0.088767087,-29.61709827,-1.411934762,0.079869341,13.52,0.019883722,0.004491557,0.00176502,0.000398702,30.1,2.761593,28.19449,7.59,1,19168.01797,1.504,38417.4,4.958031583,0.201828204,1.253053981,0,0,0,0.016554769,0.068058494,0,0.045985469,0.086452681,0.377080842,0,0.077255587,0.025751862,0.579416904,14.57371471,0.049664306,0,0,0,0,0.042306631,0.338453049,0.938103559,0.198657224,0.630920629,1.7860756,0,0,0.027591281,0.068058494,0,0.040467212,0,0.224409087,66.51338177,13.29163984,100,12.14285714,8.166666667,7.5,4.880952381,25.15238097,2.496741107,2.100060829,2.014903021,1.585340361,3.224952563
LP08-1A,40,41,53.4,1340.58,1806.23,1490.63,1510.66,0.0736,1.0354,0.066547995,73.26154143,22.73277001,0.235375101,0.015128203,50.54320988,2.740740741,3.727407407,0.038516675,0.001823908,0.007646279,0.000414625,29.321,2.468,11.88047002,0.084171754,-29.80298531,-1.083696717,0.143730232,24.33,0.019512538,0.00443574,0.001642405,0.000373364,29.6,2.605462,27.24077,8,1,19048.64219,1.264,39031.8,4.932137966,0.202777076,1.16576337,0.083333333,0.063596491,0.057017544,0.072368421,0.083333333,0.037280702,0.177631579,0.078947368,0.271929825,0,0.070175439,0.057017544,0.375,8.399122807,0.151315789,0.048245614,0.065789474,0.072368421,0.114035088,0,0,0.537280702,0,0.64254386,2.361842105,0,0,0.01754386,0,0.105263158,0.024122807,0.13377193,0.118421053,71.42763158,14.35307018,100,7.65625,9.15625,5.34375,3.875,22.39766082,2.035522308,2.214436706,1.675927654,1.354545663,3.108956526
LP08-1A,44,45,58,1366.07,1880.5,1565.99,1582.23,0.072115385,1.10835,0.076949247,73.23498895,22.28912309,0.247041496,0.017151312,47.64207981,2.735792019,3.720677146,0.038079879,0.002105171,0.008171242,0.000469224,27.708,2.465,11.24056795,0.088963476,-29.84350495,-1.425962589,0.077888806,13.18,0.021321097,0.004752286,0.001896799,0.00042278,27.6,2.513729,25.78803,7.81,1,22923.20781,1.288,45311.2,5.065435404,0.197410216,1.220207034,0,0,0,0,0.057368357,0,0.057368357,0.088660188,0.29901083,0,0.097352363,0.019122786,0.549345479,13.08346227,0.102567669,0,0,0,0,0,0.309441441,0.747527076,0.067798967,0.587591051,1.660205483,0,0,0.020861221,0.132121065,0,0,0,0.166889766,68.02148706,13.93181858,100,7.678571429,6.035714286,5.642857143,3.071428571,23.81645571,2.038433518,1.797694205,1.730390523,1.122142786,3.170376758
LP08-1A,56,57,71.7,1500.97,2063.86,1775.54,1779.56,0.070093458,1.0418,0.067532411,73.56978307,22.18954198,0.231170648,0.014985133,48.96823557,3.222814746,4.383028055,0.035758253,0.002176445,0.007337955,0.000482943,26.503,2.563,10.34061647,0.096706033,-29.65609273,-1.979002377,0.028943366,4.9,0.017898115,0.00397151,0.001730856,0.000384069,27.3,2.686136,25.8874,7.89,1,22205.46406,1.3,43448.2,5.143183239,0.194471936,1.286502374,0.015816667,0.022846297,0.035148149,0.036905557,0.094900004,0,0.038662964,0.084355559,0.497346315,0,0.186285192,0.035148149,0.709992619,16.19626727,0.029875927,0,0,0,0,0.161681487,0.219675934,0.690661137,0.356753717,0.421777793,2.035077853,0,0,0,0.02108889,0.00702963,0.089627781,0.098414818,0.184527785,64.6515061,13.07862641,100,3.70754717,2.264150943,3.811320755,2.669811321,22.81188119,1.310370518,0.817199829,1.337975784,0.982007804,3.127281505
LP08-1A,60,61,76.2,1561.03,2102.5,1854.36,1848.98,0.074074074,1.03305,0.065899737,75.10769082,20.80194057,0.214894447,0.013708424,48.37589883,2.876270766,3.911728242,0.037018313,0.001895455,0.006631573,0.000394291,27.285,2.661,10.25366404,0.097526113,-29.90303782,-2.037579518,0.026062251,4.41,0.017980743,0.003740343,0.001753592,0.000364781,27.8,2.765621,25.85002,7.72,1,18972.04687,1.338,39539.6,4.936221223,0.201775022,1.140616699,0,0.044549744,0,0.014174918,0.068849604,0,0.078974546,0,0.097199441,0,0.048599721,0.02429986,0.261223498,7.261608246,0.133649232,0,0,0.050624709,0,0.155924103,0.220723731,0.532571938,0.058724662,0.955794504,2.186987425,0,0,0,0.050624709,0.01214993,0.070874592,0,0,73.12840451,14.54346638,100,10.95833333,19.66666667,5.375,2,27.79844961,2.394100202,2.978925155,1.681758574,0.693147181,3.32498025
LP08-1A,64,65,80.8,1621.85,2171.96,1931.32,1921.09,0.072440945,1.13035,0.067057132,76.63997877,19.75537007,0.223304826,0.013247385,49.02291918,2.846803378,3.871652593,0.040141742,0.001908985,0.006494255,0.000377127,28.343,2.811,10.08288865,0.099177928,-30.18864872,-2.155566252,0.021100393,3.57,0.019006003,0.003754706,0.001884976,0.000372384,27.9,2.813719,26.13863,7.85,1,21935.8793,1.274,44027.6,5.031119614,0.198767133,1.230193034,0.073582164,0.025753757,0.033111974,0.023914203,0.104854583,0.014716433,0.108533691,0.079100826,0.384466805,0,0.222586045,0.014716433,0.529791579,13.23559169,0.08094038,0,0,0.128768786,0.158201652,0.097496367,0.172918085,0.542668457,0.114052354,0.487481834,1.708945752,0,0,0,0.033111974,0.012876879,0,0.060705285,0.263056235,67.70846747,13.57958831,100,2.438016529,2.190082645,2.380165289,1.727272727,24.98263886,0.891184811,0.783939281,0.867169934,0.546543706,3.218181138
LP08-1A,68,69,85.4,1755.92,2210.63,2010.81,1998.63,0.070866142,1.0009,0.059381015,79.52842442,16.71899826,0.167340454,0.009927911,49.01456727,1.799485861,2.447300771,0.034765994,0.001068553,0.004866123,0.000178651,28.647,2.808,10.20192308,0.098020735,-29.86728642,-2.072909654,0.024465085,4.14,0.017010879,0.002844049,0.001667419,0.000278776,27.7,2.769638,25.87767,8,1,21748.54844,1.362,42712,5.014780393,0.199445097,1.214211949,0.056098444,0,0.009048136,0.014477018,0.103148751,0.025334781,0.050669562,0.085052479,0.327542526,0,0.081433225,0.047050308,0.439739414,12.35251538,0.235251538,0,0,0,0,0.135722041,0.184581976,0.613463626,0.164676077,0.747376041,1.827723489,0,0.009048136,0.038002172,0,0,0,0.063336953,0.030763663,69.02823018,13.32971408,100,7.533333333,9.177777778,5.4,4.022222222,28.09053495,2.019337618,2.216785103,1.686398954,1.391834541,3.335432685
LP08-1A,72,73,89.9,1817.05,2277.55,2087.81,2074.48,0.070121951,1.0388,0.072182477,77.94570658,18.8192869,0.195494752,0.013584227,43.07368421,2.736842105,3.722105263,0.031376027,0.00197552,0.005851227,0.000371779,24.702,2.36,10.46694915,0.095538823,-29.19279941,-1.895630198,0.033601719,5.69,0.017830516,0.003355576,0.001703506,0.000320588,23.4,2.302264,22.12571,8,1,22343.1793,1.294,44245.8,4.989652878,0.200452553,1.193302791,0,0.012982918,0.033384647,0,0.040803457,0,0.087171022,0.094589833,0.426581598,0,0.090880427,0.031529944,0.524880835,10.3492405,0.124265074,0,0.087171022,0,0.176196747,0.231837825,0.241111338,0.526735538,0.276350687,0.903240165,1.902924866,0,0,0,0,0,0,0.037094052,0,70.22274978,13.57827772,100,5.795918367,9.93877551,5.775510204,4.693877551,19.7173145,1.75715394,2.296443825,1.7536266,1.546259011,2.981497158
