C:\Data\BAS_sjro\May_2016\LP3B_XRF     10/05/2016  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	I	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\BAS_sjro\May_2016\LP3B_XRF\XRF data\L000000.spe	370.50	7.03	1	0.018360	-0.019330	0.007453	0.108113	15041.00000	1.32	38	44	162	10	14	0	224	845	607	707	69	100	911	41661	123	80	54	327	0	0	56	564	854	79	535	0	0	0	46	168	449	60	117	30	0	136	105	161	0	176	0	0	13263	3784	
C:\Data\BAS_sjro\May_2016\LP3B_XRF\XRF data\L000001.spe	371.00	7.04	1	0.018361	-0.019330	0.007425	0.108113	15144.00000	1.46	11	40	190	0	0	0	167	940	667	855	62	76	900	42188	0	95	50	280	0	50	0	576	807	0	582	0	4	0	52	143	494	36	176	70	117	285	231	127	27	329	0	0	13102	3912	
C:\Data\BAS_sjro\May_2016\LP3B_XRF\XRF data\L000002.spe	371.50	7.06	1	0.018356	-0.019330	0.007308	0.108113	15475.00000	1.25	18	37	184	16	15	0	196	986	719	851	24	65	912	43441	160	107	102	239	26	30	75	533	828	19	513	0	0	0	80	209	523	61	103	0	18	16	0	34	131	198	7	1522346647874910	13056	3943	
C:\Data\BAS_sjro\May_2016\LP3B_XRF\XRF data\L000003.spe	372.00	7.07	1	0.018358	-0.019330	0.007288	0.108113	15883.00000	1.40	0	26	181	11	11	6	232	1024	753	967	47	125	945	45955	0	77	99	216	0	0	32	590	905	0	576	0	0	0	79	140	517	118	199	41	45	141	25	74	72	349	0	518007578549706	12914	4060	
C:\Data\BAS_sjro\May_2016\LP3B_XRF\XRF data\L000004.spe	372.50	7.07	1	0.018356	-0.019330	0.007311	0.108113	15949.00000	1.34	11	44	247	28	11	21	197	1000	923	960	48	132	923	45662	216	93	52	209	0	0	15	495	934	30	538	0	7	0	116	193	572	72	119	0	52	51	52	109	79	198	0	1859005218382312	12946	4091	
C:\Data\BAS_sjro\May_2016\LP3B_XRF\XRF data\L000005.spe	373.00	7.08	1	0.018357	-0.019330	0.007222	0.108113	15908.00000	1.39	0	23	211	0	0	0	189	985	1009	1009	61	155	906	43939	148	80	111	265	0	32	0	614	1148	0	591	0	0	0	116	196	594	74	96	0	67	67	74	62	0	248	0	2165388467499956	12977	4008	
C:\Data\BAS_sjro\May_2016\LP3B_XRF\XRF data\L000006.spe	373.50	7.08	1	0.018355	-0.019330	0.007232	0.108113	16223.00000	1.48	0	22	235	15	5	0	185	1036	1007	1088	50	125	1100	45126	55	72	95	261	0	21	0	594	1212	0	745	0	0	0	119	222	571	162	123	67	36	65	101	0	83	335	0	0	13316	4124	
C:\Data\BAS_sjro\May_2016\LP3B_XRF\XRF data\L000007.spe	374.00	7.09	1	0.018355	-0.019330	0.007264	0.108113	17135.00000	1.47	23	44	233	9	0	0	162	1134	1125	1132	67	114	1189	49018	253	119	197	309	0	25	77	563	1050	20	647	0	0	0	102	198	608	96	249	84	42	98	58	13	209	213	0	1934651944588744	13974	4139	
C:\Data\BAS_sjro\May_2016\LP3B_XRF\XRF data\L000008.spe	374.50	7.10	1	0.018354	-0.019330	0.007273	0.108113	17842.00000	1.52	54	61	259	9	0	0	165	1208	1065	1151	78	136	1226	54233	91	114	72	251	0	0	25	607	1110	5	510	0	0	0	72	264	628	90	127	7	17	98	80	47	88	293	0	1785463011593241	14449	4284	
C:\Data\BAS_sjro\May_2016\LP3B_XRF\XRF data\L000009.spe	375.00	7.10	1	0.018353	-0.019330	0.007227	0.108113	18096.00000	1.43	31	53	196	0	0	0	119	1261	1102	1139	56	169	1213	56680	225	111	56	300	39	22	0	537	891	0	717	0	0	0	93	306	604	51	126	124	68	51	51	53	122	280	15	0	14288	4392	
