C:\Data\BAS_sjro\May_2016\LP2B_XRF     09/05/2016  re-evaluated data
peakarea
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	I	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	D1	S1	S2	S3	Mo inc	Mo coh	
C:\Data\BAS_sjro\May_2016\LP2B_XRF\XRF data\L000000.spe	1100.50	7.53	1	0.018354	-0.019330	0.007452	0.108113	20240.00000	1.57	10	45	78	0	77	0	142	849	5672	618	94	121	831	65013	344	118	88	241	225	0	295	406	1152	44	632	0	0	0	34	351	615	74	94	41	0	94	62	0	110	286	10	791007851484359	15759	4113	
C:\Data\BAS_sjro\May_2016\LP2B_XRF\XRF data\L000001.spe	1101.00	7.54	1	0.018353	-0.019330	0.007407	0.108113	22372.00000	1.83	32	39	94	0	117	0	127	992	7496	669	60	136	873	78120	445	132	87	187	89	0	260	401	1117	5	366	0	0	6	67	345	612	65	186	41	0	79	32	41	184	316	0	2479438525557932	15776	4189	
C:\Data\BAS_sjro\May_2016\LP2B_XRF\XRF data\L000002.spe	1101.50	7.54	1	0.018358	-0.019330	0.007313	0.108113	21574.00000	1.59	26	41	169	8	101	0	144	1132	8770	701	44	144	869	73093	235	153	133	220	233	0	49	490	1036	0	457	0	0	0	63	235	641	112	144	56	116	79	11	21	249	369	23	317794376580705	14885	3973	
C:\Data\BAS_sjro\May_2016\LP2B_XRF\XRF data\L000003.spe	1102.00	7.55	1	0.018360	-0.019330	0.007242	0.108113	20102.00000	1.50	25	51	146	5	86	0	151	1194	11467	670	102	100	851	56507	92	112	110	219	97	0	222	390	1347	0	392	0	0	13	26	204	596	140	128	56	49	37	89	45	112	376	0	0	15811	4191	
C:\Data\BAS_sjro\May_2016\LP2B_XRF\XRF data\L000004.spe	1102.50	7.55	1	0.018357	-0.019330	0.006938	0.108113	19125.00000	1.33	16	43	99	0	49	0	145	876	9115	567	55	127	665	47734	0	103	106	99	0	0	73	428	1442	0	487	0	0	0	11	219	616	36	134	61	124	136	0	26	119	401	5	0	16630	4378	
C:\Data\BAS_sjro\May_2016\LP2B_XRF\XRF data\L000005.spe	1103.00	7.55	1	0.018359	-0.019330	0.006871	0.108113	22427.00000	1.46	32	51	160	0	101	0	156	1187	13831	674	88	110	846	59167	124	124	112	215	210	32	206	505	1771	0	387	0	0	0	67	251	683	91	158	83	58	66	0	0	140	308	0	0	17688	4722	
C:\Data\BAS_sjro\May_2016\LP2B_XRF\XRF data\L000006.spe	1103.50	7.55	1	0.018357	-0.019330	0.006839	0.108113	23792.00000	1.78	0	17	187	0	112	0	145	1398	14324	888	83	106	988	68236	151	169	86	120	151	0	282	412	1707	0	488	0	0	0	47	389	714	13	157	53	0	60	0	73	200	362	0	0	17665	4726	
C:\Data\BAS_sjro\May_2016\LP2B_XRF\XRF data\L000007.spe	1104.00	7.55	1	0.018355	-0.019330	0.006839	0.108113	21267.00000	1.46	39	49	146	0	65	0	152	1060	9163	656	60	150	850	57285	235	113	175	200	80	21	248	429	1559	0	574	0	0	0	81	286	690	56	213	99	0	83	73	0	46	326	0	0	16701	4375	
C:\Data\BAS_sjro\May_2016\LP2B_XRF\XRF data\L000008.spe	1104.50	7.54	1	0.018353	-0.019330	0.006817	0.108113	20752.00000	1.67	9	46	170	0	82	0	139	1252	10300	772	85	156	954	59190	229	94	133	159	46	188	175	487	1505	0	436	0	0	0	95	314	597	58	117	86	140	162	133	75	96	359	24	846009892242406	15237	4361	
C:\Data\BAS_sjro\May_2016\LP2B_XRF\XRF data\L000009.spe	1105.00	7.53	1	0.018358	-0.019330	0.006853	0.108113	20357.00000	1.45	38	43	195	0	88	0	122	1281	9603	825	87	126	937	58337	189	64	100	258	150	72	148	497	1575	0	550	0	0	0	80	262	626	59	165	0	15	0	29	0	172	370	26	370567156851522	15537	4323	
C:\Data\BAS_sjro\May_2016\LP2B_XRF\XRF data\L000010.spe	1105.50	7.52	1	0.018357	-0.019330	0.006853	0.108113	19927.00000	1.48	0	32	120	0	52	0	103	1011	6290	733	53	117	775	53478	215	155	189	196	171	0	74	333	1461	0	486	0	5	0	9	244	689	54	219	47	70	0	0	0	134	255	0	0	16339	4565	
C:\Data\BAS_sjro\May_2016\LP2B_XRF\XRF data\L000011.spe	1106.00	7.51	1	0.018357	-0.019330	0.006791	0.108113	22229.00000	1.49	23	50	180	0	148	0	125	1112	6254	767	67	117	831	71594	235	131	129	160	154	0	127	561	1292	67	513	0	0	0	53	266	626	61	211	13	14	102	0	103	160	326	17	1067025960116723	17003	4596	
