variable, start date, end date, precipitation_lat-52.59_long72.67
,,,mm/day
PPN (5216),01/12/1979 00:00,01/03/1980 00:00,2.0850422
PPN (5216),01/12/1980 00:00,01/03/1981 00:00,3.1957264
PPN (5216),01/12/1981 00:00,01/03/1982 00:00,2.9415035
PPN (5216),01/12/1982 00:00,01/03/1983 00:00,3.0932846
PPN (5216),01/12/1983 00:00,01/03/1984 00:00,3.0614908
PPN (5216),01/12/1984 00:00,01/03/1985 00:00,2.5741169
PPN (5216),01/12/1985 00:00,01/03/1986 00:00,2.8371131
PPN (5216),01/12/1986 00:00,01/03/1987 00:00,3.9060502
PPN (5216),01/12/1987 00:00,01/03/1988 00:00,3.044003
PPN (5216),01/12/1988 00:00,01/03/1989 00:00,1.9517821
PPN (5216),01/12/1989 00:00,01/03/1990 00:00,3.1655264
PPN (5216),01/12/1990 00:00,01/03/1991 00:00,2.9865847
PPN (5216),01/12/1991 00:00,01/03/1992 00:00,2.9375193
PPN (5216),01/12/1992 00:00,01/03/1993 00:00,2.5365117
PPN (5216),01/12/1993 00:00,01/03/1994 00:00,3.2042727
PPN (5216),01/12/1994 00:00,01/03/1995 00:00,2.4295101
PPN (5216),01/12/1995 00:00,01/03/1996 00:00,2.5618429
PPN (5216),01/12/1996 00:00,01/03/1997 00:00,2.5746486
PPN (5216),01/12/1997 00:00,01/03/1998 00:00,2.910624
PPN (5216),01/12/1998 00:00,01/03/1999 00:00,2.3857415
PPN (5216),01/12/1999 00:00,01/03/2000 00:00,3.4021933
PPN (5216),01/12/2000 00:00,01/03/2001 00:00,2.6201251
PPN (5216),01/12/2001 00:00,01/03/2002 00:00,2.5348067
PPN (5216),01/12/2002 00:00,01/03/2003 00:00,2.9035985
PPN (5216),01/12/2003 00:00,01/03/2004 00:00,2.6289957
PPN (5216),01/12/2004 00:00,01/03/2005 00:00,2.6875155
PPN (5216),01/12/2005 00:00,01/03/2006 00:00,3.021471
PPN (5216),01/12/2006 00:00,01/03/2007 00:00,2.3595262
PPN (5216),01/12/2007 00:00,01/03/2008 00:00,2.7285025
PPN (5216),01/12/2008 00:00,01/03/2009 00:00,2.78988
PPN (5216),01/12/2009 00:00,01/03/2010 00:00,2.5596788
PPN (5216),01/12/2010 00:00,01/03/2011 00:00,2.5816176
PPN (5216),01/12/2011 00:00,01/03/2012 00:00,2.8387489
PPN (5216),01/12/2012 00:00,01/03/2013 00:00,3.5438106
PPN (5216),01/12/2013 00:00,01/03/2014 00:00,2.7523904
PPN (5216),01/12/2014 00:00,01/03/2015 00:00,3.198329
PPN (5216),01/12/2015 00:00,01/03/2016 00:00,2.6159048
PPN (5216),01/12/2016 00:00,01/03/2017 00:00,3.0226953
