LP16_M1H_BACON_SH20M1H,,,,,,,,,,,,,
Strat_depth,95%CI_min,95%CI_max,median_age,SH20M1Hmean_age,mean 95%,Unit ,95%CI_min_nearest_10_years,95%CI_max_nearest_10_years,median_age_nearest_10_years,SH20M1Hmean_age_nearest_10_years,mean_min_95%CI_err.,max_mean_95%CI_nearest_10_years,mean_95%CI_nearest_10_years
cm,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,-,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP,cal a BP
1,-7.62,-6.98,-7.31,-7.31,0.32,6,-10,-10,-10,-10,0,0,0
2,-5.37,70.52,22.17,23.52,37.945,6,-10,70,20,20,30,50,40
3,-3.38,148.31,51.76,54.36,75.845,6,0,150,50,50,50,100,80
4,-1.37,226.09,81.35,85.2,113.73,6,0,230,80,90,90,140,120
5,0.6,303.88,110.95,116.04,151.64,6,0,300,110,120,120,180,150
6,2.57,381.67,140.5,146.87,189.55,6,0,380,140,150,150,230,190
7,4.54,459.46,170.03,177.71,227.46,6,0,460,170,180,180,280,230
8,6.52,537.25,199.62,208.55,265.365,6,10,540,200,210,200,330,270
9,8.49,615.04,229.21,239.39,303.275,6,10,620,230,240,230,380,310
10,10.47,692.82,258.8,270.22,341.175,6,10,690,260,270,260,420,340
11,12.47,770.61,288.38,301.06,379.07,6,10,770,290,300,290,470,380
12,199.96,793.99,404.2,418.93,297.015,6,200,790,400,420,220,370,300
13,371.5,817.63,522.67,536.8,223.065,6,370,820,520,540,170,280,230
14,527.64,845.19,642.67,654.67,158.775,6,530,850,640,650,120,200,160
15,669.17,880.73,775.39,772.54,105.78,6,670,880,780,770,100,110,110
16,773.77,1003.56,889.22,890.41,114.895,6,770,1000,890,890,120,110,120
17,827.97,1195.66,999.83,1008.28,183.845,6,830,1200,1000,1010,180,190,190
18,869.85,1386.95,1114.25,1126.15,258.55,6,870,1390,1110,1130,260,260,260
19,891.23,1582.73,1229.96,1244.03,345.75,6,890,1580,1230,1240,350,340,350
20,905.51,1774.56,1346.37,1361.9,434.525,6,910,1770,1350,1360,450,410,430
21,916.19,1967.26,1457.68,1479.77,525.535,6,920,1970,1460,1480,560,490,530
22,1180.18,2093.35,1653.15,1670.47,456.585,6,1180,2090,1650,1670,490,420,460
23,1445.07,2218.51,1849.64,1861.18,386.72,6,1450,2220,1850,1860,410,360,390
24,1707.97,2342.19,2041.76,2051.88,317.11,6,1710,2340,2040,2050,340,290,320
25,1967.07,2483.92,2234.99,2242.59,258.425,6,1970,2480,2230,2240,270,240,260
26,2222.65,2628.64,2428.93,2433.29,202.995,6,2220,2630,2430,2430,210,200,210
27,2470.6,2793.62,2620.7,2624,161.51,6,2470,2790,2620,2620,150,170,160
28,2685.9,2978.82,2810.98,2814.7,146.46,6,2690,2980,2810,2810,120,170,150
29,2855.06,3192.68,3002.59,3005.41,168.81,6,2860,3190,3000,3010,150,180,170
30,2989.31,3428.66,3194.35,3196.11,219.675,6,2990,3430,3190,3200,210,230,220
31,3121.4,3664.72,3387.08,3386.81,271.66,6,3120,3660,3390,3390,270,270,270
32,3746.65,4201.7,3970.13,3969.79,227.525,6,3750,4200,3970,3970,220,230,230
33,4380.91,4741.07,4552.95,4552.76,180.08,6,4380,4740,4550,4550,170,190,180
34,4997.38,5290.8,5133.48,5135.74,146.71,6,5000,5290,5130,5140,140,150,150
35,5591.82,5858.96,5716.74,5718.71,133.57,5B,5590,5860,5720,5720,130,140,140
36,6163.46,6442.5,6301.94,6301.68,139.52,5B,6160,6440,6300,6300,140,140,140
37,6721.3,7046.49,6885.68,6884.66,162.595,5B,6720,7050,6890,6880,160,170,170
38,7273.42,7673.11,7468.11,7467.63,199.845,5B,7270,7670,7470,7470,200,200,200
39,7814.87,8312.21,8050.98,8050.6,248.67,5B,7810,8310,8050,8050,240,260,250
40,8352.52,8947.54,8635.07,8633.58,297.51,5B,8350,8950,8640,8630,280,320,300
41,8884.58,9584.5,9218.03,9216.55,349.96,5B,8880,9580,9220,9220,340,360,350
42,9069.9,9698.26,9368.64,9366.86,314.18,5B,9070,9700,9370,9370,300,330,320
43,9251.04,9807.27,9519.04,9517.18,278.115,5B,9250,9810,9520,9520,270,290,280
44,9432.52,9922.12,9668.73,9667.49,244.8,5B,9430,9920,9670,9670,240,250,250
45,9602.08,10045.08,9817.46,9817.8,221.5,5B,9600,10050,9820,9820,220,230,230
46,9771.58,10179.04,9965.72,9968.12,203.73,5B,9770,10180,9970,9970,200,210,210
47,9933.89,10318.58,10118.67,10118.43,192.345,5A,9930,10320,10120,10120,190,200,200
48,10074.64,10484.3,10270.43,10268.74,204.83,5A,10070,10480,10270,10270,200,210,210
49,10207.28,10666.7,10419.12,10419.06,229.71,5A,10210,10670,10420,10420,210,250,230
50,10332.87,10839.07,10567.85,10569.37,253.1,5A,10330,10840,10570,10570,240,270,260
51,10448.47,11023.64,10719.23,10719.69,287.585,5A,10450,11020,10720,10720,270,300,290
52,10478.59,11045.76,10737.09,10738.23,283.585,5A,10480,11050,10740,10740,260,310,290
53,10499.52,11073.18,10756.19,10756.78,286.83,5A,10500,11070,10760,10760,260,310,290
54,10522.5,11083.61,10773.67,10775.33,280.555,5A,10520,11080,10770,10780,260,300,280
55,10547.16,11105.84,10790.78,10793.88,279.34,5A,10550,11110,10790,10790,240,320,280
56,10572.07,11141.19,10805.57,10812.42,284.56,5A,10570,11140,10810,10810,240,330,290
57,10587.74,11169.31,10820.66,10830.97,290.785,5A,10590,11170,10820,10830,240,340,290
58,10596.96,11213.1,10835.61,10849.52,308.07,5A,10600,11210,10840,10850,250,360,310
59,10608.55,11251.35,10851.73,10868.07,321.4,5A,10610,11250,10850,10870,260,380,320
60,10620.35,11291.8,10865.66,10886.61,335.725,5A,10620,11290,10870,10890,270,400,340
61,10635.66,11334.45,10880.2,10905.16,349.395,5A,10640,11330,10880,10910,270,420,350
62,10801.76,11429.97,11016.53,11041.09,314.105,5A,10800,11430,11020,11040,240,390,320
63,10953.57,11526.1,11154.14,11177.02,286.265,5A,10950,11530,11150,11180,230,350,290
64,11105.65,11625.85,11293.56,11312.95,260.1,5A,11110,11630,11290,11310,200,320,260
65,11217.67,11728.4,11434.06,11448.88,255.365,5A,11220,11730,11430,11450,230,280,260
66,11304.85,11830.91,11572.5,11584.81,263.03,5A,11300,11830,11570,11580,280,250,270
67,11382.42,11937.86,11714.47,11720.74,277.72,5A,11380,11940,11710,11720,340,220,280
68,11459.38,12058.3,11856.12,11856.67,299.46,4,11460,12060,11860,11860,400,200,300
69,11552.53,12188.01,11994.67,11992.61,317.74,4,11550,12190,11990,11990,440,200,320
70,11610.03,12323.61,12133.57,12128.54,356.79,4,11610,12320,12130,12130,520,190,360
71,11690.59,12477.87,12270.65,12264.47,393.64,4,11690,12480,12270,12260,570,220,400
72,11851.83,12515.7,12348.23,12343.05,331.935,4,11850,12520,12350,12340,490,180,340
73,12011.56,12558.96,12427.51,12421.64,273.7,4,12010,12560,12430,12420,410,140,280
74,12173.24,12604.73,12508.56,12500.22,215.745,3,12170,12600,12510,12500,330,100,220
75,12313.16,12668.06,12584.68,12578.81,177.45,3,12310,12670,12580,12580,270,90,180
76,12450.65,12748.08,12667.58,12657.39,148.715,3,12450,12750,12670,12660,210,90,150
77,12546.07,12842.54,12741.31,12735.97,148.235,3,12550,12840,12740,12740,190,100,150
78,12554.03,12944.9,12823.06,12814.56,195.435,3,12550,12940,12820,12810,260,130,200
79,12575.66,13065.77,12901.23,12893.14,245.055,3,12580,13070,12900,12890,310,180,250
80,12586.88,13210.7,12976.82,12971.73,311.91,3,12590,13210,12980,12970,380,240,310
81,12610.63,13357.02,13049.33,13050.31,373.195,3,12610,13360,13050,13050,440,310,380
82,12615.35,13375.59,13059.85,13061.59,380.12,3,12620,13380,13060,13060,440,320,380
83,12621.14,13391.46,13072.9,13072.87,385.16,2,12620,13390,13070,13070,450,320,390
84,12625.67,13411.15,13085.04,13084.14,392.74,2,12630,13410,13090,13080,450,330,390
85,12629.56,13427.95,13096,13095.42,399.195,2,12630,13430,13100,13100,470,330,400
86,12632.81,13452.41,13104.88,13106.7,409.8,2,12630,13450,13100,13110,480,340,410
87,12640.14,13474.54,13113.87,13117.97,417.2,2,12640,13470,13110,13120,480,350,420
