C:\Data\BAS_sjro\Oct_2017\LP1C    22/11/2017  re-evaluated data (mislabelled as 1B when run)																																																					
peakarea																																																					
filename	position (mm)	sample surface	validity	E-gain	E-offset	F-slope	F-offset	kcps	MSE	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Ti	V	Cr	Mn	Fe	Co	Ni	Cu	Zn	As	Se	Br	Rb	Sr	Y	Zr	Sn	I	Cs	Ba	Ta	W	Ir	Pt	Au	Hg	Pb	Th	U	D1	S1	S2	S3	Mo inc	Mo coh
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000000.spe	30.5	6.63	0	0.018362	-0.020997	0.00724	0.109368	20789	1.41	29	41	22	28	45	6	84	85	1253	132	0	11	1144	9717	32	200	154	0	33	74	335	40	809	0	683	0	7	0	0	226	300	0	105	14	26	0	20	0	100	96	9	0	35512	5439
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000001.spe	31	6.66	0	0.018363	-0.020997	0.00724	0.109368	20446	1.39	40	58	40	0	44	0	73	56	1449	110	0	17	1066	9694	90	208	197	98	0	0	341	0	769	0	721	0	0	0	0	153	301	14	135	63	0	127	52	33	0	24	28	3.85718E+14	34887	5200
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000002.spe	31.5	6.69	1	0.018363	-0.020997	0.007187	0.109368	20191	1.38	7	0	27	0	45	0	100	56	1215	103	0	0	875	8993	54	157	173	0	0	91	420	8	744	0	724	0	0	0	0	168	268	38	98	39	0	91	161	0	32	96	0	0	34775	5225
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000003.spe	32	6.71	1	0.018366	-0.020997	0.00722	0.109368	20034	1.27	0	0	0	5	55	4	102	49	1209	84	0	13	1134	8694	49	157	125	0	0	0	312	116	871	0	669	6	0	0	0	236	287	0	62	0	0	60	0	0	16	48	17	0	34767	5125
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000004.spe	32.5	6.72	1	0.018367	-0.020997	0.007199	0.109368	20143	1.33	47	0	17	0	56	25	105	38	1088	68	0	17	1195	8313	93	107	157	0	54	174	366	21	824	0	831	0	0	0	17	253	298	0	84	44	0	0	0	0	127	79	21	0	35137	5239
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000005.spe	33	6.74	1	0.018369	-0.020997	0.007267	0.109368	20297	1.3	0	36	37	18	57	18	101	38	958	44	9	13	1287	7329	45	151	18	0	0	104	384	8	689	0	584	0	0	0	0	225	248	18	19	0	0	145	38	0	0	5	0	0	35955	5436
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000006.spe	33.5	6.74	1	0.01837	-0.020997	0.007317	0.109368	20196	1.25	4	23	8	9	33	19	91	12	1096	57	0	44	964	6907	107	167	99	24	0	0	321	37	680	0	931	0	0	0	0	266	294	0	0	0	0	81	18	0	9	0	23	0	36061	5221
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000007.spe	34	6.75	1	0.018372	-0.020997	0.00733	0.109368	20235	1.41	0	0	33	0	47	8	112	54	1076	75	20	11	714	6186	103	230	87	13	0	11	276	0	632	0	724	0	0	0	0	252	207	0	0	88	0	59	100	0	20	0	15	0	36482	5300
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000008.spe	34.5	6.76	1	0.01837	-0.020997	0.007421	0.109368	20066	1.36	0	11	19	0	31	12	144	38	976	49	0	0	591	5421	108	113	15	0	0	118	321	0	825	0	693	0	0	0	0	187	200	0	0	34	0	26	91	0	148	0	0	2.44349E+14	36849	5179
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000009.spe	35	6.78	1	0.018367	-0.020997	0.007464	0.109368	20091	1.27	0	35	17	11	33	9	110	30	851	46	5	0	670	5486	28	173	38	37	0	188	273	10	644	0	660	0	0	0	9	293	187	38	0	54	14	35	15	0	41	64	16	9.50095E+14	36412	5456
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000010.spe	35.5	6.81	0	0.018368	-0.020997	0.007477	0.109368	19253	1.34	28	31	32	14	67	21	140	50	918	79	0	11	640	4827	20	132	79	0	0	0	424	23	778	0	735	0	0	0	0	226	164	6	84	99	7	141	151	33	17	40	21	2.53953E+15	35523	5371
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000011.spe	36	6.84	0	0.018371	-0.020997	0.00753	0.109368	18927	1.17	17	9	12	13	40	0	129	41	947	68	0	0	423	4261	0	171	103	16	0	0	368	0	615	0	696	0	0	0	0	212	212	0	70	0	0	28	0	0	160	62	13	0	35427	5352
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000012.spe	36.5	6.86	1	0.018372	-0.020997	0.007506	0.109368	18902	1.29	25	14	28	17	38	0	136	36	927	69	7	22	393	4549	62	133	103	24	0	0	329	0	798	0	833	0	0	0	0	190	245	0	17	0	0	54	9	20	112	0	5	0	35450	5405
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000013.spe	37	6.86	1	0.018371	-0.020997	0.007475	0.109368	19074	1.33	0	12	35	24	65	0	151	47	965	40	0	41	470	4390	0	184	98	0	0	13	268	74	915	0	838	0	0	0	0	199	192	0	33	41	0	113	192	0	0	96	9	0	35560	5237
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000014.spe	37.5	6.84	1	0.01837	-0.020997	0.007377	0.109368	19040	1.29	7	0	21	16	25	11	130	38	857	120	14	8	333	3889	0	186	95	24	0	37	264	0	748	0	520	5	5	0	0	146	192	15	78	83	19	38	33	25	29	79	0	7.35935E+14	36244	5216
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000015.spe	38	6.82	1	0.018371	-0.020997	0.007396	0.109368	19353	1.36	6	32	35	0	47	25	132	44	993	124	5	0	341	3913	75	158	109	45	0	70	168	44	738	0	881	4	0	0	0	162	166	12	8	0	0	112	47	77	0	0	19	1.12659E+15	36672	5430
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000016.spe	38.5	6.8	1	0.018374	-0.020997	0.007434	0.109368	19961	1.21	11	8	13	9	37	10	142	65	1024	70	0	0	451	4578	58	228	101	53	0	42	335	62	895	0	822	9	0	0	0	203	179	0	36	47	19	70	18	0	0	16	16	0	37250	5531
C:\Data\BAS_sjro\Oct_2017\LP1C\XRF data\L000017.spe	39	6.78	1	0.018375	-0.020997	0.007413	0.109368	20444	1.27	29	24	28	11	18	17	129	27	995	96	30	0	673	5070	38	180	62	0	0	0	314	0	903	0	801	9	0	0	0	262	213	0	30	87	0	152	73	0	0	49	14	3.36988E+15	37400	5710
