labID,"		age_C14_years","	error","	depth_cm",cc_no_units,dR_C14_years,dSTD_C14_years,t.a_no_units,t.b_no_units
0,-57,1,0,0,0,0,3,4
1,-15,19,1.5,0,0,0,3,4
2,1410,40,39.75,3,0,0,3,4
3,1420,40,40.5,3,0,0,3,4
4,1490,40,40.5,3,0,0,3,4
5,2300,30,100.75,3,0,0,3,4
6,2890,40,162.25,3,0,0,3,4
7,4110,30,225.7,3,0,0,3,4
8,4220,40,250.25,3,0,0,3,4
9,4660,40,319.85,3,0,0,3,4
10,6270,40,365.9,3,0,0,3,4
11,7310,40,414.9,3,0,0,3,4
12,7904,40,432.5,3,0,0,3,4
13,7152,39,447.5,3,0,0,3,4
14,8858,41,468.5,3,0,0,3,4
15,17730,70,475,3,0,0,3,4
16,17710,70,483.75,3,0,0,3,4
17,18390,70,484,3,0,0,3,4
18,20660,120,492.5,3,0,0,3,4
19,18920,70,554.45,3,0,0,3,4
20,22190,130,556.7,3,0,0,3,4
21,25140,170,589.9,3,0,0,3,4
